date,organization,count,rn
2020-03-16,Democratic Party,1,3
2020-03-16,Department Of Management,1,4
2020-03-16,Department Of Public Health,1,5
2020-03-16,Drake University In Des Moines,1,6
2020-03-16,Grinnell College,1,7
2020-03-16,Grundy Center,1,8
2020-03-16,Income Home Energy Assistance Program,1,9
2020-03-16,Iowa Democratic Party,1,10
2020-03-16,Iowa Legislature,1,11
2020-03-16,Iowa State University,1,12
2020-03-16,Iowa Tech Community College In Sioux City,1,13
2020-03-16,Iowa Workforce Development,1,14
2020-03-16,Lifeserve Blood Center,1,15
2020-03-16,Mission Creek,1,16
2020-03-16,Republican Party Of Iowa,1,17
2020-03-16,Twitter,1,18
2020-03-16,Unitypoint Health,1,19
2020-03-16,University Of Iowa,1,20
2020-03-16,University Of Northern Iowa,1,21
2020-03-16,Centers For Disease,2,1
2020-03-16,Iowa Department Of Public Health,2,2
2020-03-17,Lifeserve Blood Center Claire Deroin,1,23
2020-03-17,Public Health Disaster Emergency,1,24
2020-03-17,Centers For Disease,2,1
2020-03-17,Democratic Party,2,2
2020-03-17,Department Of Management,2,3
2020-03-17,Department Of Public Health,2,4
2020-03-17,Drake University In Des Moines,2,5
2020-03-17,Grinnell College,2,6
2020-03-17,Grundy Center,2,7
2020-03-17,Hygenic Laboratory,2,8
2020-03-17,Income Home Energy Assistance Program,2,9
2020-03-17,Iowa Democratic Party,2,10
2020-03-17,Iowa Department Of Public Health,2,11
2020-03-17,Iowa Legislature,2,12
2020-03-17,Iowa State University,2,13
2020-03-17,Iowa Tech Community College In Sioux City,2,14
2020-03-17,Iowa Workforce Development,2,15
2020-03-17,Lifeserve Blood Center,2,16
2020-03-17,Mission Creek,2,17
2020-03-17,Republican Party Of Iowa,2,18
2020-03-17,Twitter,2,19
2020-03-17,Unitypoint Health,2,20
2020-03-17,University Of Iowa,2,21
2020-03-17,University Of Northern Iowa,2,22
2020-03-18,Centers For Disease,1,1
2020-03-18,Democratic Party,1,2
2020-03-18,Department Of Management,1,3
2020-03-18,Department Of Public Health,1,4
2020-03-18,Drake University In Des Moines,1,5
2020-03-18,Grinnell College,1,6
2020-03-18,Grundy Center,1,7
2020-03-18,Hygenic Laboratory,1,8
2020-03-18,Income Home Energy Assistance Program,1,9
2020-03-18,Iowa Democratic Party,1,10
2020-03-18,Iowa Department Of Public Health,1,11
2020-03-18,Iowa Legislature,1,12
2020-03-18,Iowa State University,1,13
2020-03-18,Iowa Tech Community College In Sioux City,1,14
2020-03-18,Iowa Workforce Development,1,15
2020-03-18,Lifeserve Blood Center,1,16
2020-03-18,Lifeserve Blood Center Claire Deroin,1,17
2020-03-18,Mission Creek,1,18
2020-03-18,Public Health Disaster Emergency,1,19
2020-03-18,Republican Party Of Iowa,1,20
2020-03-18,Twitter,1,21
2020-03-18,Unitypoint Health,1,22
2020-03-18,University Of Iowa,1,23
2020-03-18,University Of Northern Iowa,1,24
2020-03-19,Centers For Disease,1,1
2020-03-19,Democratic Party,1,2
2020-03-19,Department Of Management,1,3
2020-03-19,Department Of Public Health,1,4
2020-03-19,Drake University In Des Moines,1,5
2020-03-19,Grinnell College,1,6
2020-03-19,Grundy Center,1,7
2020-03-19,Hygenic Laboratory,1,8
2020-03-19,Income Home Energy Assistance Program,1,9
2020-03-19,Iowa Democratic Party,1,10
2020-03-19,Iowa Department Of Public Health,1,11
2020-03-19,Iowa Legislature,1,12
2020-03-19,Iowa State University,1,13
2020-03-19,Iowa Tech Community College In Sioux City,1,14
2020-03-19,Iowa Workforce Development,1,15
2020-03-19,Lifeserve Blood Center,1,16
2020-03-19,Lifeserve Blood Center Claire Deroin,1,17
2020-03-19,Mission Creek,1,18
2020-03-19,Public Health Disaster Emergency,1,19
2020-03-19,Republican Party Of Iowa,1,20
2020-03-19,Twitter,1,21
2020-03-19,Unitypoint Health,1,22
2020-03-19,University Of Iowa,1,23
2020-03-19,University Of Northern Iowa,1,24
2020-03-20,Associated Press,1,2
2020-03-20,Department Of Housing,1,3
2020-03-20,Emergency Operations Center,1,4
2020-03-20,Housing Administration,1,5
2020-03-20,Hygienic Lab,1,6
2020-03-20,Hygienic Laboratory,1,7
2020-03-20,Iowa Supreme Court,1,8
2020-03-20,University Of Iowa,1,9
2020-03-20,Iowa Department Of Public Health,2,1
2020-03-23,Hygienic Lab,1,1
2020-03-23,Iowa Department Of Public Health,1,2
2020-03-26,Burgess Public Health In Onawa,1,5
2020-03-26,Emergency Operations Center,1,6
2020-03-26,Hygienic Lab,2,1
2020-03-26,Hygienic Laboratory,2,2
2020-03-26,Iowa Department Of Public Health,2,3
2020-03-26,Iowa National Guard,2,4
2020-04-02,Department Of Education,1,1
2020-04-02,Iowa Department Of Public Health,1,2
2020-04-03,Nan,1,1
2020-04-04,Holiday Inn,1,1
2020-04-06,Hygienic Lab,1,1
2020-04-06,Iowa Department Of Public Health,1,2
2020-04-07,Nan,1,1
2020-04-08,Nan,1,1
2020-04-10,Hygienic Lab,1,1
2020-04-10,Iowa Department Of Public Health,1,2
2020-04-12,Iowa Department Of Public Health,1,1
2020-04-14,Iowa Department Of Public Health,1,1
2020-04-21,Double D Liquor Store In Waukon,1,1
2020-04-27,Facebook,1,1
2020-04-27,Iowa Department Of Public Health,1,2
2020-04-28,Nan,1,1
2020-05-11,Iowa Department Of Public Health,1,1
2020-05-12,Collins Aerospace,1,2
2020-05-12,National Institutes Of Health,1,3
2020-05-12,Raytheon,1,4
2020-05-12,Unitypoint Health,1,5
2020-05-12,Iowa Department Of Public Health,2,1
2020-05-28,Lasalle Detention Center,1,1
2020-05-28,New York Times,1,2
2020-05-28,Processing Center,1,3
2020-05-28,Reuters,1,4
2020-05-28,United States,1,5
