date,organization,count,rn
2020-03-17,Associated Press,1,1
2020-03-17,Political Science At Catawba College,1,2
2020-03-17,Republican National Convention,1,3
2020-03-18,Amherst County High School On,1,1
2020-03-18,Amherst Middle School Principal Kelly Holmes,1,2
2020-03-19,Amherst County High School,1,1
2020-03-19,Madison Heights Baptist Church,1,2
2020-03-19,Scott Zion Baptist Church,1,3
2020-03-24,Agenda For Sustainable Development,1,1
2020-03-24,Atomwaffen Division,1,2
2020-03-24,Facebook,1,3
2020-03-24,Feuerkrieg Division,1,4
2020-03-24,Microsoft,1,5
2020-03-24,National Alliance,1,6
2020-03-24,Us Department Of Homeland Security,1,7
2020-03-24,Vkontakte,1,8
2020-03-24,Walgreens,1,9
2020-03-24,Wall Network,1,10
2020-03-24,Walmart,1,11
2020-03-24,While The League,1,12
2020-03-24,White House,1,13
2020-03-24,World Council Of Churches,1,14
2020-04-14,Drexel University,1,7
2020-04-14,Johns Hopkins University,1,8
2020-04-14,Liberty University,1,9
2020-04-14,National Institute Of Allergy,1,10
2020-04-14,Oval Office,1,11
2020-04-14,Presbyterian Hospital Weill Cornell Medical Center,1,12
2020-04-14,Randolph College,1,13
2020-04-14,Sweet Briar College,1,14
2020-04-14,Treasury Department,1,15
2020-04-14,University Of Arizona,1,16
2020-04-14,University Of Lynchburg,1,17
2020-04-14,University Of Miami,1,18
2020-04-14,University Of Virginia,1,19
2020-04-14,Virginia Commonwealth University,1,20
2020-04-14,Associated Press,2,6
2020-04-14,George Washington University,5,5
2020-04-14,Alliance For American Manufacturing,8,1
2020-04-14,Brookings Institution,8,2
2020-04-14,Economic Policy Institute,8,3
2020-04-14,White House,8,4
2020-04-15,Drexel University,1,1
2020-04-15,Liberty University,1,2
2020-04-15,Randolph College,1,3
2020-04-15,Sweet Briar College,1,4
2020-04-15,University Of Arizona,1,5
2020-04-15,University Of Lynchburg,1,6
2020-04-15,University Of Miami,1,7
2020-04-15,University Of Virginia,1,8
2020-04-15,Virginia Commonwealth University,1,9
2020-04-16,Alliance For American Manufacturing,1,6
2020-04-16,Brookings Institution,1,7
2020-04-16,Economic Policy Institute,1,8
2020-04-16,George Washington University,1,9
2020-04-16,White House,1,10
2020-04-16,Amherst County High School,2,1
2020-04-16,Amherst County Service Authority,2,2
2020-04-16,Amherst Town Council,2,3
2020-04-16,Central Virginia Training Center,2,4
2020-04-16,Corporation Commission,2,5
2020-04-17,Amherst Circuit Court,1,1
2020-04-17,Virginia Institute Of Law,1,2
2020-04-19,Amelon Elementary School,1,1
2020-04-19,Copeland,1,2
2020-04-19,Department Of Social Services,1,3
2020-04-19,Linkhorne Middle School,1,4
2020-04-19,London Academy,1,5
2020-04-19,Tomahawk Elementary School,1,6
2020-04-19,Virginia Department Of Education,1,7
2020-04-19,Yellow Branch,1,8
2020-04-19,Ymca,1,9
2020-04-22,Centers For Disease,1,1
2020-04-22,Central Virginia Health District,1,2
2020-04-22,Virginia Department Of Health,1,3
2020-04-23,Blackwell,1,1
2020-04-23,Kroger,1,2
2020-04-23,Liberty University,1,3
2020-04-23,Sweet Briar College,1,4
2020-04-23,Walmart,1,5
2020-05-02,American Battlefield,1,1
2020-05-02,Conservation Department,1,2
2020-05-02,Ulysses Grant Overland Campaign,1,3
2020-05-02,Union Gen,1,4
2020-05-02,Union Gens,1,5
2020-05-02,Virginia Association For Parks,1,6
2020-05-02,Virginia Department Of Conservation,1,7
2020-05-03,Facebook,1,1
2020-05-03,Sweet Briar College,1,2
2020-05-14,Board Of Trustees,1,1
2020-05-14,Clifford Baptist Church,1,2
2020-05-14,Emerson College,1,3
2020-05-14,Even Emerson College,1,4
2020-05-14,First Baptist Church,1,5
2020-05-14,First Presbyterian Church,1,6
2020-05-14,Hampshire College,1,7
2020-05-14,Marlboro College,1,8
2020-05-14,National Community Church,1,9
2020-05-14,Parkview Baptist Church,1,10
2020-05-14,Save Hampshire College,1,11
2020-05-14,Sweet Briar College,1,12
2020-05-14,Walmart,1,13
2020-05-15,Armed Forces Day,1,1
2020-05-15,Californias Republican Party,1,2
2020-05-15,Establishment Of Forced Labor Enforcement Task,1,3
2020-05-15,Justice Department,1,4
2020-05-15,Labor Enforcement Task Force Task,1,5
2020-05-15,Legislature On,1,6
2020-05-15,Nation Armed,1,7
2020-05-15,Supreme Court,1,8
2020-05-15,Trump Administration,1,9
2020-05-15,Trump National Security Adviser Michael Flynn,1,10
2020-05-15,United States,1,11
2020-05-15,White House,1,12
2020-05-15,William Barrs Justice Department,1,13
2020-05-15,Yahoo,1,14
2020-05-15,York State Department Of Health,1,15
2020-06-08,Bishop Courtney Mcbath Of Calvary Revival Church,1,1
2020-06-08,Justice Initiative,1,2
2020-06-08,Tribune Content Agency,1,3
2020-06-16,Drexel University,1,1
2020-06-16,Lawyers For Liberty University,1,2
2020-06-16,Randolph College,1,3
2020-06-16,Sweet Briar College,1,4
2020-06-16,University Of Arizona,1,5
2020-06-16,University Of Miami,1,6
2020-06-16,University Of Virginia,1,7
2020-06-16,Virginia Commonwealth University,1,8
2020-06-17,Drexel University,1,1
2020-06-17,Lawyers For Liberty University,1,2
2020-06-17,Randolph College,1,3
2020-06-17,Sweet Briar College,1,4
2020-06-17,University Of Arizona,1,5
2020-06-17,University Of Miami,1,6
2020-06-17,University Of Virginia,1,7
2020-06-17,Virginia Commonwealth University,1,8
