date,organization,count,rn
2020-03-11,Centers For Disease Control,1,1
2020-03-11,Louisiana State University,1,2
2020-03-11,River Parishes Community College,1,3
2020-03-14,Ascensions School Superintendent David Alexander,1,1
2020-03-16,Centers For Disease,1,1
2020-03-16,Department Of Education,1,2
2020-03-16,Department Of Health,1,3
2020-03-16,Even The Zachary School District,1,4
2020-03-16,Governor Office Coronavirus,1,5
2020-03-16,House Communications Office,1,6
2020-03-16,Louisiana Department Of Education,1,7
2020-03-16,Louisiana Department Of Health,1,8
2020-03-16,Office Of Student Opportunities,1,9
2020-03-16,Recovery School District Superintendent Paul Vallas,1,10
2020-03-16,Senate Office Of Communication,1,11
2020-03-16,United States Centers For Disease,1,12
2020-03-16,Youtube,1,13
2020-03-17,Commission Consumer Information,1,1
2020-03-17,Gonzales Police Department,1,2
2020-03-17,Louisiana State Police,1,3
2020-03-17,Netflix,1,4
2020-03-18,Commission Consumer Information,1,1
2020-03-18,Gonzales Police Department,1,2
2020-03-18,Louisiana State Police,1,3
2020-03-18,Netflix,1,4
2020-03-22,Nan,1,1
2020-03-23,Catholic High School Principal Lisa Harvey,1,1
2020-03-23,Diocese Of Baton Rouge,1,2
2020-03-23,Facebook,1,3
2020-03-23,Health Insurance Portability,1,4
2020-03-23,Impact Charter School In Baker,1,5
2020-03-23,National Guard,1,6
2020-03-24,Community Care,1,8
2020-03-24,Joseph Health,1,9
2020-03-24,Ascension School,2,1
2020-03-24,Citizens Service Center,2,2
2020-03-24,Customer Service Center,2,3
2020-03-24,Economic Development,2,4
2020-03-24,Entergy,2,5
2020-03-24,School Board,2,6
2020-03-24,Waguespack Center,2,7
2020-03-25,Central Primary School,1,1
2020-03-25,Central Primary School In Gonzales,1,2
2020-03-25,Health Insurance Portability,1,3
2020-03-25,Louisiana Office Of Public Health,1,4
2020-03-25,Lowery Middle School,1,5
2020-03-26,Louisiana Workforce Commission,1,1
2020-03-26,Nan,1,2
2020-03-27,Public Health Emergency,1,1
2020-03-30,Big River Coalition,1,1
2020-03-30,Department Of Education,1,2
2020-03-30,Facebook,1,3
2020-03-30,Hearing Association,1,4
2020-03-30,School Board,1,5
2020-03-30,Us Army Corps Of Engineers,1,6
2020-04-02,Louisiana Department Of Education On,1,4
2020-04-02,Oregon Health Authority,1,5
2020-04-02,Education Department,2,2
2020-04-02,Louisiana Department Of Education,2,3
2020-04-02,Taylor Opportunity Program For Students,3,1
2020-04-04,Louisiana National Guard,1,1
2020-04-04,Strategic National,1,2
2020-04-05,Department Of Education,1,1
2020-04-05,Education Advisory Panel,1,2
2020-04-05,Google,1,3
2020-04-05,Louisiana School For The Deaf,1,4
2020-04-05,Louisiana School For The Visually Impaired,1,5
2020-04-05,Prairieville Middle School,1,6
2020-04-05,School District,1,7
2020-04-05,University Of Louisiana At Lafayette,1,8
2020-04-06,Associated Press,1,1
2020-04-06,Dakota Department Of Health,1,2
2020-04-06,Department Of Agriculture Plants,1,3
2020-04-06,Montana Department Of Commerce,1,4
2020-04-06,Montana National Guard,1,5
2020-04-06,United States,1,6
2020-04-06,York State Team,1,7
2020-04-07,Amneal Pharmaceuticals,1,1
2020-04-07,Franciscan Missionaries Of Our Lady Health System,1,2
2020-04-07,Louisiana Department Of Justice,1,3
2020-04-07,Ochsner Health,1,4
2020-04-07,School Of Medicine,1,5
2020-04-07,Teva Pharmaceutical Industries Ltd,1,6
2020-04-07,Teva Pharmaceuticals,1,7
2020-04-08,Louisiana Workforce Commission,1,1
2020-04-08,Public Health Emergency,1,2
2020-04-11,Bj Wholesale Club,1,1
2020-04-11,Cnn,1,2
2020-04-11,Democracy Fund,1,3
2020-04-11,Department Of Homeland Security,1,4
2020-04-11,Johns Hopkins University,1,5
2020-04-11,Labor Department,1,6
2020-04-11,Moody,1,7
2020-04-11,National Institute Of Allergy,1,8
2020-04-11,Trader Joe,1,9
2020-04-11,United States,1,10
2020-04-11,White House,1,11
2020-04-14,Nan,1,1
2020-04-14,Senate Committee On Education,1,2
2020-04-15,Senate Committee On Education,1,1
2020-04-19,Brookings Institution,1,1
2020-04-19,Children Health Fund,1,2
2020-04-19,Columbia University,1,3
2020-04-19,Dartmouth University Economics Professor Bruce Sacerdote,1,4
2020-04-19,Evaluation Association,1,5
2020-04-19,Rand Corporation,1,6
2020-04-19,University Of New Orleans,1,7
2020-04-21,Kenner,1,1
2020-04-23,Approval Of The City Council Meeting Minutes,1,1
2020-04-23,Bonds,1,2
2020-04-23,City Council,1,3
2020-04-23,Conway Economic Development District Fund Budget,1,4
2020-04-23,Emergency Management Agency,1,5
2020-04-23,Fund Budget,1,6
2020-04-23,Gonzales Economic Development District,1,7
2020-04-23,Governor Office Of Homeland Security,1,8
2020-04-23,Hotel Tax Fund Budget,1,9
2020-04-23,Industrial Development Board Fund Budget,1,10
2020-04-23,Louisiana Army National Guard,1,11
2020-04-23,Nan,1,12
2020-04-23,Planning Zoning Commission,1,13
2020-04-23,Quest Diagnostics,1,14
2020-04-23,Tanger Mall Economic Development District Fund Budget,1,15
2020-04-23,Utility Fund Budget,1,16
2020-04-27,Bon Air Juvenile Correctional Center,1,1
2020-04-27,Department Of Juvenile Justice,1,2
2020-04-27,Law Center,1,3
2020-04-27,Legal Aid Justice Center,1,4
2020-04-27,Louisiana Center,1,5
2020-04-27,Maryland Court,1,6
2020-04-27,Swanson Center,1,7
2020-04-27,Virginia Department Of Juvenile Justice,1,8
2020-04-27,Virginia Indigent Defense Commission,1,9
2020-04-28,Louisiana Department Of Health,1,4
2020-04-28,White House,1,5
2020-04-28,Airline Hwy,2,1
2020-04-28,Hanes Inc,2,2
2020-04-28,Thanks To Hanes Inc,2,3
2020-05-06,Ascension Health Unit,2,1
2020-05-06,Facebook,2,2
2020-05-06,Judicial Court,2,3
2020-05-06,Louisiana National Guard,2,4
2020-05-06,Parish Council,2,5
2020-05-10,Appropriations Committee,1,1
2020-05-10,House Appropriations Committee,1,2
2020-05-10,Pelican Institute For Public,1,3
2020-05-16,Brooks Community Park,1,1
2020-05-16,Louisiana Legislature,1,2
2020-05-16,Louisiana Senate Revenue Fiscal Affairs,1,3
2020-05-16,Roosters Men Grooming Salon In Towne Center,1,4
2020-05-16,Senate Concurrent Resolution,1,5
2020-05-20,Nan,1,1
2020-05-21,Health Centers,1,1
2020-05-21,Quest Diagnostics,1,2
2020-05-27,Department Of Corrections,1,1
2020-05-27,Elayn Hunt Correctional Center,1,2
2020-05-27,Louisiana Department Of Health,1,3
2020-05-27,World Health Organization,1,4
2020-05-28,Administration Jay Dardenne,1,1
2020-05-28,American Congress,1,2
2020-05-28,Johns Hopkins University,1,3
