date,organization,count,rn
2020-03-12,Ohio Department Of Education,1,1
2020-03-18,Agency Announcements,1,1
2020-03-18,Centers For Disease,1,2
2020-03-18,Facebook,1,3
2020-03-18,Marys Community Public Library,1,4
2020-03-18,Public Utilities Commission Of Ohio,1,5
2020-03-23,Bowling Green University,1,1
2020-03-23,Carroll High School,1,2
2020-03-23,Community Blood Center,1,3
2020-03-23,Donor Center,1,4
2020-03-23,Ohio Department Of Health,1,5
2020-03-23,White House,1,6
2020-03-27,Facebook,2,1
2020-03-27,Health District,2,2
2020-03-27,Ohio Department Of Health,2,3
2020-03-27,Pratt Industries,2,4
2020-03-31,American Trucking Association,1,1
2020-03-31,Burger King,1,2
2020-03-31,Cnn,1,3
2020-03-31,Factoring Service,1,4
2020-03-31,Nevada Trucking Association,1,5
2020-04-04,Grace United Methodist Church,1,1
2020-04-04,Ohio Department Of Health,1,2
2020-04-15,Ohio Department Of Health,1,1
2020-04-17,Department Of Health,1,3
2020-04-17,Farm Bureau,1,4
2020-04-17,Marys Senior Life Community,1,5
2020-04-17,Ohio Farm Bureau Federation,1,6
2020-04-17,Otterbein Senior Centers,1,7
2020-04-17,United States,1,8
2020-04-17,Walmart,1,9
2020-04-17,Brookings Institute,2,1
2020-04-17,Pratt Industries,2,2
2020-04-18,Nan,1,1
2020-05-08,Buckland United Church,2,1
2020-05-08,First English Lutheran Church,2,2
2020-05-08,First United Methodist Church,2,3
2020-05-08,Harvest Baptist Church,2,4
2020-05-08,Mark Lutheran Church,2,5
2020-05-08,National Day Of Prayer,2,6
2020-05-08,National Day Of Prayer On,2,7
2020-05-08,Paul United Church,2,8
2020-05-08,Salem United Methodist Church,2,9
2020-05-08,Trinity Lutheran Church,2,10
2020-05-18,Department Of Public Safety Ohio Investigative Unit,1,1
2020-05-18,Facebook,1,2
2020-05-18,Kline,1,3
2020-05-18,Putnam County Health Department,1,4
2020-05-27,Shell,1,1
2020-05-27,United States,1,2
2020-05-30,Facebook,1,1
2020-05-30,Raystown Ambulance Service,1,2
2020-05-30,United States,1,3
2020-06-28,Election Research Center,1,1
2020-06-28,Elections Research Center,1,2
2020-06-28,New York Times,1,3
2020-06-28,Pew Research Center,1,4
2020-06-28,University Of Wisconsin,1,5
2020-06-28,York Times Company,1,6
