date,organization,count,rn
2020-03-18,African American Heritage Commission Greenbook,1,1
2020-03-18,Aiken Readiness Center,1,2
2020-03-18,Arts Commission,1,3
2020-03-18,Autism Research,1,4
2020-03-18,Aviation Center,1,5
2020-03-18,Capital Reserve Fund,1,6
2020-03-18,Carolina Center,1,7
2020-03-18,Commission On Higher Education,1,8
2020-03-18,Conservation Bank,1,9
2020-03-18,Contingency Reserve Fund,1,10
2020-03-18,Council For Workforce Development,1,11
2020-03-18,Deal Closing Fund,1,12
2020-03-18,Denmark Technical College,1,13
2020-03-18,Department Of Administration,1,14
2020-03-18,Department Of Agriculture,1,15
2020-03-18,Department Of Alcohol,1,16
2020-03-18,Department Of Archives,1,17
2020-03-18,Department Of Commerce,1,18
2020-03-18,Department Of Corrections,1,19
2020-03-18,Department Of Disabilities,1,20
2020-03-18,Department Of Education,1,21
2020-03-18,Department Of Health,1,22
2020-03-18,Department Of Juvenile Justice,1,23
2020-03-18,Department Of Mental Health,1,24
2020-03-18,Department Of Motor Vehicles,1,25
2020-03-18,Department Of Parks,1,26
2020-03-18,Department Of Public Safety,1,27
2020-03-18,Department Of Social Services,1,28
2020-03-18,Department Of Transportation,1,29
2020-03-18,Division Of Aeronautics,1,30
2020-03-18,Economic Development Closing Fund,1,31
2020-03-18,Education Data Oversight Committee,1,32
2020-03-18,Election Commission,1,33
2020-03-18,Forestry Commission,1,34
2020-03-18,Government Fund,1,35
2020-03-18,Greenwood Genetic Center,1,36
2020-03-18,Group Home Board Payments,1,37
2020-03-18,Hospital Authority,1,38
2020-03-18,Human Services,1,39
2020-03-18,Jasper Ocean Terminal Port Facility Infrastructure Fund,1,40
2020-03-18,Judicial Department,1,41
2020-03-18,Law Enforcement Division,1,42
2020-03-18,Means Committee,1,43
2020-03-18,Other Drug Abuse Services,1,44
2020-03-18,Police Officers Retirement System,1,45
2020-03-18,Ports Authority,1,46
2020-03-18,Public Works Committee,1,47
2020-03-18,Ready Sc Program,1,48
2020-03-18,Resilience Reserve Fund,1,49
2020-03-18,Rural Health Initiative,1,50
2020-03-19,African American Heritage Commission Greenbook,1,1
2020-03-19,Aiken Readiness Center,1,2
2020-03-19,Arts Commission,1,3
2020-03-19,Autism Research,1,4
2020-03-19,Aviation Center,1,5
2020-03-19,Capital Reserve Fund,1,6
2020-03-19,Carolina Center,1,7
2020-03-19,Commission On Higher Education,1,8
2020-03-19,Conservation Bank,1,9
2020-03-19,Contingency Reserve Fund,1,10
2020-03-19,Council For Workforce Development,1,11
2020-03-19,Deal Closing Fund,1,12
2020-03-19,Denmark Technical College,1,13
2020-03-19,Department Of Administration,1,14
2020-03-19,Department Of Agriculture,1,15
2020-03-19,Department Of Alcohol,1,16
2020-03-19,Department Of Archives,1,17
2020-03-19,Department Of Commerce,1,18
2020-03-19,Department Of Corrections,1,19
2020-03-19,Department Of Disabilities,1,20
2020-03-19,Department Of Education,1,21
2020-03-19,Department Of Health,1,22
2020-03-19,Department Of Juvenile Justice,1,23
2020-03-19,Department Of Mental Health,1,24
2020-03-19,Department Of Motor Vehicles,1,25
2020-03-19,Department Of Parks,1,26
2020-03-19,Department Of Public Safety,1,27
2020-03-19,Department Of Social Services,1,28
2020-03-19,Department Of Transportation,1,29
2020-03-19,Division Of Aeronautics,1,30
2020-03-19,Economic Development Closing Fund,1,31
2020-03-19,Education Data Oversight Committee,1,32
2020-03-19,Election Commission,1,33
2020-03-19,Forestry Commission,1,34
2020-03-19,Government Fund,1,35
2020-03-19,Greenwood Genetic Center,1,36
2020-03-19,Group Home Board Payments,1,37
2020-03-19,Hospital Authority,1,38
2020-03-19,Human Services,1,39
2020-03-19,Jasper Ocean Terminal Port Facility Infrastructure Fund,1,40
2020-03-19,Judicial Department,1,41
2020-03-19,Law Enforcement Division,1,42
2020-03-19,Means Committee,1,43
2020-03-19,Other Drug Abuse Services,1,44
2020-03-19,Police Officers Retirement System,1,45
2020-03-19,Ports Authority,1,46
2020-03-19,Public Works Committee,1,47
2020-03-19,Ready Sc Program,1,48
2020-03-19,Resilience Reserve Fund,1,49
2020-03-19,Rural Health Initiative,1,50
2020-03-21,Ballard Court,1,1
2020-03-21,Bamberg County Probate Court,1,2
2020-03-21,Branch Services Courtney Saxon,1,3
2020-03-21,Carolina State University National Alumni Association,1,4
2020-03-21,Centers For Disease,1,5
2020-03-21,Community Cinema,1,6
2020-03-21,Consumer Protection Division,1,7
2020-03-21,Fedex,1,8
2020-03-21,National Council Quarterly Business,1,9
2020-03-21,Orangeburg County Democratic Party,1,10
2020-03-21,Pine Hill Health Network,1,11
2020-03-21,Pine Hill Indian Community Development Initiative,1,12
2020-03-21,Probate Court,1,13
2020-03-21,Ymca,1,14
2020-03-22,Carolina Alliance,2,1
2020-03-22,Centers For Disease,2,2
2020-03-22,Department Of Health,2,3
2020-03-22,Regional Medical Center,2,4
2020-03-22,Rural Utilities Service,2,5
2020-03-22,Tribune Content Agency,2,6
2020-03-22,Voorhees College,2,7
2020-03-24,Alison South Marketing Group Of Aiken,1,1
2020-03-24,Bamberg Clerk Of Court,1,2
2020-03-24,Clerk Of Court Register Of Deeds,1,3
2020-03-24,Digital Branch Library,1,4
2020-03-24,Disbursement Unit Customer Service Center,1,5
2020-03-24,Elections Office,1,6
2020-03-24,Emergency Services Department,1,7
2020-03-24,Family Court,1,8
2020-03-24,Fedex,1,9
2020-03-24,Office On,1,10
2020-03-24,Regional Library System,1,11
2020-03-24,Sc Supreme Court,1,12
2020-03-24,Senior Center,1,13
2020-03-25,Aynor High School,1,5
2020-03-25,Department Of Health,1,6
2020-03-25,Myrtle Beach International Airport,1,7
2020-03-25,Carolina Department Of Health,2,1
2020-03-25,Centers For Disease,2,2
2020-03-25,Facebook,2,3
2020-03-25,Trinity United Methodist Church,2,4
2020-04-29,Borgwarner,1,1
2020-04-29,Emergency Management Agency,1,2
2020-04-29,National Weather Service,1,3
2020-04-30,Carolina Commission For Minority Affairs,1,1
2020-04-30,Carolina Department Motor Vehicle,1,2
2020-04-30,Carolina Department Of Health,1,3
2020-04-30,Carolina Primary Care Association,1,4
2020-04-30,Community Outreach,1,5
2020-04-30,Drug Administration,1,6
2020-04-30,Health Centers Fqhcs,1,7
2020-04-30,Office Of Rural Health,1,8
2020-04-30,Public Health Laboratory,1,9
2020-05-12,Carolina Association Of Counties,1,1
2020-05-12,Ruffin High School,1,2
2020-05-17,Board Of Trustees On,1,1
2020-05-17,Carolina Department Of Health,1,2
2020-05-17,Centers Of Medicare,1,3
2020-05-17,Dialysis Access Institute,1,4
2020-05-17,Medicaid Services,1,5
2020-05-17,Regional Medical Center,1,6
2020-05-17,Regional Medical Center Blood Assurance Program,1,7
2020-05-17,Surgery Center,1,8
2020-07-09,Allen University,1,1
2020-07-09,Benedict College,1,2
2020-07-09,Carolina State University,1,3
2020-07-09,Claflin University,1,4
2020-07-09,Clinton College,1,5
2020-07-09,Denmark Technical College,1,6
2020-07-09,Governor Emergency Education Relief Fund,1,7
2020-07-09,Morris College,1,8
2020-07-09,Vorhees College,1,9
