date,organization,count,rn
2020-03-26,Kansas Department Of Wildlife,1,15
2020-03-26,Department Of Commerce,2,1
2020-03-26,Hospitality Industry Relief Emergency Fund,2,2
2020-03-26,Kansas Department Of Commerce,2,3
2020-03-26,Kansas Department Of Corrections,2,4
2020-03-26,Kansas Department Of Health,2,5
2020-03-26,Kansas Department Of Labor,2,6
2020-03-26,Kansas National Guard,2,7
2020-03-26,Kroger,2,8
2020-03-26,Ku Health System,2,9
2020-03-26,Network Kansas,2,10
2020-03-26,Senate Republican,2,11
2020-03-26,Stormont Vail Health In Topeka,2,12
2020-03-26,Walmart,2,13
2020-03-26,Youth First Initiative,2,14
2020-03-27,Department Of Commerce,1,1
2020-03-27,Hospitality Industry Relief Emergency Fund,1,2
2020-03-27,Kansas Department Of Commerce,1,3
2020-03-27,Kansas Department Of Corrections,1,4
2020-03-27,Kansas Department Of Health,1,5
2020-03-27,Kansas Department Of Labor,1,6
2020-03-27,Kansas Department Of Wildlife,1,7
2020-03-27,Kansas National Guard,1,8
2020-03-27,Kroger,1,9
2020-03-27,Ku Health System,1,10
2020-03-27,Network Kansas,1,11
2020-03-27,Senate Republican,1,12
2020-03-27,Stormont Vail Health In Topeka,1,13
2020-03-27,Walmart,1,14
2020-03-27,Youth First Initiative,1,15
2020-04-23,Courtesy Of The University Of Maryland,1,7
2020-04-23,Kansas News Service,1,8
2020-04-23,United States,1,9
2020-04-23,Ku Med Center,2,6
2020-04-23,Brookings Institute,3,1
2020-04-23,Bureau Of Labor Statistics,3,2
2020-04-23,Kansas Department Of Health,3,3
2020-04-23,University Of Kansas Medical Center,3,4
2020-04-23,University Of Maryland,3,5
2020-04-24,Brookings Institute,1,1
2020-04-24,Bureau Of Labor Statistics,1,2
2020-04-24,Kansas Department Of Health,1,3
2020-04-24,University Of Kansas Medical Center,1,4
2020-04-24,University Of Maryland,1,5
2020-05-07,Community Development At Kansas State University,1,1
2020-05-07,Facebook,1,2
2020-05-07,Medicine Lodge,1,3
2020-05-07,Walmart,1,4
2020-06-12,Central University In Ada,1,1
2020-06-13,Central University In Ada,1,1
