date,organization,count,rn
2020-02-12,Georgia Department Of Public Health,1,1
2020-02-12,Health District,1,2
2020-02-12,Moody Air Force,1,3
2020-03-03,New York Times,1,5
2020-03-03,York Times Company,1,6
2020-03-03,Centers For Disease,2,1
2020-03-03,Life Care Center,2,2
2020-03-03,United States,2,3
2020-03-03,University Of Michigan School Of Public Health,2,4
2020-03-05,United States,1,1
2020-03-07,Economic Club Of Southwestern Michigan,1,1
2020-03-07,H Club,1,2
2020-03-07,Mendel Center,1,3
2020-03-11,Emergency Operations Center,1,1
2020-03-11,Emergency Response Team,1,2
2020-03-11,Human Services,1,3
2020-03-11,Michigan Department Of Health,1,4
2020-03-11,Michigan State Police,1,5
2020-03-11,Nan,1,6
2020-03-12,Georgia Department Of Public Health,1,1
2020-03-12,Health Protection Condition,1,2
2020-03-12,Moody,1,3
2020-03-12,Moody Air Force,1,4
2020-03-12,Public Health Emergency,1,5
2020-03-12,Team Moody Tricare,1,6
2020-03-13,Amazon Web Services,1,4
2020-03-13,Army Gen,1,5
2020-03-13,Associated Press,1,6
2020-03-13,Boeing,1,7
2020-03-13,Centers For Disease,1,8
2020-03-13,Cnn,1,9
2020-03-13,Continental Army,1,10
2020-03-13,Defense Department,1,11
2020-03-13,Department Of Defense,1,12
2020-03-13,Department Of Education,1,13
2020-03-13,Epi Reference Lab,1,14
2020-03-13,Facebook,1,15
2020-03-13,House Armed Services Readiness Subcommittee,1,16
2020-03-13,International Monetary Fund On,1,17
2020-03-13,Macdill Air Force,1,18
2020-03-13,Madison Area Technical College,1,19
2020-03-13,Member Day Senate Armed Services Committee,1,20
2020-03-13,Microsoft,1,21
2020-03-13,Most University Of Wisconsin System,1,22
2020-03-13,National Security Council,1,23
2020-03-13,Northrop Grumman,1,24
2020-03-13,Senate Majority Leader Mitch Mcconnell,1,25
2020-03-13,Space Expo At Laughlin Air Force,1,26
2020-03-13,Strategic Forces Subcommittee,1,27
2020-03-13,Training At Joint Base San Antonio-Lackland,1,28
2020-03-13,Training School At Maxwell Air Force,1,29
2020-03-13,Twitter,1,30
2020-03-13,United States,1,31
2020-03-13,University Housing,1,32
2020-03-13,University Of North Carolina At Chapel Hill,1,33
2020-03-13,Us Department Of Agriculture,1,34
2020-03-13,Wisconsin Army National Guard,1,35
2020-03-13,World Health Organization,1,36
2020-03-13,Altus Air Force,2,2
2020-03-13,Moody Air Force,2,3
2020-03-13,Supplemental Nutrition Assistance Program,3,1
2020-03-14,Cornerstone Alliance,1,1
