date,organization,count,rn
2020-02-14,Dean Of International Affairs,1,1
2020-02-14,Office Of International Affairs,1,2
2020-02-14,United States,1,3
2020-03-10,Whataburger,2,3
2020-03-10,Cnn,4,1
2020-03-10,University Of Michigan,4,2
2020-03-11,Cnn,1,1
2020-03-11,University Of Michigan,1,2
2020-03-25,American Medical Association,1,1
2020-03-25,Anmed Health,1,2
2020-03-25,Anmed Health In Anderson,1,3
2020-03-25,Bullington Associates,1,4
2020-03-25,Converse College,1,5
2020-03-25,Francis Health System,1,6
2020-03-25,Milliken Co,1,7
2020-03-25,Prisma Health,1,8
2020-03-25,Spartanburg Methodist College,1,9
2020-03-25,Spartanburg School Districts,1,10
2020-03-25,Tietex International,1,11
2020-04-02,Clair County Health Department,1,1
2020-04-02,Louis County Department Of Public Health,1,2
2020-04-13,Illinois State Police,1,1
2020-04-13,King James Bible Baptist Church,1,2
2020-04-13,Lifeway Research,1,3
2020-04-13,New York Times,1,4
2020-04-13,Reproductive Health Protection,1,5
2020-04-13,United States,1,6
2020-04-14,Hospital Sisters Health System,1,2
2020-04-14,Centers For Disease,2,1
2020-04-23,Center Cross,1,2
2020-04-23,University City Farmers Market,3,1
2020-05-15,Board Of Health,1,1
2020-05-15,Department Of Public Health,1,2
2020-05-15,Facebook,1,3
2020-05-15,Illinois State Police,1,4
2020-05-15,Louis University,1,5
2020-05-15,National Law Journal,1,6
2020-05-19,Buckingham Correctional Center,1,1
2020-05-19,Cbs News,1,2
2020-05-19,Centers For Disease,1,3
2020-05-19,Illinois Department Of Public Health,1,4
2020-05-19,Lanphier High School,1,5
2020-05-19,Starbucks,1,6
