date,organization,count,rn
2020-03-07,Costco,1,1
2020-03-07,Twitter,1,2
2020-03-07,Walmart,1,3
2020-03-08,Costco,1,1
2020-03-08,Twitter,1,2
2020-03-08,Walmart,1,3
2020-03-14,Allen Academy,2,1
2020-03-14,Brazos Christian School,2,2
2020-03-14,Bryan High School,2,3
2020-03-14,College Hills Elementary,2,4
2020-03-14,Facebook,2,5
2020-03-14,Harmony Science Academy In Bryan,2,6
2020-03-14,International Leadership Of Texas,2,7
2020-03-14,Joseph Catholic School,2,8
2020-03-14,Kemp-Carver Elementary School,2,9
2020-03-17,American Association Of School Superintendents,1,1
2020-03-17,Brazos County Health District,1,2
2020-03-17,Bryan High School,1,3
2020-03-17,Centers For Disease,1,4
2020-03-17,Consortium For School Networking,1,5
2020-03-17,Disney,1,6
2020-03-17,Downtown School,1,7
2020-03-17,Gates Foundation,1,8
2020-03-17,Google,1,9
2020-03-17,Kemp-Carver Elementary School,1,10
2020-03-17,Melinda Gates Foundation,1,11
2020-03-17,Texas Department Of State Health Services,1,12
2020-03-17,Texas Education Agency,1,13
2020-03-17,United States,1,14
2020-03-18,Associated Press,1,1
2020-03-18,British Airways,1,2
2020-03-18,Carnival Corp,1,3
2020-03-18,Celebrity Cruises,1,4
2020-03-18,Centers For Disease,1,5
2020-03-18,Commonwealth Office,1,6
2020-03-18,Cruise Line International Association,1,7
2020-03-18,Department Of Health,1,8
2020-03-18,Dobbins Air Reserve,1,9
2020-03-18,Human Services,1,10
2020-03-18,Princess Cruises,1,11
2020-03-18,Royal Caribbean,1,12
2020-03-18,Travis Air Force,1,13
2020-03-18,United States,1,14
2020-03-24,Brazos County Health District,1,1
2020-03-24,College High School,1,2
2020-03-24,Facebook,1,3
2020-03-24,Pebble Creek Elementary School,1,4
2020-03-24,Program Cancellations,1,5
2020-03-25,Student Government Association On,1,1
2020-03-25,Student Health Services,1,2
2020-03-25,Young,1,3
2020-03-26,Bryan High School,1,1
2020-03-26,Bryan Performing Arts Center,1,2
2020-03-26,Community Foundation Of The Brazos Valley,1,3
2020-03-26,Community Relief,1,4
2020-03-26,Community Relief Fund,1,5
2020-03-26,First Financial Bank,1,6
2020-03-26,Fries Financial Services Fund,1,7
2020-03-26,Rudder Auditorium For Bryan Collegiate High School,1,8
2020-03-26,Rudder High School,1,9
2020-03-27,Nan,1,1
2020-04-02,Texas Department Of Transportation,1,1
2020-04-03,Facebook,1,1
2020-04-27,Bon Air Juvenile Correctional Center,1,1
2020-04-27,Department Of Juvenile Justice,1,2
2020-04-27,Law Center,1,3
2020-04-27,Legal Aid Justice Center,1,4
2020-04-27,Louisiana Center,1,5
2020-04-27,Maryland Court,1,6
2020-04-27,Swanson Center,1,7
2020-04-27,Virginia Department Of Juvenile Justice,1,8
2020-04-27,Virginia Indigent Defense Commission,1,9
2020-04-29,Bryan City Council,1,1
2020-04-29,Community Development Advisory Committee,1,2
2020-04-29,Community Development Block Grant,1,3
2020-04-29,Community Development Block Grant Coronavirus,1,4
2020-04-29,Community Planning,1,5
2020-04-29,Development Programs,1,6
2020-04-29,Home Investment Partnership,1,7
2020-06-03,Facebook,1,1
2020-06-03,Go Fund Me,1,2
