date,organization,count,rn
2020-02-17,Bureau Of Land Management,1,1
2020-02-17,Colorado Avalanche Information Center,1,2
2020-02-17,Enloe Medical Center,1,3
2020-02-17,Human Services,1,4
2020-02-17,Lackland Air Force,1,5
2020-02-17,National Institute Of Allergy,1,6
2020-02-17,National Institutes Of Health,1,7
2020-02-17,Travis Air,1,8
2020-02-17,Travis Air Force,1,9
2020-02-17,United States,1,10
2020-02-22,Tribune Content Agency,1,1
2020-02-22,United States,1,2
2020-02-22,Youtube,1,3
2020-02-26,American Heart Association,1,1
2020-02-26,Bloomberg,1,2
2020-02-26,Bonds,1,3
2020-02-26,California Public Utilities Commission,1,4
2020-02-26,Contra Costa Emergency Medical Services Agency,1,5
2020-02-26,Facebook,1,6
2020-02-26,John Muir Health Cardiology Department,1,7
2020-02-26,Police Department,1,8
2020-02-26,Travis Air Force,1,9
2020-02-26,World Health Organisation South China Morning,1,10
2020-02-26,World Health Organization,1,11
2020-02-27,Argyll Medical Group In Chico,1,3
2020-02-27,Butte County Public Health Department,1,4
2020-02-27,California Department Of Public Health,1,5
2020-02-27,Centers For Disease,1,6
2020-02-27,Enloe Medical Center,1,7
2020-02-27,Public Health,1,8
2020-02-27,Twitter,1,9
2020-02-27,United States,2,1
2020-02-27,World Health Organization,2,2
2020-02-28,Nan,1,1
2020-02-29,Bloomberg,1,3
2020-02-29,Boeing,1,4
2020-02-29,Charleston Air Force,1,5
2020-02-29,Republican Party,1,6
2020-02-29,Trump On Air Force,2,1
2020-02-29,United States,2,2
2020-03-04,Gridley Police Department,1,1
2020-03-05,Barnes Noble,1,1
2020-03-05,California Department Of Education,1,2
2020-03-05,California Department Of Public Health,1,3
2020-03-05,California Health,1,4
2020-03-05,California Public Utilities Commission,1,5
2020-03-05,California State University,1,6
2020-03-05,Centers For Disease,1,7
2020-03-05,Corning City Council,1,8
2020-03-05,Human Services,1,9
2020-03-05,Human Services Agency,1,10
2020-03-05,Khan Academy,1,11
2020-03-05,Manzanita Court,1,12
2020-03-05,Menlo School,1,13
2020-03-05,National Institutes Of Health,1,14
2020-03-05,National Security Council,1,15
2020-03-05,Rocklin Fire Department,1,16
2020-03-05,Sylvia Mendez Elementary School In Berkeley,1,17
2020-03-06,Walgreens,1,1
2020-03-06,Walmart,1,2
2020-03-07,California National Guard,1,1
2020-03-07,Department Of Public Health,1,2
2020-03-07,Health Care,1,3
2020-03-07,Johns Hopkins University,1,4
2020-03-07,Princess Cruises,1,5
2020-03-07,Rocklin Fire Department,1,6
2020-03-07,Rocklin Police,1,7
2020-03-07,Southern Nevada Health District,1,8
2020-03-07,Sunnyvale Department Of Public Safety,1,9
2020-03-07,Winco Foods,1,10
2020-03-08,Human Services,1,5
2020-03-08,Oakland International Airport,1,6
2020-03-08,San Antonio Lackland,1,7
2020-03-08,University Of Maryland,1,8
2020-03-08,Princess Cruises,2,4
2020-03-08,Carnival Corporation,3,1
2020-03-08,Facebook,3,2
2020-03-08,Office Of Emergency Services,3,3
2020-03-11,California Department Of Public Health,2,1
2020-03-11,Gridley Police Department,2,2
2020-03-11,Walmart,2,3
2020-03-13,California Department Of Public Health,1,1
2020-03-13,California State University Of Chico,1,2
2020-03-13,Centers For Disease,1,3
2020-03-13,Coronavirus Task,1,4
2020-03-13,Credit Center,1,5
2020-03-13,Disney,1,6
2020-03-13,United States,1,7
2020-03-13,White House Task,1,8
2020-03-19,Allagash Brewing Co,1,8
2020-03-19,Allan Hancock College,1,9
2020-03-19,Belgium Brewing Co,1,10
2020-03-19,Berkeley City College,1,11
2020-03-19,Binary Brewing Co,1,12
2020-03-19,Bloomingdale,1,13
2020-03-19,Boulevard Brewing Co,1,14
2020-03-19,Brewers Association,1,15
2020-03-19,Brewing Co,1,16
2020-03-19,Butte College,1,17
2020-03-19,California Community College,1,18
2020-03-19,Centers For Disease,1,19
2020-03-19,Chico City Council,1,20
2020-03-19,Cigar City Brewing Co,1,21
2020-03-19,College Of Alameda,1,22
2020-03-19,Firestone Walker Brewing Co,1,23
2020-03-19,Fort Lauderdale Hollywood International Airport,1,24
2020-03-19,Green Flash Brewing Co,1,25
2020-03-19,Heineken,1,26
2020-03-19,Helena Sleeping Giant Brewing Company,1,27
2020-03-19,Hodad Brewing Co,1,28
2020-03-19,Instagram,1,29
2020-03-19,Japan Kirin Holdings Co,1,30
2020-03-19,Laney College,1,31
2020-03-19,Lassen College,1,32
2020-03-19,Left Hand Brewing Co,1,33
2020-03-19,Lewis Clark Brewing Co,1,34
2020-03-19,Mendocino College,1,35
2020-03-19,Merritt College,1,36
2020-03-19,Miracosta College,1,37
2020-03-19,Nordstrom,1,38
2020-03-19,Northern Valley Harm Reduction Coalition,1,39
2020-03-19,Rec Center,1,40
2020-03-19,Rubber Company,1,41
2020-03-19,Saint Arnold Brewing Company,1,42
2020-03-19,Stone Brewing Co,1,43
2020-03-19,United States,1,44
2020-03-19,Yelp,1,45
2020-03-19,California Department Of Public Health,2,6
2020-03-19,Facebook,2,7
2020-03-19,Chico Unified School District Loma Vista School,4,1
2020-03-19,Enloe Medical Center,4,2
2020-03-19,Henry At Enloe Medical Center,4,3
2020-03-19,Loma Vista School,4,4
2020-03-19,Northern Regional Center,4,5
2020-03-20,Department Of Elementary,1,1
2020-03-20,Elementary School Principal Paula Manchester,1,2
2020-03-20,School Committee Machado,1,3
2020-03-20,Somerset Berkley Regional High School Advanced Placement,1,4
2020-03-20,Somerset Berkley Regional School Committee,1,5
2020-03-20,Somerset School Committee,1,6
2020-03-22,Nan,1,1
2020-03-23,Associated Press,1,8
2020-03-23,Australia Parliament,1,9
2020-03-23,Federal Reserve,1,10
2020-03-23,Kansas News Service,1,11
2020-03-23,Nan,1,12
2020-03-23,Public Utilities Commission,1,13
2020-03-23,Tribune Content Agency,1,14
2020-03-23,California Public Health,2,3
2020-03-23,California Public Health Officer,2,4
2020-03-23,California Public Utilities Commission,2,5
2020-03-23,Google,2,6
2020-03-23,Thomson Reuters Trust Principles,2,7
2020-03-23,Reuters,5,2
2020-03-23,Pg E Corp,8,1
2020-03-24,Clean Energy Wire,1,15
2020-03-24,European Commission,1,16
2020-03-24,Federal Reserve,1,17
2020-03-24,Hamline University,1,18
2020-03-24,La Times,1,19
2020-03-24,Mint Press News,1,20
2020-03-24,National Mining Association,1,21
2020-03-24,National Puppy Day,1,22
2020-03-24,Senate Democrats,1,23
2020-03-24,University Of Missouri,1,24
2020-03-24,Us Federal Aviation Administration,1,25
2020-03-24,Us Supreme Court On,1,26
2020-03-24,Bankruptcy Court,2,7
2020-03-24,Consumer Protection Trust Fund,2,8
2020-03-24,Exchange Commission On,2,9
2020-03-24,Reuters,2,10
2020-03-24,Southwestern Law School,2,11
2020-03-24,Tribune Content Agency,2,12
2020-03-24,Twitter,2,13
2020-03-24,United States,2,14
2020-03-24,California Department Of Forestry,4,5
2020-03-24,Fire Victim,4,6
2020-03-24,Exchange Commission,5,4
2020-03-24,Associated Press,10,3
2020-03-24,Pg E Corp,12,2
2020-03-24,California Public Utilities Commission,13,1
2020-03-25,Associated Press,1,3
2020-03-25,Bankruptcy Court,1,4
2020-03-25,California Department Of Forestry,1,5
2020-03-25,Consumer Protection Trust Fund,1,6
2020-03-25,Exchange Commission,1,7
2020-03-25,Facebook,1,8
2020-03-25,Fire Victim,1,9
2020-03-25,Interfaith Social Services In Quincy,1,10
2020-03-25,Kansas Department Of Health,1,11
2020-03-25,Kansas Kansas Department Of Health,1,12
2020-03-25,Morris,1,13
2020-03-25,Providence College,1,14
2020-03-25,Tribune Content Agency,1,15
2020-03-25,Chico City Council,2,1
2020-03-25,Chico City Council Chambers,2,2
2020-03-26,Bankruptcy Court,1,9
2020-03-26,California Department Of Forestry,1,10
2020-03-26,Consumer Protection Trust Fund,1,11
2020-03-26,Exchange Commission,1,12
2020-03-26,Fire Victim,1,13
2020-03-26,Kansas Department Of Health,1,14
2020-03-26,Kansas Kansas Department Of Health,1,15
2020-03-26,Morris,1,16
2020-03-26,Associated Press,2,1
2020-03-26,Butte College,2,2
2020-03-26,Chico City Council,2,3
2020-03-26,Nursing Program,2,4
2020-03-26,Senate On,2,5
2020-03-26,Tax Collector Office,2,6
2020-03-26,Tri Counties Bank,2,7
2020-03-26,United States,2,8
2020-03-27,Bankruptcy Court,1,5
2020-03-27,Bethel Church,1,6
2020-03-27,California Department Of Forestry,1,7
2020-03-27,College View Drive In Redding,1,8
2020-03-27,Consumer Protection Trust Fund,1,9
2020-03-27,Department Of Public Health,1,10
2020-03-27,Exchange Commission,1,11
2020-03-27,Facebook,1,12
2020-03-27,Fire Victim,1,13
