date,organization,count,rn
2020-02-13,Beth Eden Baptist Church,1,1
2020-02-13,Brown University,1,2
2020-02-13,Calvary Presbyterian Church,1,3
2020-02-13,College Ave,1,4
2020-02-13,Commonwealth Club,1,5
2020-02-13,Computer History Museum,1,6
2020-02-13,Cultural Center,1,7
2020-02-13,Facebook,1,8
2020-02-13,Family Life Center,1,9
2020-02-13,First Presbyterian Church,1,10
2020-02-13,Jewish Unity Group,1,11
2020-02-13,Johns Hopkins University,1,12
2020-02-13,Markkula Center,1,13
2020-02-13,Mission Cultural Center,1,14
2020-02-13,Mission St,1,15
2020-02-13,Osher Marin Jewish Community Center,1,16
2020-02-13,Starline Social Club,1,17
2020-02-13,Sunrise Movement,1,18
2020-03-20,Cnn,1,1
2020-03-20,Democratic Party,1,2
2020-03-20,Electoral College,1,3
2020-03-20,Great Society,1,4
2020-03-20,Msnbc,1,5
2020-03-20,United States,1,6
2020-03-20,White House,1,7
2020-03-20,World Trade Center,1,8
2020-04-07,A Group,1,1
2020-04-07,Fashion Fund,1,2
2020-04-07,Morgan,1,3
2020-04-07,United States,1,4
2020-04-07,Vogue Fashion Fund,1,5
2020-04-18,City Parks Foundation,1,1
2020-04-21,Copan Industries,1,1
2020-04-21,Drug Administration,1,2
2020-04-21,Emergency Management Agency,1,3
2020-04-21,Facebook,1,4
2020-04-21,Office Of The Inspector,1,5
2020-04-21,Ponce Health Sciences University,1,6
2020-04-21,Ponce Research Institute,1,7
2020-04-21,Senate Finance Committee,1,8
2020-04-21,Technology Research,1,9
2020-04-21,United States,1,10
2020-04-21,University Of Puerto Rico,1,11
2020-04-21,University Of Puerto Rico At Humacao,1,12
2020-04-21,Yale University,1,13
2020-04-24,Fordham University,1,1
2020-04-24,Lincoln Center,1,2
2020-04-24,University Of Puerto Rico,1,3
2020-04-25,Department Of Health,1,1
2020-04-25,Drug Administration,1,2
2020-04-25,Emergency Management Agency,1,3
2020-04-25,Facebook,1,4
2020-04-25,New York Times,1,5
2020-04-25,Office Of The Inspector,1,6
2020-04-25,Puerto Rico Center,1,7
2020-04-25,Senate Finance Committee,1,8
2020-04-25,Technology Research,1,9
2020-04-25,United States,1,10
2020-04-25,Yale University,1,11
2020-04-29,Department Of Education,1,1
2020-04-29,Education Department,1,2
