date,organization,count,rn
2020-02-02,Comcast,1,1
2020-02-02,Committee On Recreation,1,2
2020-02-02,Community Services,1,3
2020-02-02,Concord City Council,1,4
2020-02-02,Contra Costa Horsemen Association,1,5
2020-02-02,Contra Costa Television,1,6
2020-02-02,Correctional Institute,1,7
2020-02-02,Cultural Affairs,1,8
2020-02-02,Department Of Health,1,9
2020-02-02,Energy Inc,1,10
2020-02-02,Facebook,1,11
2020-02-02,Human Services,1,12
2020-02-02,Lackland Air Force,1,13
2020-02-02,Martinez Refining Co,1,14
2020-02-02,National Register Of Historic,1,15
2020-02-02,Pittsburg Library,1,16
2020-02-02,Regional Training Institute In Fort Carson,1,17
2020-02-02,Santa Rosa Police Department,1,18
2020-02-02,Shell,1,19
2020-02-02,Sheriff Department,1,20
2020-02-02,Travis Air Force Base In Fairfield,1,21
2020-02-02,Twitter,1,22
2020-02-02,Youtube,1,23
2020-02-05,Associated Press,1,1
2020-02-05,Centers For Disease,1,2
2020-02-05,Cnn,1,3
2020-02-05,Johns Hopkins University,1,4
2020-02-05,Lackland Air Force,1,5
2020-02-05,New York Times,1,6
2020-02-05,Royal Caribbean,1,7
2020-02-05,Travis Air Force,1,8
2020-02-05,United States,1,9
2020-02-05,World Health Organization,1,10
2020-02-07,Chinese Academy Of Sciences,1,1
2020-02-07,Delta Air Lines,1,2
2020-02-07,International Symposium On Carbene,1,3
2020-02-07,Menger Hotel,1,4
2020-02-07,Soochow University,1,5
2020-02-07,University Of Maryland,1,6
2020-02-07,University Of Texas At San Antonio,1,7
2020-03-01,Cardone Industries,1,1
2020-03-01,Data Services,1,2
2020-03-01,Department Of Water Resources,1,3
2020-03-01,Fedex,1,4
2020-03-01,Mcallen Economic Development Corp,1,5
2020-03-01,Polaris Research Institute,1,6
2020-03-01,Texas Manufacturer Association,1,7
2020-03-01,United States,1,8
2020-03-01,Valley International Airport,1,9
2020-03-02,Cardone Industries,1,1
2020-03-02,Data Services,1,2
2020-03-02,Fedex,1,3
2020-03-02,Mcallen Economic Development Corp,1,4
2020-03-02,Polaris Research Institute,1,5
2020-03-02,Texas Manufacturer Association,1,6
2020-03-02,United States,1,7
2020-03-02,Valley International Airport,1,8
2020-03-06,Centers For Disease,1,1
2020-03-06,Facebook,1,2
2020-03-06,Miller Jordan Middle School,1,3
2020-03-06,Nan,1,4
2020-03-06,Texas Department Of State Health Services,1,5
2020-03-06,United States,1,6
2020-03-06,Veterans Memorial Academy,1,7
2020-03-08,Cardone Industries,1,1
2020-03-08,Data Services,1,2
2020-03-08,Fedex,1,3
2020-03-08,Mcallen Economic Development Corp,1,4
2020-03-08,Polaris Research Institute,1,5
2020-03-08,Texas Manufacturer Association,1,6
2020-03-08,United States,1,7
2020-03-08,Valley International Airport,1,8
2020-03-09,Centers For Disease,1,1
2020-03-09,Centers For Prevention,1,2
2020-03-09,Texas Centers For Infectious Disease,1,3
2020-03-11,Anthony,1,1
2020-03-12,Nan,1,1
2020-03-13,Georgetown University,1,2
2020-03-13,Mexico National Institute Of Migration,1,3
2020-03-13,Physicians For Human Rights,1,4
2020-03-13,Texas Department Of State Health Services,1,5
2020-03-13,Centers For Disease,2,1
2020-03-14,Castle Hills Elementary School,1,1
2020-03-14,Centers For Disease,1,2
2020-03-14,Clorox,1,3
2020-03-14,Facebook,1,4
2020-03-14,Japhet Academy,1,5
2020-03-14,Lamar Elementary School,1,6
2020-03-14,Texas Department Of State Health Services,1,7
2020-03-15,Associated Press,1,1
2020-03-15,Brownsville Public Health,1,2
2020-03-15,Centers For Disease,1,3
2020-03-15,Gulf Coast Division,1,4
2020-03-15,Gulf Division,1,5
2020-03-15,Valley Baptist Medical Center,1,6
2020-03-15,Valley Regional Medical Center,1,7
2020-03-16,Brownsville Public Health,1,2
2020-03-16,California Assembly,1,3
2020-03-16,Gulf Coast Division,1,4
2020-03-16,Gulf Division,1,5
2020-03-16,Iowa Supreme Court,1,6
2020-03-16,Missouri Senate,1,7
2020-03-16,Navajo National Division Of Natural Resources,1,8
2020-03-16,Netflix,1,9
2020-03-16,Senior Services Of Central Illinois,1,10
2020-03-16,Twitter,1,11
2020-03-16,Valley Baptist Medical Center,1,12
2020-03-16,Valley Regional Medical Center,1,13
2020-03-16,Centers For Disease,2,1
2020-03-17,Austin Community College,1,1
2020-03-17,Centers For Disease,1,2
2020-03-17,Concordia University,1,3
2020-03-17,Edward University,1,4
2020-03-17,University Of Texas,1,5
2020-03-18,Instagram,1,9
2020-03-18,Texas A M University,1,10
2020-03-18,University Of Kansas,1,11
2020-03-18,University Of North Texas,1,12
2020-03-18,University Of Texas At San Antonio,1,13
2020-03-18,Centers For Disease,2,1
2020-03-18,City Commission,2,2
2020-03-18,Creative Movement,2,3
2020-03-18,Facebook,2,4
2020-03-18,Genealogy Society,2,5
2020-03-18,Recreation Department,2,6
2020-03-18,Sclerosis Support Group,2,7
2020-03-18,Texas Department Of State Health Services,2,8
2020-03-19,Galveston County Health District,1,14
2020-03-19,Galveston Park Board Of Trustees,1,15
2020-03-19,Land Office,1,16
2020-03-19,Mooney,1,17
2020-03-19,Wildlife Department,1,18
2020-03-19,Associated Press,2,3
2020-03-19,Bloomberg,2,4
2020-03-19,Centers For Medicare Medicaid Services,2,5
2020-03-19,Facebook,2,6
2020-03-19,Nan,2,7
2020-03-19,New York Times,2,8
2020-03-19,Public Health Region,2,9
2020-03-19,Student Travel Services,2,10
2020-03-19,Texas Department Of State Health Services,2,11
2020-03-19,Twitter,2,12
2020-03-19,Young,2,13
2020-03-19,Centers For Disease,3,1
2020-03-19,White House,3,2
2020-03-20,Centers For Medicare,1,4
2020-03-20,Democratic National Committee,1,5
2020-03-20,Google,1,6
2020-03-20,Medicaid Services,1,7
2020-03-20,Party For Donald Trump Jr,1,8
2020-03-20,Party Leaders Favor Female,1,9
2020-03-20,Senate Intelligence Committee,1,10
2020-03-20,Shell,1,11
2020-03-20,Twitter,1,12
2020-03-20,United States,1,13
2020-03-20,White House,1,14
2020-03-20,Centers For Disease,2,1
2020-03-20,Nan,2,2
2020-03-20,Wildlife Department,2,3
2020-03-22,Cameron County Health Administrator Esmeralda Guajardo,1,1
2020-03-22,Centers For Disease,1,2
2020-03-22,City Commission,1,3
2020-03-22,Facebook,1,4
2020-03-22,Girls Club,1,5
2020-03-22,Texas Department Of State Health Services,1,6
2020-03-23,Cameron County Health Administrator Esmeralda Guajardo,1,2
2020-03-23,Centers For Disease,1,3
2020-03-23,City Commission,1,4
2020-03-23,Facebook,1,5
2020-03-23,Girls Club,1,6
2020-03-23,Texas Department Of State Health Services,1,7
2020-03-23,Valley Baptist Medical Center,1,8
2020-03-23,United States,3,1
2020-03-25,Commissioners Court,1,1
2020-03-25,Division Of Emergency Management,1,2
2020-03-25,Facebook,1,3
2020-03-25,Living Center,1,4
2020-03-25,Texas Education Agency,1,5
2020-03-25,Texas Health Presbyterian Hospital Denton,1,6
2020-03-25,University Of North Texas System,1,7
2020-03-26,Brownsville Police Department,1,1
2020-03-26,Facebook,1,2
2020-03-26,Texas Commission On Jail Standards,1,3
2020-03-27,A University Of Texas Rio Grande Valley,1,2
2020-03-27,Central Market,1,3
2020-03-27,Mission City,1,4
2020-03-27,Student Health Services,1,5
2020-03-27,United States,1,6
2020-03-27,Valley Baptist Medical Center,1,7
2020-03-27,Economic Development Corporation,2,1
2020-03-28,Association Of Zoos,1,3
2020-03-28,Department Of Housing,1,4
2020-03-28,Facebook,1,5
2020-03-28,Instagram,1,6
2020-03-28,International Union For Conservation Of Nature,1,7
2020-03-28,Twitter,1,8
2020-03-28,Ut Health,1,9
2020-03-28,A University Of Texas Rio Grande Valley,2,1
2020-03-28,Student Health Services,2,2
2020-03-29,Massachusett Springfield College,1,3
2020-03-29,Springfield College,1,4
2020-03-29,Economic Development Corporation,2,1
2020-03-29,New York Post,2,2
2020-03-31,Austin Public Health,1,2
2020-03-31,Austin Public Health Department,1,3
2020-03-31,Child Nutrition Program,1,4
2020-03-31,Mission City,1,5
2020-03-31,Point Isabel School District,1,6
2020-03-31,Texas Department Of Agriculture,1,7
2020-03-31,United States,1,8
2020-03-31,University Health Service,1,9
2020-03-31,University Of Tampa,1,10
2020-03-31,University Of Wisconsin,1,11
2020-03-31,Ut Health Austin,1,12
2020-03-31,Valley Baptist Medical Center,1,13
2020-03-31,White House,1,14
2020-03-31,University Health Services,2,1
2020-04-01,Austin Public Health,1,2
2020-04-01,Austin Public Health Department,1,3
2020-04-01,El Valle Detention Centers,1,4
2020-04-01,Instagram,1,5
2020-04-01,Muslim Students Association,1,6
2020-04-01,National Latina Institute For Reproductive Justice,1,7
2020-04-01,Rio Grande Valley Equal Voice Network,1,8
2020-04-01,Texas Department Of Criminal Justice,1,9
2020-04-01,Training Corporation,1,10
2020-04-01,University Health Services,1,11
2020-04-01,University Of Maryland,1,12
2020-04-01,Ut Health Austin,1,13
2020-04-01,Voice Network,2,1
2020-04-02,A Springfield College,1,7
2020-04-02,Austin Department,1,8
2020-04-02,Centers For Disease,1,9
2020-04-02,Cnn,1,10
2020-04-02,Health Authority Dr,1,11
2020-04-02,New York Post,1,12
2020-04-02,Austin Public Health,2,3
2020-04-02,Austin Public Health Department,2,4
2020-04-02,University Health Services,2,5
2020-04-02,Ut Health Austin,2,6
2020-04-02,Valley Baptist Medical Center,3,1
2020-04-02,Walmart,3,2
2020-04-03,Austin Public Health,1,1
2020-04-03,Austin Public Health Department,1,2
2020-04-03,Department Of Health,1,3
2020-04-03,Division Of Emergency Management,1,4
2020-04-03,Nan,1,5
2020-04-03,National Institute Of Allergy,1,6
2020-04-03,Pennsylvania Department Of Health,1,7
2020-04-03,Quest Diagnostics,1,8
2020-04-03,Team Rubicon,1,9
2020-04-03,Texas Department Of State Health Services,1,10
2020-04-03,University Health Services,1,11
2020-04-03,Upper Allegheny Health System,1,12
2020-04-03,Ut Health,1,13
2020-04-03,Ut Health Austin,1,14
2020-04-04,Brewery Co,1,1
2020-04-04,Christian Assistance Ministry,1,2
2020-04-04,Department Of Human Services On,1,3
2020-04-04,Division Of Emergency Management,1,4
2020-04-04,Quest Diagnostics,1,5
2020-04-04,Southwest Airlines,1,6
2020-04-04,Texas Department Of State Health Services,1,7
2020-04-04,Ut Health,1,8
2020-04-05,Division Of Emergency Management,1,2
2020-04-05,Quest Diagnostics,1,3
2020-04-05,Ut Health,1,4
2020-04-05,Texas Department Of State Health Services,2,1
2020-04-06,Barbara Bush Literacy Foundation,1,1
2020-04-06,Centers For Disease,1,2
2020-04-06,Team Rubicon,1,3
2020-04-06,Travis Elementary School,1,4
2020-04-06,World Health Organization,1,5
2020-04-08,Board Of Trustees,1,1
2020-04-08,Brownsville Independent School District,1,2
2020-04-08,Porte Healthcare Center,1,3
2020-04-08,Regulatory Services,1,4
2020-04-08,Texas Department Of State Health Services On,1,5
2020-04-08,Texas Education Agency,1,6
2020-04-09,Bureau Of Labor Statistics,1,1
2020-04-09,Revenue Service,1,2
2020-04-09,Texas A M University,1,3
2020-04-09,Texas Farm Bureau,1,4
2020-04-09,Texas Workforce Commission,1,5
2020-04-09,Walmart,1,6
2020-04-10,American Civil Liberties Union Of Texas,1,5
2020-04-10,Associated Press,1,6
2020-04-10,Austin City Council,1,7
2020-04-10,Austin Public Health,1,8
2020-04-10,Brownsville Inc,1,9
2020-04-10,City Council,1,10
2020-04-10,Emergency Management Agency,1,11
2020-04-10,Olson Group,1,12
2020-04-10,Supreme Court,1,13
2020-04-10,Texas Department Of Information Resources,1,14
2020-04-10,Texas Supreme Court,1,15
2020-04-10,Texas Workforce Commission,1,16
2020-04-10,Wells Fargo,1,17
2020-04-10,Wells Fargo Foundation,1,18
2020-04-10,Centers For Disease,2,1
2020-04-10,Centers For Medicine,2,2
2020-04-10,Medicaid Services,2,3
2020-04-10,Nan,2,4
2020-04-12,Forum At Olympia Parkway In Selma,1,2
2020-04-12,Mercedes,1,3
2020-04-12,Office Of The Comptroller,1,4
2020-04-12,Toys R Us,1,5
2020-04-12,Nan,2,1
2020-04-13,Detroit Police,1,1
2020-04-13,John Jay College Of Criminal Justice,1,2
2020-04-13,Mercedes,1,3
2020-04-13,Office Of The Comptroller,1,4
2020-04-13,Santa Rosa Police Department,1,5
2020-04-13,Santa Rosa Press Democrat,1,6
2020-04-13,Texas Department Of State Health Services,1,7
2020-04-13,United States,1,8
2020-04-13,Vallejo Medical Center,1,9
2020-04-13,York Police Department,1,10
2020-04-14,Cornerstone Community Action Agency,1,2
2020-04-14,Lamar Elementary School,1,3
2020-04-14,Texas Education Agency,1,4
2020-04-14,Trustees On,1,5
2020-04-14,Nan,2,1
2020-04-15,Nan,2,1
2020-04-16,Cargill,1,5
2020-04-16,Centers For Disease,1,6
2020-04-16,Drug Administration,1,7
2020-04-16,Educational Fund,1,8
2020-04-16,Food Service News,1,9
2020-04-16,Goldman Sachs,1,10
2020-04-16,Greg Hill Foundation,1,11
2020-04-16,Hispanic Health Research Center,1,12
2020-04-16,Kroger,1,13
2020-04-16,Longhorn Cattle Company,1,14
2020-04-16,National Academy Of Science,1,15
2020-04-16,Restaurant Strong Fund,1,16
2020-04-16,Rio Grande Detention Center,1,17
2020-04-16,United States,1,18
2020-04-16,Department Of Homeland Security,2,1
2020-04-16,National Environmental Policy,2,2
2020-04-16,Services Department,2,3
2020-04-16,Texas College Psychological Science Faculty,2,4
2020-04-17,Associated Press,1,8
2020-04-17,Bureau Of Prisons,1,9
2020-04-17,Centers For Disease,1,10
2020-04-17,Community Bible Church,1,11
2020-04-17,Cornerstone Church,1,12
2020-04-17,Department Of Health,1,13
2020-04-17,Facebook,1,14
2020-04-17,Google,1,15
2020-04-17,Human Service,1,16
2020-04-17,Laredo Division,1,17
2020-04-17,Nan,1,18
2020-04-17,Northrock Church,1,19
2020-04-17,Processing Center,1,20
2020-04-17,Providence Saint John Health Center,1,21
2020-04-17,Rio Grande Detention Center,1,22
2020-04-17,Stern,1,23
2020-04-17,Texas Regional Advisory Council,1,24
2020-04-17,Trump Administration,1,25
2020-04-17,Twitter,1,26
2020-04-17,University Of Washington,1,27
2020-04-17,Valley Aids Council In Harlingen,1,28
2020-04-17,White House,1,29
2020-04-17,World Health Organization,1,30
2020-04-17,Yale University,1,31
2020-04-17,Department Of Homeland Security,2,2
2020-04-17,Educational Fund,2,3
2020-04-17,National Environmental Policy,2,4
2020-04-17,Services Department,2,5
2020-04-17,Texas College Psychological Science Faculty,2,6
2020-04-17,University Of Texas Rio Grande Valley,2,7
2020-04-17,United States,3,1
2020-04-18,Centers For Medicare Medicaid Services,1,2
2020-04-18,Department Of Homeland Security,1,3
2020-04-18,Embassy Suites,1,4
2020-04-18,Human Services,1,5
2020-04-18,Macarthur Park Church,1,6
2020-04-18,Nan,1,7
2020-04-18,Office Of Refugee Resettlement,1,8
2020-04-18,Pentecostal Church,1,9
2020-04-18,Rehabilitation Center,1,10
2020-04-18,Small Business Administration Paycheck Protection Program,1,11
2020-04-18,Texas Blood Tissue Center,1,12
2020-04-18,Valley Baptist Medical Center,1,13
2020-04-18,You Fund,1,14
2020-04-18,Texas Department Of State Health Services,3,1
2020-04-19,Centers For Medicare Medicaid Services,1,1
2020-04-19,Department Of Homeland Security,1,2
2020-04-19,Embassy Suites,1,3
2020-04-19,Google,1,4
2020-04-19,Human Services,1,5
2020-04-19,Macarthur Park Church,1,6
