date,organization,count,rn
2020-02-20,Coastal Pines Technical College,1,1
2020-02-20,Site Selectors Guild,1,2
2020-02-20,Southeast Georgia Joint Development Authority,1,3
2020-02-20,World Trade Center Savannah,1,4
2020-03-04,Georgia Department Of Public Health,1,1
2020-03-04,Georgia Department Of Public Health In Atlanta,1,2
2020-03-04,Georgia Public Health Lab,1,3
2020-03-04,Infection Control Committee,1,4
2020-03-04,Nan,1,5
2020-03-04,Our Coastal Health District,1,6
2020-03-04,Patrick Day Parade Committee,1,7
2020-03-06,Alaska Department Of Health,2,23
2020-03-06,Arizona Department Of Health Services,2,24
2020-03-06,Arkansas Department Of Health,2,25
2020-03-06,Bureau Of Laboratories,2,26
2020-03-06,California Department Of Public Health,2,27
2020-03-06,Connecticut Department Of Public Health,2,28
2020-03-06,Dakota Department Of Health,2,29
2020-03-06,Delaware Public Health,2,30
2020-03-06,Family Services,2,31
2020-03-06,Fan Convention,2,32
2020-03-06,Florida Health,2,33
2020-03-06,Governor Gavin Newsom Office,2,34
2020-03-06,Health Dr,2,35
2020-03-06,Health Gary Cox,2,36
2020-03-06,Human Services Alex Azar,2,37
2020-03-06,Idaho Department Of Health,2,38
2020-03-06,Iowa Department Of Public Health,2,39
2020-03-06,Jersey Department Of Health On Twitter,2,40
2020-03-06,Kansas Department Of Health,2,41
2020-03-06,Kentucky Cabinet For Health,2,42
2020-03-06,Maine Department Of Health,2,43
2020-03-06,Maryland Department Of Health,2,44
2020-03-06,Massachusetts Department Of Public Health,2,45
2020-03-06,Michigan Department Of Health,2,46
2020-03-06,Minnesota Department Of Health,2,47
2020-03-06,Mississippi Department Of Health,2,48
2020-03-06,Montana Department Of Health,2,49
2020-03-06,National Quarantine Unit,2,50
2020-03-06,Colorado Department Of Public Health,3,13
2020-03-06,Division Of Public Health,3,14
2020-03-06,Georgia Department Of Public Health,3,15
2020-03-06,Illinois Department Of Public Health,3,16
2020-03-06,International Festival Of Raleigh,3,17
2020-03-06,Nan,3,18
2020-03-06,Nc Department Of Health,3,19
2020-03-06,Red Hat,3,20
2020-03-06,Us Centers For Disease,3,21
2020-03-06,Wisconsin Department Of Health Services,3,22
2020-03-06,Carolina School Of Science,5,11
2020-03-06,Human Services Dr,5,12
2020-03-06,A Joint Information Center,6,10
2020-03-06,Nc State Laboratory Of Public Health,7,9
2020-03-06,Christ The King Lutheran Church,10,7
2020-03-06,Department Of Health,10,8
2020-03-06,Centers For Disease,17,6
2020-03-06,Carolina State Laboratory Of Public Health,20,5
2020-03-06,Carolina Department Of Health,21,4
2020-03-06,Human Services,27,3
2020-03-06,Georgia Department Of Health,30,2
2020-03-06,United States,40,1
2020-03-07,A Joint Information Center,1,8
2020-03-07,Associated Press,1,9
2020-03-07,Centers For Medicare,1,10
2020-03-07,Centers For The Disease,1,11
2020-03-07,Coronavirus Task,1,12
2020-03-07,Health Services,1,13
2020-03-07,Life Care Center,1,14
2020-03-07,Medicaid Services,1,15
2020-03-07,Nc Health Officials,1,16
2020-03-07,Nc State Laboratory Of Public Health,1,17
2020-03-07,School Of The Arts On,1,18
2020-03-07,Wilson Medical Center,1,19
2020-03-07,World Health Organization,1,20
2020-03-07,Carolina State Laboratory Of Public Health,2,5
2020-03-07,Centers For Disease,2,6
2020-03-07,Host Committee,2,7
2020-03-07,Georgia Department Of Health,3,4
2020-03-07,Carolina Department Of Health,4,2
2020-03-07,United States,4,3
2020-03-07,Human Services,7,1
2020-03-08,Associated Press,1,1
2020-03-08,Nan,1,2
2020-03-09,Arizona Department Of Public Health,1,6
2020-03-09,Biogen In Research Triangle Park,1,7
2020-03-09,Cnn,1,8
2020-03-09,Defense Department,1,9
2020-03-09,Department Of Public Health,1,10
2020-03-09,Evergreen Health,1,11
2020-03-09,Facebook,1,12
2020-03-09,Florida Department Of Health,1,13
2020-03-09,Georgia Department Of Public Health,1,14
2020-03-09,Harborview Medical Center,1,15
2020-03-09,Health Notice,1,16
2020-03-09,Health Notice For,1,17
2020-03-09,Illinois Department Of Public Health,1,18
2020-03-09,Madera Community Hospital,1,19
2020-03-09,Methodist University,1,20
2020-03-09,Nan,1,21
2020-03-09,Oregon Health Authority,1,22
2020-03-09,Our Methodist University Epidemic Response Team,1,23
2020-03-09,Research Triangle Park,1,24
2020-03-09,Rush University Medical Center,1,25
2020-03-09,Southern Nevada Health District,1,26
2020-03-09,Student Health Center,1,27
