date,organization,count,rn
2020-03-11,Brevard County Natural Resources Management Department,1,1
2020-03-11,Brevard County Stormwater Department,1,2
2020-03-11,Brevard County Utility Services Department,1,3
2020-03-11,Citizens Oversight Committee,1,4
2020-03-11,Commission On,1,5
2020-03-11,Marine Resources Council,1,6
2020-03-19,Calvary Revival Church,1,1
2020-03-19,Senior Services,1,2
2020-03-19,Senior Services Of Southeastern Virginia,1,3
2020-03-19,Ymca,1,4
2020-03-20,National Law Journal,1,1
2020-03-21,Alabama Department Of Health,1,1
2020-03-21,Lincoln School,1,2
2020-03-21,Marion Military Institute,1,3
2020-03-21,United States,1,4
2020-03-25,Burning Bush Worship Center,1,1
2020-03-25,Food Bank,1,2
2020-03-25,Norfolk Burning Bush Worship Center,1,3
2020-03-28,Easton Historical Society,1,1
2020-03-28,Municipal Center,1,2
2020-03-29,Essentia Health,1,1
2020-03-29,Essentia Health In Hibbing,1,2
2020-03-29,Google,1,3
2020-03-29,Pinterest,1,4
2020-03-29,Quilt Guild,1,5
2020-04-08,Disney,1,4
2020-04-08,Facebook,1,5
2020-04-08,George Mason University,1,6
2020-04-08,Harris Teeter,1,7
2020-04-08,Healthcare Association,1,8
2020-04-08,United States,1,9
2020-04-08,Day Fund,2,1
2020-04-08,Food Truck Association,2,2
2020-04-08,Virginia Department Of Health,2,3
2020-04-09,Greene Hills Country Club,1,1
2020-04-09,Virginia Department Of Health,1,2
2020-04-10,Coastal Community Church,1,1
2020-04-21,Mortgage Bankers Association,1,1
2020-04-21,United States,1,2
2020-04-21,White House,1,3
2020-04-21,World Health Organization,1,4
2020-04-22,Hampton University,1,1
2020-04-22,Regent University,1,2
2020-04-22,Tidewater Community College Interim Dean Of Students,1,3
2020-04-22,University Of Miami,1,4
2020-04-22,Youtube,1,5
2020-04-23,Hampton University,1,1
2020-04-23,Regent University,1,2
2020-04-23,Tidewater Community College Interim Dean Of Students,1,3
2020-04-23,University Of Miami,1,4
2020-04-23,Youtube,1,5
2020-04-24,Abuse Of Virginian Energy Coalition,1,1
2020-04-24,Corporation Commission,1,2
2020-04-24,Corporation Commission State Corporation Commission,1,3
2020-04-24,Joseph Emergency Department,1,4
2020-04-24,Joseph Medical Center,1,5
2020-04-24,Southern Company,1,6
2020-04-26,Corporation Commission,1,1
2020-04-26,Southern Company,1,2
2020-04-28,Institute On Religion,1,1
2020-04-28,Regent University,1,2
2020-04-28,Religion News Service,1,3
2020-04-28,Sky View Missionary Baptist Church,1,4
2020-04-30,Susquehanna High School,1,1
2020-05-06,Human Services,1,1
2020-05-06,United States,1,2
2020-05-21,Instagram,1,1
2020-05-21,Princess Anne High School,1,2
2020-06-02,Calvary Revival Church Chesapeake,1,1
2020-06-02,Faith United,1,2
2020-06-02,Generation Church,1,3
2020-06-02,Oscar Smith High School,1,4
2020-06-02,Oscar Smith Middle School,1,5
2020-06-02,River Oak Church,1,6
2020-06-02,Southeast Virginia Community Foundation,1,7
