date,organization,count,rn
2020-03-30,Brisben Center,1,1
2020-03-30,Department Of Social Services,1,2
2020-03-30,George Episcopal Church,1,3
2020-03-30,Giant Food,1,4
2020-03-30,Mount Ararat Baptist Church,1,5
2020-03-30,Salvation Army,1,6
2020-03-30,Supplemental Nutrition Assistance Program,1,7
2020-03-30,Virginia Department Of Social Services,1,8
2020-03-30,Virginia Employment Commission,1,9
2020-03-31,Crossroads Baptist Church,1,1
2020-04-01,Nan,1,1
2020-04-07,Wisconsin Supreme Court,1,2
2020-04-07,Crossroads Baptist Church,2,1
2020-04-15,Action In Community Through Services,1,1
2020-04-15,Chamber Government Relations,1,2
2020-04-15,Hunger Prevention Center,1,3
2020-04-15,Northern Virginia Family Service,1,4
2020-04-15,Prince William Chamber,1,5
2020-04-21,Bayberry Court,1,1
2020-04-21,Breeden Co,1,2
2020-04-30,Frederick Douglass Elementary School In Leesburg,1,1
2020-04-30,National Institutes Of Health,1,2
2020-04-30,Rappahannock Area Health District,1,3
2020-04-30,University Of Virginia,1,4
2020-04-30,Virginia Department Of Health,1,5
2020-05-02,Centers For Disease,1,1
2020-05-02,Rappahannock Area Health District,1,2
2020-05-02,Virginia Department Of Health,1,3
2020-05-07,Ballenger Creek Elementary School,1,1
2020-05-07,Community Lodgings,1,2
2020-05-07,Cora Kelly School For Math,1,3
2020-05-07,Crestwood Middle School,1,4
2020-05-07,Falls Church City Public Schoolsremain,1,5
2020-05-07,Frederick Elementary School,1,6
2020-05-07,Frederick High School,1,7
2020-05-07,Hillcrest Elementary School,1,8
2020-05-07,Ib School,1,9
2020-05-07,Lincoln Elementary School,1,10
2020-05-07,Matthew Henson Middle School,1,11
2020-05-07,Monocacy Elementary School,1,12
2020-05-07,Piccowaxen Middle School,1,13
2020-05-07,Ruby Tucker Family Center,1,14
2020-05-07,Waverley Elementary School,1,15
2020-05-07,William Ramsay Elementary School,1,16
2020-05-15,Building Department,1,1
2020-05-15,Building Services Division Of The Community Planning,1,2
2020-05-15,Evaluation Team,1,3
2020-05-15,Fire Department Fire Marshall Office,1,4
2020-05-15,Police Department,1,5
2020-05-17,City Council,1,1
2020-05-17,Hugh Mercer Elementary School,1,2
2020-05-17,School Board,1,3
2020-05-18,Enrichment Network,1,1
2020-05-18,Navy Exchange Service,1,2
2020-05-23,Enrichment Network,1,1
2020-05-23,Naval Exchange Service,1,2
2020-05-24,Enrichment Network,1,1
2020-05-24,Naval Exchange Service,1,2
2020-05-27,Associates Management Inc,1,1
2020-05-27,Gap Inc,1,2
2020-05-27,Nordstrom,1,3
2020-05-27,Ross Stores,1,4
2020-05-27,Simon Property Group,1,5
2020-05-27,Simon Property Group Inc,1,6
2020-05-27,Urban Outfitters,1,7
2020-07-07,University Of Mary Washington,2,3
2020-07-07,Rappahannock Area Health District,4,1
2020-07-07,Student Health Center,4,2
