date,organization,count,rn
2020-03-04,Centers For Disease,1,1
2020-03-04,Colquitt Regional Medical Center,1,2
2020-03-10,Ames Research Center,1,1
2020-03-10,Colquitt Regional Medical Center,1,2
2020-03-10,Doctors At Colquitt Regional Medical Center,1,3
2020-03-10,Michael Brown At Colquitt Regional Medical Center,1,4
2020-03-10,Small Spacecraft Technology,1,5
2020-03-14,Arts Center,2,1
2020-03-14,Colquitt Christian Academy,2,2
2020-03-14,Georgia Council For The Arts,2,3
2020-03-14,Georgia Department Of Education,2,4
2020-03-14,Horizons Academy,2,5
2020-03-14,Program For Exceptional Children,2,6
2020-03-17,Colquitt Regional Medical Center,1,1
2020-03-28,Colquitt Regional Home Care Services,1,1
2020-03-28,Colquitt Regional Medical Center,1,2
2020-03-28,Georgia South Family Medicine Residency Center,1,3
2020-03-28,Hospital Authority,1,4
2020-03-28,Sterling Physician Group,1,5
2020-04-02,Berry College,1,1
2020-04-02,Costco,1,2
2020-04-02,Coweta Charter Academy On,1,3
2020-04-02,Disney,1,4
2020-04-02,Georgia Film Office,1,5
2020-04-02,Hawkins High Hawkins Middle School,1,6
2020-04-02,National Geographic,1,7
2020-04-02,Netflix,1,8
2020-04-02,Oglethorpe University,1,9
2020-04-02,Patrick Henry Adult Education Center On,1,10
2020-04-03,Fire Department,1,1
2020-04-03,Moultrie Fire Department,1,2
2020-04-04,Colquitt Regional Medical Center,1,1
2020-04-04,Department Of Public Health,1,2
2020-04-04,Johns Hopkins Coronavirus Research Center,1,3
2020-04-04,Sterling Physician Group,1,4
2020-04-04,Tax Tag Office,1,5
2020-04-04,United States,1,6
2020-04-05,Centers For Disease,1,1
2020-04-05,Dean Of The Civil Rights Movement,1,2
2020-04-05,Joseph Evelyn Lowery Institute,1,3
2020-04-05,Lowery Institute,1,4
2020-04-05,Senior Pastor Of Cascade United Methodist Church,1,5
2020-04-07,Colquitt Regional Medical Center,1,1
2020-05-01,Augusta University,1,1
2020-05-01,College Of Georgia,1,2
2020-05-01,Colquitt Regional Medical Center,1,3
2020-05-01,Department Of Homeland Security,1,4
2020-05-01,Development Authority,1,5
2020-05-01,Georgia Medical Center,1,6
2020-05-01,Research Consortium,1,7
2020-05-01,Waldo Deloache Charitable,1,8
2020-05-02,Nan,1,1
2020-05-04,Catholic Charities,1,1
2020-05-04,Colquitt Food Bank,1,2
2020-05-04,Colquitt Regional Medical Center,1,3
2020-05-04,Crossroads Mission,1,4
2020-05-04,Georgia Community Action Council,1,5
2020-05-04,Georgia National Guard,1,6
2020-05-04,National Board,1,7
2020-05-04,National Council Of The Churches Of Christ,1,8
2020-05-04,National Guard,1,9
2020-05-04,Salvation Army,1,10
2020-05-04,Shelter National Board Program,1,11
2020-05-04,Shelter Program,1,12
2020-05-04,United States,1,13
2020-05-05,Colquitt Regional Medical Center,1,1
2020-05-05,Georgia National Guard,1,2
2020-05-05,National Guard,1,3
2020-05-06,Nan,1,1
2020-05-13,Nan,1,1
2020-05-22,Colquitt County High School,1,1
2020-06-09,Nan,1,1
2020-06-11,Colquitt Regional Medical Center,1,1
2020-06-11,Georgia Department Of Education,1,2
2020-06-11,Georgia Department Of Public Health,1,3
2020-06-11,Infection Control Program,1,4
2020-06-11,Okapilco Elementary School,1,5
2020-06-11,Regional Education Service Agency,1,6
2020-06-11,School Superintendent Doug Howell,1,7
2020-06-23,Abraham Baldwin Agricultural College,1,1
2020-06-23,Centers For Disease,1,2
2020-06-23,Colquitt Regional Medical Center,1,3
2020-06-23,Migrant Clinicians Network,1,4
2020-06-23,Young,1,5
2020-07-01,Communitywide Economic Development Strategic Planning Efforts,2,1
2020-07-01,Development Authority,2,2
2020-07-01,Facebook,2,3
2020-07-01,Georgia Virtual School,2,4
2020-07-01,National Alliance On Mental Illness,2,5
2020-07-01,Rainwater Convention Room In Valdosta,2,6
2020-07-01,Small Business Development Center,2,7
2020-07-01,Small Business Federal Contracting Program,2,8
2020-07-01,Virtupack Program,2,9
2020-07-10,Georgia Virtual School,1,1
2020-07-10,School Nutrition,1,2
2020-07-10,School Superintendent Doug Howell,1,3
