date,organization,count,rn
2020-03-06,Texas Department Of State Health Services,1,1
2020-03-06,Young,1,2
2020-03-07,Centers For Disease,1,1
2020-03-07,Facebook,1,2
2020-03-07,Seton Medical Center,1,3
2020-03-07,Texas Department Of State Health Services,1,4
2020-03-12,Baylor University,1,1
2020-03-12,Central Texas College,1,2
2020-03-12,Clorox,1,3
2020-03-12,School Messenger,1,4
2020-03-12,University Of Mary Hardin-Baylor,1,5
2020-03-12,University Of Texas,1,6
2020-03-12,Walmart,1,7
2020-03-12,World Health Organization,1,8
2020-03-13,Centers For Disease,1,1
2020-03-13,Democratic Party,1,2
2020-03-13,Md Anderson Cancer Center,1,3
2020-03-13,Members Of Congress,1,4
2020-03-13,Texas Democratic Party,1,5
2020-03-13,Twitter,1,6
2020-03-16,Nan,2,1
2020-03-18,Central Texas Council Of Governments,1,1
2020-03-18,Facebook,1,2
2020-03-18,Killeen Independent School District,1,3
2020-03-18,Mae Stevens Early Learning Academy,1,4
2020-03-19,School Districts,2,1
2020-03-20,Cove Terrace Shopping Center,1,1
2020-03-20,Killeen Community Center,1,2
2020-03-20,Walmart,1,3
2020-03-21,Texas Criminal Justice Coalition,1,1
2020-03-21,Texas Department Of Criminal Justice,1,2
2020-03-21,Texas Inmate Families Association,1,3
2020-03-21,Windham School District,1,4
2020-03-25,Baylor Scott White Medical Center,1,11
2020-03-25,Texas Hospital Association,1,12
2020-03-25,Austin Public Health,2,1
2020-03-25,Centers For Disease,2,2
2020-03-25,Community Hospitals,2,3
2020-03-25,Dell Medical School,2,4
2020-03-25,Oakbend Medical Center,2,5
2020-03-25,Texas Department Of State Health Services,2,6
2020-03-25,Texas Medical Association,2,7
2020-03-25,Texas Organization Of Rural,2,8
2020-03-25,University Of Texas At Austin,2,9
2020-03-25,Ut Health Austin,2,10
2020-03-26,Austin Public Health,1,2
2020-03-26,Bird Creek Burger Co,1,3
2020-03-26,Centers For Disease,1,4
2020-03-26,Community Hospitals,1,5
2020-03-26,Dell Medical School,1,6
2020-03-26,Facebook,1,7
2020-03-26,Health District,1,8
2020-03-26,Oakbend Medical Center,1,9
2020-03-26,Texas Department Of Public Safety,1,10
2020-03-26,Texas Hospital Association,1,11
2020-03-26,Texas Medical Association,1,12
2020-03-26,Texas Organization Of Rural,1,13
2020-03-26,University Of Texas At Austin,1,14
2020-03-26,Ut Health Austin,1,15
2020-03-26,Texas Department Of State Health Services,2,1
2020-03-27,Bird Creek Burger Co,1,1
2020-03-27,Health District,1,2
2020-03-27,Texas Department Of Public Safety,1,3
2020-03-27,Texas Department Of State Health Services,1,4
2020-03-30,Facebook,1,1
2020-04-04,City Council,1,1
2020-04-04,Facebook,1,2
2020-04-04,Walmart,1,3
2020-04-05,Associated Press,1,1
2020-04-05,City Council,1,2
2020-04-05,City Library,1,3
2020-04-05,Means Committee,1,4
2020-04-07,Central Texas Food Bank,1,1
2020-04-07,Community Response,1,2
2020-04-07,Department Of Homeland Security,1,3
2020-04-07,Family Health Center,1,4
2020-04-07,Girling Health Care In Temple,1,5
2020-04-07,Killeen Food Care Center,1,6
2020-04-07,Texas Department Of Criminal Justice,1,7
2020-04-07,Texas Department Of State Health Services,1,8
2020-04-07,Walmart,1,9
2020-04-07,Young,1,10
2020-04-08,Nan,1,1
2020-04-08,Utility Administration,1,2
2020-04-09,Bureau Of Prisons,1,1
2020-04-09,Department Of Criminal Justice,1,2
2020-04-09,Department Of State Health Services,1,3
2020-04-09,Texas Department Of Criminal Justice,1,4
2020-04-10,Army Residence Community,1,3
2020-04-10,Trinity Lutheran Church,1,4
2020-04-10,Copperas Cove Police Department,2,1
2020-04-10,Infrastructure Security Agency,2,2
2020-04-16,Texas Department Of Criminal Justice,1,1
2020-04-17,Central Texas Food Bank,1,1
2020-04-17,Killeen Food Care Center,1,2
2020-04-17,Mcdonald,1,3
2020-04-17,Walmart,1,4
2020-04-19,Fortress Church,1,5
2020-04-19,Department Of Criminal Justice,2,1
2020-04-19,Department Of State Health Services,2,2
2020-04-19,Texas Department Of Criminal Justice,2,3
2020-04-19,Texas Department Of State Health Services,2,4
2020-04-20,Commissioners Court,1,1
2020-04-20,Fortress Church,1,2
2020-04-20,Texas Department Of State Health Services,1,3
2020-04-22,Facebook,2,1
2020-04-22,Killeen Police Department,2,2
2020-04-22,Texas Department Of Criminal Justice,2,3
2020-04-22,Texas Department Of State Health Services,2,4
2020-04-23,Centers For Disease,1,1
2020-04-23,Texas Department Of Criminal Justice,1,2
2020-04-24,Horace Mann Middle School,1,1
2020-04-24,John Muir Middle School,1,2
2020-04-24,Quartermaster Truck Company,1,3
2020-04-24,Senior Saints At Southside Church,1,4
2020-04-24,Texas Department Of Criminal Justice,1,5
2020-04-24,Wausau Area Montessori Charter School,1,6
2020-04-24,Young,1,7
2020-04-26,Texas Department Of Criminal Justice,1,1
2020-04-26,Texas Department Of State Health Services,1,2
2020-04-28,Texas Department Of State Health Services,1,1
2020-04-30,City Council,1,1
2020-04-30,Community Businesses,1,2
2020-04-30,Texas Criminal Department Of Justice,1,3
2020-05-04,Department Of Health Services,1,4
2020-05-04,Department Of Public Safety,1,5
2020-05-04,Taco Bell,1,6
2020-05-04,Texas Department Of State Health Services,1,7
2020-05-04,Human Services At Copperas,2,1
2020-05-04,Texas Health,2,2
2020-05-04,Young,2,3
2020-05-06,Brazos County Health Department,1,2
2020-05-06,Coryell Health In Gatesville,1,3
2020-05-06,Coryell Health Medical Clinic,1,4
2020-05-06,Coryell Health Medical Clinic In Gatesville,1,5
2020-05-06,Lab Test,1,6
2020-05-06,Lab Test Now In Killeen,1,7
2020-05-06,Oklahoma State University,1,8
2020-05-06,Stevens Institute Of Technology,1,9
2020-05-06,University Of Minnesota,1,10
2020-05-06,World Health Organization,1,11
2020-05-06,City Council,2,1
2020-05-09,Coryell Health In Gatesville,1,3
2020-05-09,Texas Department Of Licensing,1,4
2020-05-09,City Council,2,1
2020-05-09,Utility Administration,2,2
2020-05-11,Texas Army National Guard,1,1
2020-05-11,Young,1,2
2020-05-13,Nan,1,1
2020-05-14,National Guard,1,1
2020-05-15,National Guard,1,1
2020-05-15,Technology Center,1,2
2020-05-15,Texas Comptroller Office,1,3
2020-05-15,Young,1,4
2020-05-16,Board Of Trustees,1,11
2020-05-16,City Council,1,12
2020-05-16,Texas State University,1,13
2020-05-16,Utility Administration,1,14
2020-05-16,Belton Chamber,2,1
2020-05-16,Facebook,2,2
2020-05-16,Greater Killeen Chamber,2,3
2020-05-16,Heights Chamber,2,4
2020-05-16,Instagram,2,5
2020-05-16,Paycheck Protection Program,2,6
2020-05-16,Twitter,2,7
2020-05-16,United States,2,8
2020-05-16,Victory Baptist Church,2,9
2020-05-16,Youtube,2,10
2020-05-17,Department Of Criminal Justice,1,11
2020-05-17,Drug Administration,1,12
2020-05-17,Office Of Corrections Ombuds,1,13
2020-05-17,School Of Public Affairs,1,14
2020-05-17,Senate Criminal Justice Committee,1,15
2020-05-17,Texas Department Of Criminal Justice,1,16
2020-05-17,University Of Texa,1,17
2020-05-17,Central Texas Council Of Governments,2,1
2020-05-17,City Council,2,2
2020-05-17,Dewald Properties,2,3
2020-05-17,Economic Development Corporation,2,4
2020-05-17,Keller Communications,2,5
2020-05-17,Killeen Police Department,2,6
