date,organization,count,rn
2020-03-06,Centers For Disease,1,1
2020-03-06,Department Of Health,1,2
2020-03-06,Environmental Protection Agency,1,3
2020-03-06,Family Dollar,1,4
2020-03-06,House Appropriations Committee,1,5
2020-03-06,Kansas Hospital Association,1,6
2020-03-06,Kansas Senate,1,7
2020-03-06,Southwestern College,1,8
2020-03-09,Health Department,2,1
2020-03-09,Nan,2,2
2020-03-09,Public Health,2,3
2020-03-10,Kansas Department Of Health,2,3
2020-03-10,Health Department,3,2
2020-03-10,Public Health,5,1
2020-03-11,Centers For Disease,2,1
2020-03-11,Clorox,2,2
2020-03-11,Kansas Department Of Health,2,3
2020-03-11,Kansas State Department Of Education,2,4
2020-03-13,Cowley College,1,1
2020-03-13,Department Of Education,1,2
2020-03-13,Health Department,1,3
2020-03-13,Public Health,1,4
2020-03-13,Southwestern College,1,5
2020-03-13,United States,1,6
2020-03-19,A Court Services,1,1
2020-03-19,District Court Clerk,1,2
2020-03-19,District Court Office,1,3
2020-03-19,Kansas Supreme Court,1,4
2020-03-19,Supreme Court Order,1,5
2020-03-21,Catholic Diocese Of Kansas City,1,1
2020-03-21,Centers For Disease,1,2
2020-03-21,Community Of Christ,1,3
2020-03-21,Community Services League,1,4
2020-03-21,Facebook,1,5
2020-03-21,First Presbyterian Church,1,6
2020-03-21,Kansas Department Of Health,1,7
2020-03-21,Kansas Funeral Directors Association,1,8
2020-03-21,Miles Funeral Service,1,9
2020-03-21,National Funeral Directors Association,1,10
2020-03-21,Oxford Funeral Service,1,11
2020-03-21,Stone Church,1,12
2020-03-21,Timothy Lutheran Church,1,13
2020-03-21,United Methodist Church,1,14
2020-03-21,World Church,1,15
2020-03-21,Youtube,1,16
2020-03-25,Human Services,1,1
2020-03-25,Kansas Department Of Health,1,2
2020-03-25,Woods Child Care Center,1,3
2020-03-29,Facebook,1,1
2020-03-29,Kansas Department Of Health,1,2
2020-04-01,Kansas Department Of Education,1,1
2020-04-01,United States Department Of Agriculture,1,2
2020-04-02,Kansas Department Of Health,1,1
2020-04-02,Morris,1,2
2020-04-04,Central Kansas Medical Center,1,1
2020-04-04,United States,1,2
2020-04-09,Community Health Center,1,1
2020-04-09,Human Services,1,2
2020-04-11,Kansas Department Of Health,1,1
2020-04-21,Beach Museum At Kansas State University,3,11
2020-04-21,Columbia University School Of International,4,9
2020-04-21,Tuesdays At College Hill Coffee,4,10
2020-04-21,Creative Community Living,7,1
2020-04-21,Harvard University,7,2
2020-04-21,Kansas Press Association,7,3
2020-04-21,Kansas Republican Party,7,4
2020-04-21,Public Affairs,7,5
2020-04-21,Southwestern College,7,6
2020-04-21,Training Center,7,7
2020-04-21,Winfield Publishing Company,7,8
2020-04-23,Columbia University School Of International,2,1
2020-04-23,Creative Community Living,2,2
2020-04-23,Harvard University,2,3
2020-04-23,Kansas Press Association,2,4
2020-04-23,Kansas Republican Party,2,5
2020-04-23,Public Affairs,2,6
2020-04-23,Southwestern College,2,7
2020-04-23,Training Center,2,8
2020-04-23,Tuesdays At College Hill Coffee,2,9
2020-04-23,Winfield Publishing Company,2,10
2020-04-27,Kansas Department Of Health,1,1
2020-04-28,Central Kansas Medical Center,1,1
2020-05-01,Central Kansas Medical Center,1,1
2020-05-01,Kansas Department Of Health,1,2
2020-05-07,Kansas Department Of Labor,1,1
2020-05-07,University Of Kansas,1,2
2020-05-08,Central Kansas Medical Center,2,1
2020-05-08,Kansas Department Of Health,2,2
2020-05-09,Central Kansas Medical Center,2,1
2020-05-09,Paycheck Protection Program,2,2
2020-05-11,Public Health,1,1
2020-05-12,Health Dept,1,1
2020-05-14,Nan,3,1
2020-05-15,Associated Press,1,1
2020-05-15,Central Kansas Medical Center,1,2
2020-05-15,Johns Hopkins University,1,3
2020-05-15,Kanas Rural Water Association,1,4
2020-05-15,Public Health,1,5
2020-05-15,Sumner County Health Department,1,6
2020-05-18,Public Health,2,1
2020-05-20,Board Trustees Gary Wilson,1,1
2020-05-20,Brown Center,1,2
2020-05-20,Cowley College,1,3
2020-05-20,Cowley College Trustee Board,1,4
2020-05-20,Trustees Zimmerman,1,5
2020-05-22,National Teacher Of The Year,2,1
2020-05-22,School Officers,2,2
2020-05-22,Southwestern College,2,3
2020-05-22,Winfield Early Learning Center,2,4
2020-05-27,Central Kansas Medical Center,1,1
2020-05-27,Department Of Health,1,2
2020-05-27,Human Services Provider Relief Fund,1,3
2020-05-27,Paycheck Protection Program,1,4
2020-05-28,Health Department,1,1
2020-05-28,Kansas Department Of Health,1,2
2020-05-28,Kansas Legislature,1,3
2020-05-28,Public Health Order,1,4
2020-05-30,Central Kansas Medical Center,1,1
2020-05-30,Community Health Center,1,2
2020-05-30,Nan,1,3
2020-05-31,Nan,1,1
2020-06-05,Public Health,1,1
2020-06-05,Rubbermaid,1,2
2020-06-13,Cowley County Health Department,2,2
2020-06-13,Winfield Health Department,2,3
2020-06-13,Law Enforcement Center,3,1
2020-06-16,Nan,1,1
2020-06-19,Nan,2,1
