date,organization,count,rn
2020-03-16,Department Of Public Health,1,1
2020-03-16,Elizabeth Baptist Church,1,2
2020-03-16,Facebook,1,3
2020-03-16,First United Methodist Church,1,4
2020-03-31,Atlanta Community Food Bank,1,1
2020-03-31,Auditorium Administration Lobby,1,2
2020-03-31,Austell Community Taskforce,1,3
2020-03-31,Campbell High School,1,4
2020-03-31,Clerk Of Superior Court,1,5
2020-03-31,Cobb Douglas Public Health,1,6
2020-03-31,Cobb Quilter Guild,1,7
2020-03-31,Columbus Council,1,8
2020-03-31,Creek Lodge,1,9
2020-03-31,Day Adventist Church,1,10
2020-03-31,Destiny World Church,1,11
2020-03-31,Distribution Center,1,12
2020-03-31,Donation Center,1,13
2020-03-31,Eastside Mosaic Church,1,14
2020-03-31,Er Department Of Kennestone Hospital,1,15
2020-03-31,Facebook,1,16
2020-03-31,First Christian Church,1,17
2020-03-31,First United Methodist Church,1,18
2020-03-31,Georgia Natural Gas Foundation,1,19
2020-03-31,Georgia Power Company,1,20
2020-03-31,Information Technology Communications,1,21
2020-03-31,Johnson Ferry Baptist Church,1,22
2020-03-31,Kiwanis International,1,23
2020-03-31,Marietta Center,1,24
2020-03-31,Marietta Fire Department,1,25
2020-03-31,Marietta Police Department,1,26
2020-03-31,Mosaic Church,1,27
2020-03-31,Papa John Pizza,1,28
2020-03-31,Paran North Church,1,29
2020-03-31,Poke Company,1,30
2020-03-31,Resource Center,1,31
2020-03-31,Saint Joseph Catholic Church,1,32
2020-03-31,Service Leadership Program,1,33
2020-03-31,Sprayberry Community Compassion,1,34
2020-03-31,Starbucks,1,35
2020-03-31,Tapp Middle School,1,36
2020-03-31,Ymca,1,37
2020-04-14,National Crime Victim Rights Week,1,1
2020-04-21,Facebook,1,1
2020-05-01,Central High School,1,1
2020-05-01,School Lunch Hero Day,1,2
2020-06-02,Attorney Council Of Georgia,1,1
2020-06-02,Council Of Superior Court Judges Of Georgia,1,2
2020-06-02,Georgia Public Defender Council,1,3
2020-06-02,Supreme Court Justice Harold Melton,1,4
