date,organization,count,rn
2020-03-17,Nan,1,9
2020-03-17,Arkansas Better Business Bureau,2,1
2020-03-17,Arkansas Department Of Health,2,2
2020-03-17,Arkansas State Chamber,2,3
2020-03-17,Human Services,2,4
2020-03-17,Industries Of Arkansas,2,5
2020-03-17,Public Health Lab,2,6
2020-03-17,Treasury Department,2,7
2020-03-17,Walmart,2,8
2020-03-18,Netflix,1,1
2020-03-18,Pakistan Army,1,2
2020-03-23,Arkansas Better Business Bureau,2,1
2020-03-23,Arkansas Department Of Health,2,2
2020-03-23,Arkansas State Chamber,2,3
2020-03-23,Human Services,2,4
2020-03-23,Industries Of Arkansas,2,5
2020-03-23,Treasury Department,2,6
2020-03-23,Walmart,2,7
2020-03-25,Arkansas Community Foundation,1,1
2020-03-25,Arkansas Economic Development Commission,1,2
2020-03-25,Community Block Development Grant,1,3
2020-03-25,Little Rock District Office,1,4
2020-03-25,Loan Pilot Program,1,5
2020-03-25,Quick Action Loan Program,1,6
2020-03-25,Relief Fund,1,7
2020-03-25,Small Business Administration,1,8
2020-03-25,Truist Financial Corp,1,9
2020-03-25,White House,1,10
2020-03-27,Arkansas Better Business Bureau,1,1
2020-03-27,Arkansas Department Of Health,1,2
2020-03-27,Arkansas State Chamber,1,3
2020-03-27,Centers For Disease,1,4
2020-03-27,Human Services,1,5
2020-03-27,Industries Of Arkansas,1,6
2020-03-27,Treasury Department,1,7
2020-03-27,Walmart,1,8
2020-04-01,Division Of Emergency Management,1,8
2020-04-01,Health Department,1,9
2020-04-01,Minority Leaders Of The Senate,1,10
2020-04-01,Rainy Day Fund,1,11
2020-04-01,Senate Minority Leader,1,12
2020-04-01,Arkansas Better Business Bureau,2,1
2020-04-01,Arkansas Department Of Health,2,2
2020-04-01,Arkansas State Chamber,2,3
2020-04-01,Human Services,2,4
2020-04-01,Industries Of Arkansas,2,5
2020-04-01,Treasury Department,2,6
2020-04-01,Walmart,2,7
2020-04-02,Credit Arkansas Department Of Health,1,4
2020-04-02,Arkansas Economic Development Commission,3,1
2020-04-02,Community Development Block Grant,3,2
2020-04-02,Emergency Solutions Grant,3,3
2020-04-06,Nan,1,2
2020-04-06,University Of Washington,2,1
2020-04-12,Arkansas Better Business Bureau,2,1
2020-04-12,Arkansas Department Of Health,2,2
2020-04-12,Arkansas State Chamber,2,3
2020-04-12,Human Services,2,4
2020-04-12,Industries Of Arkansas,2,5
2020-04-12,Treasury Department,2,6
2020-04-12,Walmart,2,7
2020-04-15,Centers For Disease,1,1
2020-04-15,Facebook,1,2
2020-04-15,World Health Organization,1,3
2020-04-16,Facebook,1,1
2020-04-20,Arkansas Department Of Commerce Division Of Aeronautics,1,1
2020-04-20,Aviation Administration,1,2
2020-04-20,Memphis International Airport,1,3
2020-04-22,Al Jazeera,1,1
2020-04-22,Arkansas Department Of Health,1,2
2020-04-22,Arkansas Workforce Center,1,3
2020-04-22,Centers For Disease,1,4
2020-04-22,Delta Health Center,1,5
2020-04-22,Dr H Jack Geiger Medical Center,1,6
2020-04-22,Facebook,1,7
2020-04-22,United States,1,8
2020-04-22,Us Centers For Disease,1,9
2020-04-22,Western Union,1,10
2020-04-22,World Health Organization,1,11
2020-05-06,Academy Award For Best Documentary,1,1
2020-05-06,Av Club,1,2
2020-05-06,Caldwell Medical Center,1,3
2020-05-06,Kentucky Department Of Health,1,4
2020-05-06,Pennyrile District Health Department,1,5
2020-05-06,Steve Branch,1,6
2020-05-06,Young,1,7
2020-05-11,American Cancer Society,1,1
2020-05-11,Arkansas Family Health Center,1,2
2020-05-11,Atlanta Morehouse School Of Medicine,1,3
2020-05-11,Commonwealth Fund,1,4
2020-05-11,Johns Hopkins University,1,5
2020-05-11,Supreme Court,1,6
2020-05-14,Mississippi Gaming Commission,1,1
2020-05-15,Mississippi Gaming Commission,1,1
2020-05-18,Democratic Party,1,3
2020-05-18,Associated Press,2,2
2020-05-18,Health Department,5,1
2020-05-19,Arkansas Department Of Health,1,3
2020-05-19,Baxter Regional Medical Center,1,4
2020-05-19,Democratic Party,2,1
2020-05-19,Health Department,2,2
2020-05-22,Arkansas Department Of Health,2,1
2020-05-29,Credit Governor Office Youtube,1,1
2020-05-29,Health Department,1,2
2020-05-29,University Of Arkansas At Pine Bluff,1,3
2020-05-30,Arkansas Department Of Health,1,1
2020-05-30,Washington County Health Unit In Fayetteville,1,2
2020-05-31,Arkansas Department Of Health,1,1
2020-05-31,Centers For Disease,1,2
2020-05-31,Mississippi Department Of Health,1,3
2020-05-31,Tennessee Health Department,1,4
2020-05-31,United States,1,5
2020-05-31,World Health Organization,1,6
2020-06-06,Arkansas Department Of Corrections,1,1
2020-06-06,Correctional Institution In Forrest City,1,2
2020-06-14,Nan,1,1
2020-06-26,Arkansas Department Of Health,2,1
