date,organization,count,rn
2020-02-04,Centers For Disease,1,1
2020-02-04,Department Of Health,1,2
2020-02-04,Human Services,1,3
2020-02-04,United States,1,4
2020-02-04,Womack Army Medical Center,1,5
2020-02-05,Senate Majority Leader Mitch Mcconnell,1,29
2020-02-05,Senate Majority Leader Mitch Mcconnell R-Ky,1,30
2020-02-05,American Airlines,2,7
2020-02-05,Associated Press,2,8
2020-02-05,Bureau Of Economic Analysis,2,9
2020-02-05,Cnn,2,10
2020-02-05,Commerce Committee,2,11
2020-02-05,Democratic Party,2,12
2020-02-05,Google,2,13
2020-02-05,He Take The Democratic Party,2,14
2020-02-05,Hill Campaign,2,15
2020-02-05,Hospital Authority Employee Alliance,2,16
2020-02-05,House Energy,2,17
2020-02-05,House Judiciary Committee,2,18
2020-02-05,Hyundai,2,19
2020-02-05,Iowa Democratic Party,2,20
2020-02-05,New York Times,2,21
2020-02-05,Reuters,2,22
2020-02-05,Senate Republicans,2,23
2020-02-05,Twitter,2,24
2020-02-05,University Of California At Santa Barbara,2,25
2020-02-05,University Of Toledo,2,26
2020-02-05,White House,2,27
2020-02-05,Youtube,2,28
2020-02-05,Centers For Disease,4,2
2020-02-05,Department Of Health,4,3
2020-02-05,Human Services,4,4
2020-02-05,Trump State Of The Union,4,5
2020-02-05,Womack Army Medical Center,4,6
2020-02-05,United States,6,1
2020-02-16,Carolina Division Of Public Health,1,1
2020-02-16,Carolina Health News,1,2
2020-02-16,Centers For Disease,1,3
2020-02-16,Department Of Health,1,4
2020-02-16,Human Services,1,5
2020-02-16,Lackland Air Force,1,6
2020-02-16,Oversight Committee,1,7
2020-02-16,Oversight Committee On Health,1,8
2020-02-16,Twitter,1,9
2020-02-16,United States,1,10
2020-02-16,World Health Organization,1,11
2020-02-27,Health Improvement,1,1
2020-02-27,Maine Centers For Disease Control,1,2
2020-02-27,Yarmouth School Department,1,3
2020-02-28,Boy Scouts,1,1
2020-02-28,City Council,1,2
2020-02-28,Cnn,1,3
2020-02-28,Easton City Council,1,4
2020-02-28,Einstein Health,1,5
2020-02-28,Facebook,1,6
2020-02-28,How Health Care Proposals Divide Voters,1,7
2020-02-28,Jefferson University,1,8
2020-02-28,National Journal,1,9
2020-02-28,Pittsburgh International,1,10
2020-02-28,Poor People Campaign,1,11
2020-02-28,Sunoco,1,12
2020-02-28,Supreme Court,1,13
2020-02-28,Trump Administration,1,14
2020-02-28,Trump Supreme Court,1,15
2020-02-28,White House,1,16
2020-02-28,York City Council,1,17
2020-03-02,Army Guard,1,1
2020-03-02,Carolina National Guard,1,2
2020-03-02,Centers For Disease,1,3
2020-03-02,Defense Department,1,4
2020-03-02,Department Of Health,1,5
2020-03-02,Human Services,1,6
2020-03-02,Naval Medical Center Camp Lejeune,1,7
2020-03-02,United States,1,8
2020-03-02,Womack Army Medical Center,1,9
2020-03-03,Republican Party,1,22
2020-03-03,Team Trump Text,1,23
2020-03-03,Army Guard,2,4
2020-03-03,Capitol Broadcasting Company Opinion Section,2,5
2020-03-03,Carolina National Guard,2,6
2020-03-03,Carolina Public,2,7
2020-03-03,Carolina University,2,8
2020-03-03,Defense Department,2,9
2020-03-03,Department Of Health,2,10
2020-03-03,Duke Energy,2,11
2020-03-03,Human Services,2,12
2020-03-03,Meredith College,2,13
2020-03-03,Naval Medical Center Camp Lejeune,2,14
2020-03-03,Nc Chamber,2,15
2020-03-03,New York Times,2,16
2020-03-03,Officials At Camp Lejeune Marine Corps,2,17
2020-03-03,Ohio State University,2,18
2020-03-03,University Of Texas At El Paso,2,19
2020-03-03,Winter Convention,2,20
2020-03-03,Womack Army Medical Center,2,21
2020-03-03,World Health Organization,3,3
2020-03-03,Centers For Disease,5,2
2020-03-03,United States,8,1
2020-03-04,Centers For Disease,1,4
2020-03-04,Maine Legislature,1,5
2020-03-04,Maine Senate,1,6
2020-03-04,University Of North Carolina,1,7
2020-03-04,Bowdoin College,2,1
2020-03-04,Campus Emergency Management Team,2,2
2020-03-04,United States,2,3
2020-03-05,Allegheny County Health Department,1,9
2020-03-05,Allegheny Health Department,1,10
2020-03-05,Army Brig,1,11
2020-03-05,Department Of Public Safety,1,12
2020-03-05,Headquarters Library,1,13
2020-03-05,National Institutes Of Health,1,14
2020-03-05,Pennsylvania Department Of Health,1,15
2020-03-05,Stanford University,1,16
2020-03-05,Student Health Center,1,17
2020-03-05,University Center,1,18
2020-03-05,Walter Reed Army Institute Of Research,1,19
2020-03-05,Walter Reed Medical Center,1,20
2020-03-05,World Health Organization,1,21
2020-03-05,Airborne Division,2,1
2020-03-05,Centers For Disease,2,2
2020-03-05,Department Of Defense,2,3
2020-03-05,Department Of Public Health,2,4
2020-03-05,Human Services,2,5
2020-03-05,Officials At Seymour Johnson Air Force,2,6
2020-03-05,Pope Army Airfield,2,7
2020-03-05,Womack Army Medical Center,2,8
2020-03-06,Amtrak,1,15
2020-03-06,Associated Press,1,16
2020-03-06,Better Business Bureau Of Coastal Carolina,1,17
2020-03-06,Clinical Contact Center,1,18
2020-03-06,Headquarters Library,1,19
2020-03-06,Highland Center,1,20
2020-03-06,Seymour Johnson Air Force Base In Goldsboro,1,21
2020-03-06,United States,1,22
2020-03-06,Walgreens,2,14
2020-03-06,Camp Lejeune Marine Corps Base In Jacksonville,5,13
2020-03-06,Army Brig,6,9
2020-03-06,National Institutes Of Health,6,10
2020-03-06,Walter Reed Army Institute Of Research,6,11
2020-03-06,Walter Reed Medical Center,6,12
2020-03-06,Centers For Disease,8,6
2020-03-06,Department Of Public Health,8,7
