date,organization,count,rn
2020-02-01,Alexius Medical Center,1,5
2020-02-01,Chinese Mutual Aid Association,1,6
2020-02-01,Illinois Department Of Health,1,7
2020-02-01,Illinois Department Of Public Health,1,8
2020-02-01,Truman College,1,9
2020-02-01,World Health Organization,1,10
2020-02-01,Nan,2,1
2020-02-01,Ohio Department Of Health,2,2
2020-02-01,Tribune Content Agency,2,3
2020-02-01,United States,2,4
2020-02-02,Centers For Disease,1,1
2020-02-02,Miami University,1,2
2020-02-02,Muskingum Co,1,3
2020-02-02,Muskingum School Superintendent,1,4
2020-02-02,Ohio Department Of Health,1,5
2020-02-02,Ohio State University,1,6
2020-02-02,United States,1,7
2020-02-02,World Health Organization,1,8
2020-02-02,Zanesville Muskingum County Health Department,1,9
2020-02-03,Association Of Ohio,1,1
2020-02-03,Citizens For Community,1,2
2020-02-03,Health District,1,3
2020-02-03,Miami University,1,4
2020-02-03,Ohio Association Of Election Officials,1,5
2020-02-03,Ohio Bureau Of Workers Compensation,1,6
2020-02-03,Ohio Federation Of Teachers,1,7
2020-02-03,Ohio Health Department,1,8
2020-02-03,Ohio Senate,1,9
2020-02-03,Ohio Supreme Court,1,10
2020-02-03,Senate Republican,1,11
2020-02-03,Tribune Content Agency,1,12
2020-02-03,University Health Care Action Network,1,13
2020-02-04,Bloomberg,1,7
2020-02-04,Commerce Committee Republican,1,8
2020-02-04,Democracy Technology,1,9
2020-02-04,Democratic Party,1,10
2020-02-04,Department Of Justice,1,11
2020-02-04,Deweese Health Center,1,12
2020-02-04,Facebook,1,13
2020-02-04,Google,1,14
2020-02-04,House Energy,1,15
2020-02-04,House Foreign Affairs Committee,1,16
2020-02-04,Huawei,1,17
2020-02-04,Information Technology Industry Council,1,18
2020-02-04,Iowa Democratic Party,1,19
2020-02-04,Johns Hopkins University,1,20
2020-02-04,Mastercard,1,21
2020-02-04,Office Of Global Education,1,22
2020-02-04,Pro Technology,1,23
2020-02-04,Reuters,1,24
2020-02-04,Sinclair Broadcast Group,1,25
2020-02-04,Television Music License Committee,1,26
2020-02-04,Time Warner,1,27
2020-02-04,Tribune Media Co,1,28
2020-02-04,Twitter,1,29
2020-02-04,University Health Services,1,30
2020-02-04,Kent State University,2,5
2020-02-04,New York Times,2,6
2020-02-04,Tribune Content Agency,3,3
2020-02-04,University Hospitals,3,4
2020-02-04,Centers For Disease,4,1
2020-02-04,United States,4,2
2020-02-05,Army Staff Sgt,1,8
2020-02-05,Baldwin Wallace University,1,9
2020-02-05,Case Western Reserve University,1,10
2020-02-05,Cnn,1,11
2020-02-05,John Carrol University,1,12
2020-02-05,Kent State University,1,13
2020-02-05,Members Of Congress,1,14
2020-02-05,Miami University In Oxford,1,15
2020-02-05,National Cancer Institute,1,16
2020-02-05,National Institutes Of Health,1,17
2020-02-05,National Mall,1,18
2020-02-05,Oval Office,1,19
2020-02-05,Republican Party,1,20
2020-02-05,Senate On,1,21
2020-02-05,Trees Initiative,1,22
2020-02-05,Tribune Content Agency,1,23
2020-02-05,Twitter,1,24
2020-02-05,United States Special Forces Operators,1,25
2020-02-05,Venezuelan National Assembly,1,26
2020-02-05,World Economic Forum In Davos,1,27
2020-02-05,Ymca,1,28
2020-02-05,Miami University,2,4
2020-02-05,New York Times,2,5
2020-02-05,Trump State Of The Union,2,6
2020-02-05,White House,2,7
2020-02-05,Centers For Disease,3,1
2020-02-05,Ohio Department Of Health,3,2
2020-02-05,United States,3,3
2020-02-09,Tribune Content Agency,2,10
