date,organization,count,rn
2020-02-09,Disaster Preparedness At Columbia University,1,1
2020-02-09,Mary Medical Center,1,2
2020-02-09,National Center,1,3
2020-02-09,National Institutes Of Health,1,4
2020-02-09,Tribune Content Agency,1,5
2020-02-09,World Health Organization,1,6
2020-03-02,Nan,1,1
2020-03-07,Crozer Chester Medical Center,1,1
2020-03-07,Department Of Health,1,2
2020-03-07,Health Department,1,3
2020-03-07,Pennsylvania Department Of Health,1,4
2020-03-08,Centers For Disease,1,1
2020-03-08,Department Of Corrections,1,2
2020-03-08,Department Of Emergency Services,1,3
2020-03-08,Emergency Operations Center,1,4
2020-03-08,Government Center,1,5
2020-03-08,Management Department,1,6
2020-03-08,Pennsylvania Department Of Health,1,7
2020-03-08,Pennsylvania Emergency Management Association,1,8
2020-03-08,Pennsylvania Health Department,1,9
2020-03-08,United States,1,10
2020-03-09,Centers For Disease,1,5
2020-03-09,Department Of Corrections,1,6
2020-03-09,Department Of Emergency Services,1,7
2020-03-09,Emergency Operations Center,1,8
2020-03-09,Government Center,1,9
2020-03-09,Management Department,1,10
2020-03-09,Pennsylvania Department Of Health,1,11
2020-03-09,Pennsylvania Emergency Management Association,1,12
2020-03-09,Pennsylvania Health Department,1,13
2020-03-09,United States,1,14
2020-03-09,Pa Department Of Health,2,1
2020-03-09,Penn State Health,2,2
2020-03-09,Penn State Health College Of Medicine,2,3
2020-03-09,Pennsylvania Department Of Education,2,4
2020-03-10,Centers For Disease,1,2
2020-03-10,Cheyney University,1,3
2020-03-10,Department Of Health,1,4
2020-03-10,Elizabethtown College,1,5
2020-03-10,Harrisburg University,1,6
2020-03-10,Indiana University Of Pennsylvania,1,7
2020-03-10,Ivy League,1,8
2020-03-10,Lebanon Valley College,1,9
2020-03-10,Nan,1,10
2020-03-10,Nshaminy School District,1,11
2020-03-10,Office Of Health,1,12
2020-03-10,Palmyra Middle School,1,13
2020-03-10,Palmyra School District,1,14
2020-03-10,Pennsylvania Department Of Health,1,15
2020-03-10,Temple University,1,16
2020-03-10,United States,1,17
2020-03-10,University Of Pennsylvania,1,18
2020-03-10,University Of Pittsburgh,1,19
2020-03-10,York College Of Pennsylvania,1,20
2020-03-10,Hospital Of The University Of Pennsylvania,2,1
2020-03-11,Department Of Education,1,1
2020-03-11,Pennsylvania Department Of Education,1,2
2020-03-11,Senate Education Committee,1,3
2020-03-11,World Health Organization,1,4
2020-03-12,Pa Department Of Health,1,1
