date,organization,count,rn
2020-02-05,Associated Press,2,11
2020-02-05,Centers For Disease,4,1
2020-02-05,Health Department,4,2
2020-02-05,Lake Charles American,4,3
2020-02-05,Louisiana Department Of Health,4,4
2020-02-05,Louisiana Legislature,4,5
2020-02-05,Office Of Public Health,4,6
2020-02-05,Ohio State University Wexner Medical Center,4,7
2020-02-05,United States,4,8
2020-02-05,University Of Chicago,4,9
2020-02-05,World Health Organization,4,10
2020-03-26,Louisiana Department Of Education,1,1
2020-03-26,Personnel Resources For School Systems,1,2
2020-03-26,School Systems,1,3
2020-03-31,Associated Press,2,3
2020-03-31,Louisiana Department Of Health,3,1
2020-03-31,Nan,3,2
2020-04-06,Bossier Talented Arts Program,1,1
2020-04-06,Magnet Academy For Cultural Arts In Opelousas,1,2
2020-04-06,Nan,1,3
2020-04-06,Sulphur High School,1,4
2020-04-09,Bishop College,1,1
2020-04-09,Canaan Baptist Church,1,2
2020-04-09,Little Union Baptist Church,1,3
2020-04-09,Shreveport Police,1,4
2020-04-12,Bossier Talented Arts Program,1,11
2020-04-12,Magnet Academy For Cultural Arts In Opelousas,1,12
2020-04-12,Sulphur High School,1,13
2020-04-12,Baptist Church,2,3
2020-04-12,Bishop College,2,4
2020-04-12,Library Of Congress,2,5
2020-04-12,Little Union Baptist Church,2,6
2020-04-12,Louisiana Baptist State Convention,2,7
2020-04-12,National Baptist Convention,2,8
2020-04-12,Street Baptist Church,2,9
2020-04-12,Twitter,2,10
2020-04-12,Canaan Baptist Church,4,1
2020-04-12,Facebook,4,2
2020-04-13,Bossier Talented Arts Program,1,5
2020-04-13,Cnn,1,6
2020-04-13,Magnet Academy For Cultural Arts In Opelousas,1,7
2020-04-13,Sulphur High School,1,8
2020-04-13,Tennessee Valley Authority,1,9
2020-04-13,Times Free,1,10
2020-04-13,Mississippi Emergency Management Agency,3,4
2020-04-13,Facebook,4,1
2020-04-13,National Weather Service,4,2
2020-04-13,Twitter,4,3
2020-04-21,Shreveport Police,1,1
2020-04-23,National Weather Service,1,7
2020-04-23,Storm Prediction Center,1,8
2020-04-23,Weather Prediction Center,1,9
2020-04-23,Bossier Sheriff Office,2,1
2020-04-23,Caddo High School,2,2
2020-04-23,Logansport High School,2,3
2020-04-23,Old Plain Dealing Academy,2,4
2020-04-23,Pelican Library,2,5
2020-04-23,Vivian Police Department,2,6
2020-04-24,Twitter,2,5
2020-04-24,National Weather Service Tallahassee,5,4
2020-04-24,Facebook,7,3
2020-04-24,Louisiana State University System,8,1
2020-04-24,National Weather Service,8,2
2020-04-25,Facebook,1,3
2020-04-25,Louisiana State University System,2,1
2020-04-25,National Weather Service,2,2
2020-04-28,Louisiana Department Of Public Health,1,1
2020-05-01,Facebook,1,1
2020-05-01,Louisiana State University System,1,2
2020-05-01,National Weather Service,1,3
2020-05-05,Centers For Disease,1,1
2020-05-05,Department Of Labor,1,2
2020-05-05,Industry Association,1,3
2020-05-11,Nan,1,2
2020-05-11,Facebook,2,1
2020-05-12,Nan,1,1
