date,organization,count,rn
2020-02-07,Centers For Disease,1,1
2020-02-07,Department Of Health,1,2
2020-02-07,Indiana State Department Of Health,1,3
2020-02-07,United States,1,4
2020-02-28,Centers For Disease,1,1
2020-02-28,Indiana State Board Of Health,1,2
2020-03-11,Associated Press,1,1
2020-03-11,Braun,1,2
2020-03-11,Centers For Disease,1,3
2020-03-11,Committee On Ethics,1,4
2020-03-11,Dear Members Of The Cornell Community,1,5
2020-03-11,Instagram,1,6
2020-03-11,Republican Party,1,7
2020-03-11,Walmart,1,8
2020-03-11,White House,1,9
2020-03-15,Brick Tavern Museum,1,1
2020-03-15,Brown Fund For Advancement,1,2
2020-03-15,Clute Park Community Center,1,3
2020-03-15,Door Baptist Church,1,4
2020-03-15,Faith Baptist Bible College In Ankeny,1,5
2020-03-15,Food Bank,1,6
2020-03-15,Glen Baptist Church,1,7
2020-03-15,Humane Society Of Schuyler,1,8
2020-03-15,National Nutrition Month,1,9
2020-03-15,Office For The,1,10
2020-03-15,Schuyler County Historical Society,1,11
2020-03-15,Schuyler County Legislature,1,12
2020-03-15,Schuyler County Office For The,1,13
2020-03-15,Schuyler County Partnership For Economic Development,1,14
2020-03-15,Schuyler County Shared Services Building,1,15
2020-03-15,Schuyler Hospital Emergency Department,1,16
2020-03-16,Alsace Conservation Club,1,1
2020-03-16,Call The Extension Office,1,2
2020-03-16,Centers For Disease,1,3
2020-03-16,Discovery School,1,4
2020-03-16,Elks Lodge,1,5
2020-03-16,First Baptist Church,1,6
2020-03-16,Food Service Program,1,7
2020-03-16,Library Board Of Trustees Meeting,1,8
2020-03-16,Marion Township Millhousen Volunteer Fire Department,1,9
2020-03-16,Point Community Volunteer Fire Department Fish Fry,1,10
2020-03-16,Wednesdays At First Baptist Church,1,11
2020-03-16,Y Welcome Center,1,12
2020-03-18,Honda,1,1
2020-03-18,House Judiciary Committee,1,2
2020-03-18,House Life Health Insurance Subcommittee,1,3
2020-03-18,House Transportation Committee,1,4
2020-03-18,Indiana State Department Of Health,1,5
2020-03-18,Tennessee Bureau Of Investigation,1,6
2020-03-18,Tennessee Department Of Commerce Insurance,1,7
2020-03-18,Tennessee Department Of Education,1,8
2020-03-18,Tennessee Department Of Transportation,1,9
2020-03-18,Uc Health,1,10
2020-03-18,World Health Organization,1,11
2020-03-19,Centers For Disease,1,2
2020-03-19,Cummins,1,3
2020-03-19,Cummins Inc,1,4
2020-03-19,Health Administration,1,5
2020-03-19,Indiana Inc,1,6
2020-03-19,Johns Hopkins University Coronavirus Resource Center,1,7
2020-03-19,Subaru,1,8
2020-03-19,Toyota,1,9
2020-03-19,United States,1,10
2020-03-19,Honda,2,1
2020-03-20,Beloit Health System,1,1
2020-03-20,Bureau Of Motor Vehicles,1,2
2020-03-20,Children Health Insurance Program,1,3
2020-03-20,Chrysler,1,4
2020-03-20,Cummins,1,5
2020-03-20,Department Of Insurance,1,6
2020-03-20,Department Of Workforce Development,1,7
2020-03-20,Eli Lilly,1,8
2020-03-20,Family Relief Fund,1,9
2020-03-20,Fiat,1,10
2020-03-20,Health Services,1,11
2020-03-20,Honda,1,12
2020-03-20,Illinois Coalition Of Community Blood Centers,1,13
2020-03-20,Indiana Community Housing Development Authority,1,14
2020-03-20,Indiana Department Of Financial Institutions,1,15
2020-03-20,Indiana State Department Of Health,1,16
2020-03-20,Rochelle Community Hospital,1,17
2020-03-20,Rock River Valley Blood Center,1,18
2020-03-20,Saint Anthony Medical Center,1,19
2020-03-20,Services Administration,1,20
2020-03-20,Swedishamerican Regional Cancer Center,1,21
2020-03-20,Toyota,1,22
2020-03-20,Tribune Content Agency,1,23
2020-03-20,United States,1,24
2020-03-24,Big Lots,1,1
2020-03-24,Career Services,1,2
2020-03-24,Community Services,1,3
2020-03-24,Development Agency,1,4
2020-03-24,Government Center,1,5
2020-03-24,Kentuckiana Regional Planning Development Agency,1,6
2020-03-24,Kroger,1,7
2020-03-24,Stephen Church,1,8
2020-03-24,Sun Valley Community Center,1,9
2020-03-24,Twitter,1,10
