date,organization,count,rn
2020-03-12,Camden First United Methodist Church,1,1
2020-03-12,Charleston High School,1,2
2020-03-12,Democratic National Committee,1,3
2020-03-12,Democratic National Convention In Cleveland,1,4
2020-03-12,Democratic Party,1,5
2020-03-12,Dillon Wellness Center,1,6
2020-05-16,American Civil Liberties Union,1,1
2020-05-16,Carolina Election Commission,1,2
2020-05-16,Democratic Party,1,3
2020-05-16,Department Of Health,1,4
2020-05-16,Educational Fund,1,5
2020-05-16,Election Commission,1,6
2020-05-17,American Civil Liberties Union,1,3
2020-05-17,Democratic Party,1,4
2020-05-17,Department Of Health,1,5
2020-05-17,Election Commission,1,6
2020-05-17,Carolina Election Commission,2,1
2020-05-17,Educational Fund,2,2
