date,organization,count,rn
2020-02-06,Duke University Medical Center,1,1
2020-02-06,New York Times,1,2
2020-02-06,United States,1,3
2020-02-06,Us Centers For Disease,1,4
2020-02-11,Duke University Medical Center,1,1
2020-02-11,New York Times,1,2
2020-02-11,United States,1,3
2020-02-11,Us Centers For Disease,1,4
2020-02-17,Bloomberg,1,1
2020-02-17,Department Of Health,1,2
2020-02-17,Durham Housing Authority,1,3
2020-02-17,Durham Public School,1,4
2020-02-17,Human Services,1,5
2020-02-17,Lackland Air Force,1,6
2020-02-17,Public School Forum Of North Carolina,1,7
2020-02-17,Rives Associates,1,8
2020-02-17,Travis Air Force Base In Fairfield,1,9
2020-02-17,United States,1,10
2020-02-23,Duke Kunshan University,1,1
2020-02-23,Duke University,1,2
2020-02-23,Tsinghua University,1,3
2020-02-23,United States,1,4
2020-02-23,York University,1,5
2020-02-25,Centers For Disease,1,1
2020-02-25,Duke University,1,2
2020-02-26,Carolina Central University,1,1
2020-02-26,Carolina Division Of Public Health,1,2
2020-02-26,Carolina State University,1,3
2020-02-26,Centers For Disease,1,4
2020-02-26,Duke University,1,5
2020-02-27,Carolina Central University,1,5
2020-02-27,Carolina Community,1,6
2020-02-27,Carolina Department Of Health,1,7
2020-02-27,Carolina League,1,8
2020-02-27,Carolina State University,1,9
2020-02-27,Department Of Health,1,10
2020-02-27,Emergency Services Christian Lawson,1,11
2020-02-27,Public Affairs Mike Shoenfield,1,12
2020-02-27,United States,1,13
2020-02-27,Carolina Division Of Public Health,2,2
2020-02-27,Centers For Disease,2,3
2020-02-27,Human Services,2,4
2020-02-27,Duke University,3,1
2020-02-28,Duke Clinical Research Institute,1,1
2020-02-28,Duke University,1,2
2020-02-29,A Duke University,1,1
2020-02-29,American Home Furnishings Alliance,1,2
2020-02-29,Department Of Health,1,3
2020-02-29,Duke University,1,4
2020-02-29,High Point Market Authority,1,5
2020-02-29,Human Services,1,6
2020-02-29,National Association Of Manufacturers,1,7
2020-02-29,United States,1,8
2020-02-29,World Health Organization,1,9
2020-03-04,Aetna,1,4
2020-03-04,Atrium Health,1,5
2020-03-04,Baric Lab,1,6
2020-03-04,Biotech Center,1,7
2020-03-04,Carolina Biotechnology Center,1,8
2020-03-04,Cone Health,1,9
2020-03-04,Department Of Epidemiology,1,10
2020-03-04,Drug Administration,1,11
2020-03-04,Duke Global Health Institute,1,12
2020-03-04,Duke Nicholas School Of The Environment,1,13
2020-03-04,Duke University,1,14
2020-03-04,Gillings School,1,15
2020-03-04,Global Health Institute At,1,16
2020-03-04,Harborview Medical Center,1,17
2020-03-04,Health Department,1,18
2020-03-04,Human Services,1,19
2020-03-04,Kilimanjaro Christian Medical Centre,1,20
2020-03-04,Life Care Center,1,21
2020-03-04,National Center,1,22
2020-03-04,Novant Health Inc,1,23
2020-03-04,Office Of Management,1,24
2020-03-04,Pacific Northwest National Laboratories,1,25
2020-03-04,Program In Emerging Infectious Diseases,1,26
2020-03-04,Research Triangle Of North Carolina,1,27
2020-03-04,School Of Medicine,1,28
2020-03-04,University Of Alabama,1,29
2020-03-04,University Of Nebraska Medical Center,1,30
2020-03-04,University Of Queensland,1,31
2020-03-04,Vaccine Research Center On,1,32
2020-03-04,Vanderbilt University School Of Medicine,1,33
2020-03-04,Wake Forest Baptist Medical Center,1,34
2020-03-04,World Health Organization,1,35
2020-03-04,National Institutes Of Health,2,2
2020-03-04,United States,2,3
2020-03-04,Centers For Disease,3,1
2020-03-06,Carolina School Of Science,1,1
2020-03-06,Centers For Disease,1,2
2020-03-06,Christ The King Lutheran Church,1,3
2020-03-06,Georgia Department Of Health,1,4
2020-03-06,Human Services Dr,1,5
2020-03-06,Nan,1,6
2020-03-06,United States,1,7
2020-03-09,Centers For Disease,1,1
2020-03-09,Wake County Public Health Division,1,2
2020-03-10,Baric Lab,1,5
2020-03-10,Barnes Noble,1,6
2020-03-10,Biotech Center,1,7
2020-03-10,Buncombe County Health,1,8
2020-03-10,Capitol Broadcasting Company,1,9
2020-03-10,Capitol Broadcasting Company Opinion Section,1,10
2020-03-10,Carolina Biotechnology Center,1,11
2020-03-10,China At Duke University,1,12
2020-03-10,China Central Television,1,13
2020-03-10,Department Of Epidemiology,1,14
2020-03-10,Department Of Social Services,1,15
2020-03-10,Duke Global Health Institute,1,16
2020-03-10,Duke Nicholas School Of The Environment,1,17
2020-03-10,Epidemiology Team,1,18
2020-03-10,Fayetteville State University,1,19
2020-03-10,Gillings School,1,20
2020-03-10,Global Health Institute At,1,21
2020-03-10,Huawei,1,22
2020-03-10,Impact In Global Health,1,23
2020-03-10,Indiana State Department Of Health,1,24
2020-03-10,International Economics,1,25
2020-03-10,Kilimanjaro Christian Medical Centre,1,26
2020-03-10,National Institutes Of Health,1,27
2020-03-10,Osher Lifelong Learning Institute,1,28
2020-03-10,Pacific Northwest National Laboratories,1,29
2020-03-10,Pandemic Team,1,30
2020-03-10,Program In Emerging Infectious Diseases,1,31
2020-03-10,Public Health,1,32
2020-03-10,Research Triangle Of North Carolina,1,33
2020-03-10,School Of Medicine,1,34
2020-03-10,Time Magazine,1,35
2020-03-10,United States,1,36
2020-03-10,University Of Alabama,1,37
2020-03-10,University Of Nebraska Medical Center,1,38
2020-03-10,University Of Queensland,1,39
2020-03-10,Vanderbilt University School Of Medicine,1,40
2020-03-10,Wake County Public Health Division,1,41
2020-03-10,Centers For Disease,2,2
2020-03-10,Human Services,2,3
2020-03-10,Nc Department Of Health,2,4
2020-03-10,Duke University,4,1
2020-03-11,Arizona State University,1,3
2020-03-11,Berea College,1,4
2020-03-11,Emergency Operations Center,1,5
2020-03-11,Facebook,1,6
2020-03-11,Forsyth Technical Community College,1,7
2020-03-11,Google,1,8
2020-03-11,Harvard University On,1,9
2020-03-11,Health Department,1,10
2020-03-11,Human Services,1,11
2020-03-11,Ohio State University,1,12
2020-03-11,Pepperdine University,1,13
2020-03-11,Student Health Service,1,14
2020-03-11,University Of Virginia,1,15
2020-03-11,University Of Washington,1,16
2020-03-11,United States,2,2
2020-03-11,Duke University,3,1
2020-03-12,Carolina State Health,1,28
2020-03-12,Department Of Health,1,29
2020-03-12,University Of Utah At Salt Lake City,1,30
2020-03-12,Cabarrus Health Alliance,2,24
2020-03-12,Carolina State Lab For Public Health,2,25
2020-03-12,Charlotte-Douglas International Airport,2,26
2020-03-12,University Of North Carolina,2,27
2020-03-12,Campbell University,3,21
2020-03-12,Health Center,3,22
2020-03-12,Nan,3,23
2020-03-12,Caromonth Health,4,10
2020-03-12,Cone Health,4,11
2020-03-12,Emergency Operations Center,4,12
2020-03-12,Facebook,4,13
2020-03-12,Instagram,4,14
2020-03-12,Raleigh-Durham International Airport,4,15
2020-03-12,Randolph Health,4,16
2020-03-12,Tribune Content Agency,4,17
2020-03-12,Wake Co,4,18
2020-03-12,Wake Forest Baptist Health,4,19
2020-03-12,World Health Organization,4,20
2020-03-12,Carolina State Laboratory Of Public Health,5,8
2020-03-12,United States,5,9
2020-03-12,Human Services,6,7
2020-03-12,Carolina Department Of Health,7,5
2020-03-12,Twitter,7,6
2020-03-12,Biogen Research Triangle Park,9,3
2020-03-12,Research Triangle Park,9,4
2020-03-12,Centers For Disease,10,2
2020-03-12,Duke University,11,1
2020-03-13,Cabarrus Health Alliance,1,3
2020-03-13,Carolina Department Of Health,1,4
2020-03-13,Carolina State Lab For Public Health,1,5
2020-03-13,Carolina State Laboratory Of Public Health,1,6
2020-03-13,Caromonth Health,1,7
2020-03-13,Centers For Disease,1,8
2020-03-13,Cone Health,1,9
2020-03-13,Department Of Public Health,1,10
2020-03-13,Duke Health,1,11
2020-03-13,Duke University Hospital,1,12
2020-03-13,Durham Public Schools Foundation,1,13
2020-03-13,Facebook,1,14
2020-03-13,Food Bank,1,15
2020-03-13,High Point Market Authority,1,16
2020-03-13,Human Services,1,17
2020-03-13,Marine Corps Base Camp Lejeune,1,18
2020-03-13,Naval Medical Center Camp Lejeune,1,19
2020-03-13,Randolph Health,1,20
2020-03-13,Ravenscroft School,1,21
2020-03-13,Tribune Content Agency,1,22
2020-03-13,United States,1,23
2020-03-13,Wake Co,1,24
2020-03-13,Wake Forest Baptist Health,1,25
2020-03-13,Duke University,2,1
2020-03-13,World Health Organization,2,2
2020-03-14,Cabarrus Health Alliance,1,2
2020-03-14,Cape Fear Valley Health In Harnett County,1,3
2020-03-14,Carolina State Lab For Public Health,1,4
2020-03-14,Carolina State Laboratory Of Public Health,1,5
2020-03-14,Caromonth Health,1,6
2020-03-14,Cone Health,1,7
2020-03-14,Duke University,1,8
2020-03-14,Marine Corps Base Camp Lejeune,1,9
2020-03-14,Naval Medical Center Camp Lejeune,1,10
2020-03-14,Randolph Health,1,11
2020-03-14,University Of North Carolina,1,12
2020-03-14,Wake Co,1,13
2020-03-14,Wake Forest Baptist Health,1,14
2020-03-14,William Peace University,1,15
2020-03-14,World Health Organization,1,16
2020-03-14,Centers For Disease,2,1
2020-03-15,A Defense Department,1,1
2020-03-15,Army Major,1,2
2020-03-15,Biomedical Advanced Research,1,3
2020-03-15,Defense Advanced Research Projects Agency,1,4
2020-03-15,Defense Department,1,5
2020-03-15,Defense Threat Reduction Agency,1,6
2020-03-15,Department Of Health,1,7
2020-03-15,Development Authority,1,8
2020-03-15,Glaxosmithkline,1,9
2020-03-15,House Armed Services,1,10
2020-03-15,Human Services,1,11
2020-03-15,Infectious Disease Research,1,12
2020-03-15,Johnson Johnson,1,13
2020-03-15,Mercedes,1,14
2020-03-15,Mitre Corp,1,15
2020-03-15,Moderna Inc,1,16
2020-03-15,National Biopharmaceutical Manufacturing Partnership,1,17
2020-03-15,National Institute Of Allergy,1,18
2020-03-15,National Institutes Of Allergy,1,19
2020-03-15,Regeneron Pharmaceuticals,1,20
2020-03-15,Study Of Drug Development,1,21
2020-03-15,Texas A M University,1,22
2020-03-15,Transformational Medical Technologies Initiative,1,23
2020-03-15,Tufts Center,1,24
2020-03-15,United States,1,25
2020-03-15,University Of Minnesota,1,26
2020-03-15,White House,1,27
2020-03-16,Area Ministry Food Pantry,1,1
2020-03-16,Drug Administration,1,2
2020-03-16,Durham Public Schools Foundation,1,3
2020-03-16,Food Bank,1,4
2020-03-16,Food Bank Finder,1,5
2020-03-16,United Way Rapid Response Fund,1,6
2020-03-16,Wilmington Blood Donation Center,1,7
2020-03-17,American College Of Surgeons,1,1
2020-03-17,Area Ministry Food Pantry,1,2
2020-03-17,Atrium Health,1,3
2020-03-17,Bridge The Gap Mission,1,4
2020-03-17,Cedar Lodge Market,1,5
2020-03-17,Centers For Disease,1,6
2020-03-17,Department Of Health,1,7
2020-03-17,Duke University,1,8
2020-03-17,Durham City School District,1,9
2020-03-17,Durham Public Schools Foundation,1,10
2020-03-17,Emergency Operations Center,1,11
2020-03-17,Facebook,1,12
2020-03-17,Food Bank,1,13
2020-03-17,Food Bank Finder,1,14
2020-03-17,Gillings School Of Global Public Health,1,15
2020-03-17,Human Services,1,16
2020-03-17,Laboratory Of Public Health,1,17
2020-03-17,Mountain View Court,1,18
2020-03-17,Novant Health,1,19
2020-03-17,Randolph Co,1,20
2020-03-17,Seymour Johnson Airforce,1,21
2020-03-17,United Way Rapid Response Fund,1,22
2020-03-17,University Archives,1,23
2020-03-17,University Technical Services Archivist Dawne Lucas,1,24
2020-03-17,Wake Baptist Health,1,25
2020-03-17,World Health Organization,1,26
2020-03-17,Ymca,1,27
