date,organization,count,rn
2020-04-16,White House,1,10
2020-04-16,American Civil Liberties Union Of Kansas,2,1
2020-04-16,Facebook,2,2
2020-04-16,Johns Hopkins University,2,3
2020-04-16,Kansas Department Of Health,2,4
2020-04-16,Kansas Supreme Court,2,5
2020-04-16,Missouri Department Of Health,2,6
2020-04-16,Missouri Office Of Workforce Development,2,7
2020-04-16,Senior Services,2,8
2020-04-16,Supreme Court,2,9
2020-04-17,Continuous Learning Task,1,1
2020-04-17,Elementary School Episodes,1,2
2020-04-17,Kansas Public Broadcast Alliance,1,3
2020-04-17,Kansas Public Broadcasting Service,1,4
2020-04-17,Kansas State Department Of Education,1,5
2020-04-17,National Teacher Of The Year,1,6
2020-04-17,School Episodes,1,7
2020-04-18,Continuous Learning Task,1,1
2020-04-18,Elementary School Episodes,1,2
2020-04-18,Kansas Public Broadcast Alliance,1,3
2020-04-18,Kansas Public Broadcasting Service,1,4
2020-04-18,Kansas State Department Of Education,1,5
2020-04-18,National Teacher Of The Year,1,6
2020-04-18,School Episodes,1,7
2020-05-04,Apron Strings Kitchen Store In Hutchinson,1,3
2020-05-04,Kansas Army National Guard,1,4
2020-05-04,Kansas Association Of Criminal Defense Lawyers,1,5
2020-05-04,Kansas Board Of Indigent Defense Services,1,6
2020-05-04,Twitter,1,7
2020-05-04,Kansas Department Of Corrections,2,1
2020-05-04,Kansas Department Of Health,2,2
2020-05-05,Apron Strings Kitchen Store In Hutchinson,2,1
2020-05-05,Kansas Army National Guard,2,2
2020-05-05,Kansas Association Of Criminal Defense Lawyers,2,3
2020-05-05,Kansas Board Of Indigent Defense Services,2,4
2020-05-05,Kansas Department Of Corrections,2,5
2020-05-05,Kansas Department Of Health,2,6
2020-05-05,Twitter,2,7
2020-05-07,Kansas Department Of Corrections,1,1
2020-05-08,Kansas Department Of Corrections,1,1
