date,organization,count,rn
2020-03-11,Friendship Center,1,1
2020-03-11,Friendship Centers Of Emmet,1,2
2020-03-12,Central Michigan College,1,1
2020-03-12,Charlevoix Middle High School,1,2
2020-03-12,Charlevoix Middle High School College Fair,1,3
2020-03-12,Crooked Tree Arts Center,1,4
2020-03-12,Human Services,1,5
2020-03-12,Michigan Department Of Health,1,6
2020-03-12,Petoskey Chamber,1,7
2020-03-12,Petoskey High School,1,8
2020-03-12,Twitter,1,9
2020-03-13,Centers For Disease,1,3
2020-03-13,Circuit Court,1,4
2020-03-13,Human Services,1,5
2020-03-13,Krissi Lab,1,6
2020-03-13,Madison Area Technical College,1,7
2020-03-13,Michigan Department Of Health,1,8
2020-03-13,Most University Of Wisconsin System,1,9
2020-03-13,Shiawassee Regional Education Service District,1,10
2020-03-13,University Housing,3,2
2020-03-13,World Health Organization,4,1
2020-03-16,Centers For Disease,1,1
2020-03-17,Community Relations,1,1
2020-03-17,Driver License Office To Close,1,2
2020-03-17,Emergency Fund,1,3
2020-03-17,Floyd Valley Community Relations,1,4
2020-03-17,Health Zoning,1,5
2020-03-17,Iowa Department Of Public Health,1,6
2020-03-17,Jeneary Addresses Legislature View On,1,7
2020-03-17,Life Skills Training Center,1,8
2020-03-17,Public Health Disaster Emergency,1,9
2020-03-17,Schwartz,1,10
2020-03-17,Wells Visitor Center Ice Cream Parlor,1,11
2020-03-18,Public Health,1,1
2020-03-19,Michigan Municipal League,1,1
2020-03-19,Public Health,1,2
2020-03-24,Charlevoix Area Chamber,1,1
2020-03-24,Department Of Natural Resources,1,2
2020-03-24,Michigan Association Of Countie,1,3
2020-03-24,Michigan Association Of Counties,1,4
2020-03-24,Michigan Health Department,1,5
2020-03-24,Petoskey Regional Chamber,1,6
2020-03-25,Beaumont Health,1,1
2020-03-25,Human Services,1,2
2020-03-25,National Guard,1,3
2020-03-25,Oakland University,1,4
2020-03-26,Charlevoix Area Chamber,1,1
2020-03-26,Department Of Natural Resources,1,2
2020-03-26,Michigan Association Of Countie,1,3
2020-03-26,Michigan Association Of Counties,1,4
2020-03-26,Michigan Health Department,1,5
2020-03-26,Petoskey Regional Chamber,1,6
2020-03-30,First Christian Church,1,1
2020-03-31,Charlevoix Cheboygan Emmet Office Of Emergency Management,1,1
2020-03-31,Drug Administration,1,2
2020-03-31,Gustav Lo Of Northern Michigan Med Center,1,3
2020-03-31,Health Department Of Northwest Michigan,1,4
2020-03-31,Ogden Newspapers Inc,1,5
2020-03-31,Petoskey Department Of Public Safety,1,6
2020-03-31,Strategic National,1,7
2020-04-01,Michigan Municipal League,1,1
2020-04-02,Bowling Green State University,1,1
2020-04-02,Central Michigan College,1,2
2020-04-02,Central Michigan University,1,3
2020-04-02,Faculty Association,1,4
2020-04-02,Google,1,5
2020-04-02,Michigan Department Of Transportation,1,6
2020-04-02,Northwestern Michigan College,1,7
2020-04-02,Traverse City Central High School,1,8
2020-04-07,Capital Area Transit Authority In Lansing,1,1
2020-04-07,Michigan Public Transit Association,1,2
2020-04-07,National Public Transit Association,1,3
2020-04-07,Transit Administration,1,4
2020-04-09,Due To Iowa State University,1,1
2020-04-09,First Christian Church,1,2
2020-04-09,Human Services On,1,3
2020-04-09,Michigan Department Of Health,1,4
2020-04-10,First Assembly Of God,1,1
2020-04-10,First Assembly Of God Church,1,2
2020-04-10,Grace Episcopal Church,1,3
2020-04-10,United States,1,4
2020-04-11,Health Department,1,1
2020-04-11,Nextcare Health Systems,1,2
2020-04-17,Aviation Administration,1,1
2020-04-19,Kentucky Public Health,1,10
2020-04-19,Kentucky State Police,1,11
2020-04-19,Christina Lee Brown Environmental Institute,2,1
2020-04-19,Facebook,2,2
2020-04-19,Fire Christian Church,2,3
2020-04-19,Indiana State Department Of Health,2,4
2020-04-19,Kroger,2,5
2020-04-19,Ohio Department Of Health,2,6
2020-04-19,United States,2,7
2020-04-19,University Of Louisville,2,8
2020-04-19,White House,2,9
2020-04-21,Iowa Department,1,1
2020-04-21,Iowa Department Of Public Health,1,2
2020-04-21,Iowa Economic Development Authority,1,3
2020-04-21,Iowa Public Health Department,1,4
2020-04-21,Public Health Department,1,5
2020-04-21,Remsen Fire Department,1,6
2020-04-21,Reynolds Announces Partnership,1,7
2020-04-21,Tyson Foods,1,8
2020-04-22,Nan,1,1
2020-04-24,Blessing Of The Fleet Summer Launch Party,1,1
2020-04-24,Summer Launch Party,1,2
2020-05-05,Health Department Of Northwest Michigan,1,1
2020-05-08,School Emergency Relief,1,1
2020-05-12,Michigan District Health Department,1,1
2020-05-12,Nan,1,2
2020-05-12,Saginaw County Health Department,1,3
2020-05-14,Facebook,1,1
