date,organization,count,rn
2020-02-10,Astria Regional Medical Center,1,1
2020-02-10,Heights Church,1,2
2020-02-10,Wesley United Methodist Church,1,3
2020-02-11,Astria Regional Medical Center,1,1
2020-02-11,Heights Church,1,2
2020-02-11,Wesley United Methodist Church,1,3
2020-02-28,Door Presbyterian Church,1,1
2020-02-28,Korean Central Presbyterian Church,1,2
2020-02-28,Star Community Church,1,3
2020-02-28,United States,1,4
2020-02-29,Bloomberg,1,1
2020-02-29,Monmouth University,1,2
2020-03-04,Airports Authority,1,1
2020-03-04,Centers For Disease,1,2
2020-03-04,Health Department,1,3
2020-03-04,Inova Health System,1,4
2020-03-04,Loudoun Health Department,1,5
2020-03-04,National Capital Region,1,6
2020-03-04,Reagan National,1,7
2020-03-04,World Health Organization,1,8
2020-03-07,Centers For Disease,1,1
2020-03-07,Comcast Internet Essentials Program,1,2
2020-03-07,Department Of Education,1,3
2020-03-07,Department Of Public Health,1,4
2020-03-07,House News Service,1,5
2020-03-07,Old Rochester Regional High School,1,6
2020-03-08,Army Soldiers,3,43
2020-03-08,Clorox,3,44
2020-03-08,Department Of The Army,3,45
2020-03-08,Evergreen Health Medical Center,3,46
2020-03-08,Human Services,3,47
2020-03-08,Marine Base Corps Quantico,3,48
2020-03-08,Ministry Of Emergency Management,3,49
2020-03-08,Ministry Of Health,3,50
2020-03-08,Adm,4,33
2020-03-08,Civil Protection Agency,4,34
2020-03-08,Department Of Public Health On,4,35
2020-03-08,Facebook,4,36
2020-03-08,John Hopkins University,4,37
2020-03-08,Life Care Center,4,38
2020-03-08,Marine Division,4,39
2020-03-08,Navy Times,4,40
2020-03-08,Officials At Fort Belvoir Community Hospital,4,41
2020-03-08,Public Affairs,4,42
2020-03-08,Arizona Department Of Public Health,5,16
2020-03-08,Cnn,5,17
2020-03-08,Department Of Defense,5,18
2020-03-08,Department Of Public Health,5,19
2020-03-08,Florida Department Of Health,5,20
2020-03-08,Georgia Department Of Public Health,5,21
2020-03-08,Harborview Medical Center,5,22
2020-03-08,Illinois Department Of Public Health,5,23
2020-03-08,Madera Community Hospital,5,24
2020-03-08,Oregon Health Authority,5,25
2020-03-08,Princess Cruises,5,26
2020-03-08,Rush University Medical Center,5,27
2020-03-08,Southern Nevada Health District,5,28
2020-03-08,Texas Department Of State Health Services,5,29
2020-03-08,University Of Nebraska Medical Center,5,30
2020-03-08,Utah Department Of Health,5,31
2020-03-08,Wisconsin Department Of Health Services,5,32
2020-03-08,Dc Health,6,13
2020-03-08,Department Of Health,6,14
2020-03-08,Schwartz,6,15
2020-03-08,World Health Organization,7,12
2020-03-08,Fort Belvoir Community Hospital,8,11
2020-03-08,Defense Department,9,10
2020-03-08,Ap National Security Writer Robert Burns,13,9
2020-03-08,Centers For Disease,14,8
2020-03-08,Christ Church Georgetown,18,7
2020-03-08,Associated Press,24,6
2020-03-08,United States,31,5
2020-03-08,American Israel Public Affairs Committee,33,4
2020-03-08,Virginia Department Of Health,36,3
2020-03-08,Twitter,46,2
2020-03-08,White House,65,1
2020-03-09,American Conservative Union Matt Schlapp,2,44
2020-03-09,Amtrak,2,45
2020-03-09,Department Of Labor,2,46
2020-03-09,Department Of Public Health On,2,47
2020-03-09,Department Of Transportation,2,48
2020-03-09,Evergreen Health,2,49
2020-03-09,Evergreen Health Medical Center,2,50
2020-03-09,A House Foreign Affairs Committee,3,30
2020-03-09,Afghan National Defense,3,31
2020-03-09,American Conservative Union,3,32
2020-03-09,Cannon House Office Building,3,33
2020-03-09,Dirksen Senate Office Building,3,34
2020-03-09,House Appropriations Committee,3,35
2020-03-09,House Armed Services Committee,3,36
