date,organization,count,rn
2020-02-03,Human Services,1,1
2020-02-03,Montana Department Of Public Health,1,2
2020-02-03,United States,1,3
2020-02-03,Us Centers For Disease Control,1,4
2020-02-04,Human Services,1,1
2020-02-04,Montana Department Of Public Health,1,2
2020-02-04,United States,1,3
2020-02-04,Us Centers For Disease Control,1,4
2020-03-02,Board Of Health,1,1
2020-03-02,Health Department,1,2
2020-03-02,Human Services,1,3
2020-03-02,National Vaccine Injury Compensation Program,1,4
2020-03-02,United States,1,5
2020-03-02,United States Center,1,6
2020-03-03,Kalispell Regional Medical Center,1,5
2020-03-03,Us Centers For Disease,1,6
2020-03-03,Montana Public Health Laboratory In Helena,2,4
2020-03-03,Human Services,3,1
2020-03-03,Montana Department Of Public Health,3,2
2020-03-03,United States,3,3
2020-03-04,Centers For Disease,1,7
2020-03-04,Clark Public Health,1,8
2020-03-04,Department Of Military Affairs,1,9
2020-03-04,Department Of Public Health,1,10
2020-03-04,Emergency Services,1,11
2020-03-04,Governor Coronavirus Task,1,12
2020-03-04,Human Service,1,13
2020-03-04,Kalispell Regional Medical Center,1,14
2020-03-04,Peter Health,1,15
2020-03-04,Health Department,3,5
2020-03-04,Montana Public Health Laboratory In Helena,3,6
2020-03-04,Human Services,5,1
2020-03-04,Montana Department Of Public Health,5,2
2020-03-04,United States,5,3
2020-03-04,Us Centers For Disease,5,4
2020-03-05,Atmospheric Administration,1,4
2020-03-05,Flathead Valley Community College,1,5
2020-03-05,Heartland Institute,1,6
2020-03-05,Human Services,1,7
2020-03-05,Institute For Tourism,1,8
2020-03-05,Kalispell Regional Medical Center,1,9
2020-03-05,Montana Department Of Public Health,1,10
2020-03-05,Montana Glacier National Park,1,11
2020-03-05,National Oceanic,1,12
2020-03-05,New York Times,1,13
2020-03-05,Propulsion Laboratory,1,14
2020-03-05,Public Trust In Government,1,15
2020-03-05,Recreation Research,1,16
2020-03-05,Stern,1,17
2020-03-05,Trump Administration Is Just,1,18
2020-03-05,University Of Montana,1,19
2020-03-05,Us Centers For Disease,1,20
2020-03-05,Centers For Disease,2,2
2020-03-05,Glacier National Park,2,3
2020-03-05,United States,3,1
2020-03-06,Atmospheric Administration,1,1
2020-03-06,Glacier National Park,1,2
2020-03-06,Heartland Institute,1,3
2020-03-06,International Conference On Climate,1,4
2020-03-06,Montana Department Of Transportation,1,5
2020-03-06,Montana Glacier National Park,1,6
2020-03-06,My Place Hotel,1,7
2020-03-06,Nan,1,8
2020-03-06,National Oceanic,1,9
2020-03-06,New York Times,1,10
2020-03-06,Propulsion Laboratory,1,11
2020-03-06,Public Trust In Government Science,1,12
2020-03-06,Public Works Department,1,13
2020-03-06,Trump Administration Is Just,1,14
2020-03-06,United States,1,15
2020-03-06,Youtube,1,16
2020-03-09,United States,4,3
2020-03-09,Facebook,9,2
2020-03-09,American Conservative Union,14,1
2020-03-10,Centers For Disease,1,7
2020-03-10,Nan,1,8
2020-03-10,Tribal Health,1,9
