date,organization,count,rn
2020-05-24,Facebook,1,1
2020-05-24,Fleming County High School,1,2
2020-05-25,Facebook,3,2
2020-05-25,Honda,3,3
2020-05-25,Kentucky State Police,4,1
2020-05-26,Associated Press,2,1
2020-05-26,Facebook,2,2
2020-05-26,Kentucky State Police,2,3
2020-05-26,United Kingdom Medical Center,2,4
2020-07-08,Administrators Of The Poudre School District,1,1
2020-07-08,Centers For Disease,1,2
2020-07-08,Colorado Department Of Education,1,3
2020-07-08,Education Commission Of The States,1,4
2020-07-08,Jersey Department Of Education,1,5
2020-07-08,Kentucky Department Of Education,1,6
2020-07-08,Missouri School Boards Association Center,1,7
2020-07-08,National Association Of Pupil Transportation,1,8
2020-07-08,National Household Travel,1,9
2020-07-08,Poudre School District,1,10
2020-07-08,Walkers,1,11
