date,organization,count,rn
2020-02-27,Exchange Commission,1,1
2020-02-27,Exchange Traded Fund Of Bitcoin,1,2
2020-02-27,Facebook,1,3
2020-02-27,People Bank,1,4
2020-02-27,United States,1,5
2020-03-10,Appropriations Committee,1,1
2020-03-10,Consensus Revenue Estimating Group,1,2
2020-03-10,United States,1,3
2020-03-12,Appropriations Committee,1,1
2020-03-12,Centers For Disease,1,2
2020-03-12,Consensus Revenue Estimating Group,1,3
2020-03-12,Facebook,1,4
2020-03-12,Health Department,1,5
2020-03-12,Indian Health Service,1,6
2020-03-12,United States,1,7
2020-03-14,Central Wyoming College,1,5
2020-03-14,Public Health Laboratory,1,6
2020-03-14,Health Department,2,2
2020-03-14,Sagewest Health Care In Lander,2,3
2020-03-14,Showboat Retirement Center,2,4
2020-03-14,Department Of Health,3,1
2020-03-15,Boise State University,1,10
2020-03-15,Bureau Of Labs,1,11
2020-03-15,Centers For Disease,1,12
2020-03-15,Central District Health,1,13
2020-03-15,Central Public Health,1,14
2020-03-15,Central Public Health District,1,15
2020-03-15,Community Health Administrator,1,16
2020-03-15,Community Health Division,1,17
2020-03-15,Convention Center,1,18
2020-03-15,Department Of Health,1,19
2020-03-15,Division Of Public Health,1,20
2020-03-15,Facebook,1,21
2020-03-15,Governor Office,1,22
2020-03-15,Idaho Bureau Of Laboratories,1,23
2020-03-15,Idaho Bureau Of Labs,1,24
2020-03-15,Idaho Department Of Health,1,25
2020-03-15,Idaho Office Of Emergency Management,1,26
2020-03-15,Lander City Council,1,27
2020-03-15,Lander City Police Department,1,28
2020-03-15,Lander Community,1,29
2020-03-15,Sagewest Health Care In Lander,1,30
2020-03-15,Senate Senators,1,31
2020-03-15,Showboat Retirement Center,1,32
2020-03-15,Teton Valley Health On,1,33
2020-03-15,University Of New York At Brockport,1,34
2020-03-15,Business Alliance,2,4
2020-03-15,Department Of Tourism,2,5
2020-03-15,Eastern Idaho Public Health District,2,6
2020-03-15,Idaho Public Health,2,7
2020-03-15,Occidental Petroleum,2,8
2020-03-15,Senate Appropriations Committee,2,9
2020-03-15,Eastern Idaho Public Health,3,1
2020-03-15,Teton Valley Health,3,2
2020-03-15,United States,3,3
2020-03-16,Catholic Charities,1,1
2020-03-16,Census Bureau,1,2
2020-03-16,Central District Health Department,1,3
2020-03-16,Central Public Health,1,4
2020-03-16,Central Public Health District In Twin Falls,1,5
2020-03-16,Department Of Health,1,6
2020-03-16,Eastern Idaho Public Health,1,7
2020-03-16,Idaho Community Foundation,1,8
2020-03-16,Idaho Department Of Health,1,9
2020-03-17,Central Wyoming College,1,7
2020-03-17,Credit Wikimedia Commons National Institutes Of Health,1,8
2020-03-17,Department Of Health,1,9
2020-03-17,Diocese Of Cheyenne,1,10
2020-03-17,Lander Medical Center,1,11
2020-03-17,Twitter,1,12
2020-03-17,Wind River Hotel,1,13
2020-03-17,Health Department,2,4
2020-03-17,Jackson Town Council,2,5
2020-03-17,Sagewest Health Care In Lander,2,6
2020-03-17,Public Health Laboratory,3,1
2020-03-17,Showboat Retirement Center,3,2
2020-03-17,United States,3,3
2020-03-18,Centers For Disease,1,3
2020-03-18,Gibson,1,4
2020-03-18,Google,1,5
2020-03-18,Idaho Potato Commission,1,6
2020-03-18,Showboat Retirement Center,1,7
2020-03-18,Health Department,2,2
2020-03-18,Department Of Health,3,1
2020-03-19,Catholic College,1,21
2020-03-19,Central District Health Department,1,22
2020-03-19,Central Public Health,1,23
2020-03-19,Central Public Health District In Twin Falls,1,24
2020-03-19,City Council,1,25
2020-03-19,Cody Regional Health,1,26
2020-03-19,Community Center,1,27
2020-03-19,Convention Center,1,28
2020-03-19,Crediting The City Council,1,29
2020-03-19,Eastern Idaho Public Health,1,30
2020-03-19,Emergency Management Agency,1,31
2020-03-19,Health Departments,1,32
2020-03-19,Idaho Department Of Health,1,33
2020-03-19,John Health,1,34
2020-03-19,Lander Community,1,35
2020-03-19,Lander Medical Center On,1,36
2020-03-19,National Outdoor Leadership School,1,37
2020-03-19,Public Health Laboratory,1,38
2020-03-19,Stitches Acute Care Center,1,39
2020-03-19,Teton District Health,1,40
2020-03-19,Tribune Content Agency,1,41
2020-03-19,Twitter,1,42
2020-03-19,World Health Organization,1,43
2020-03-19,Centers For Disease,2,18
2020-03-19,Facebook,2,19
2020-03-19,United States,2,20
2020-03-19,Health Department,3,17
2020-03-19,American Finance Officers Association,4,6
2020-03-19,Business Councils,4,7
2020-03-19,Coronavirus Task,4,8
2020-03-19,Governor Gordon Administration,4,9
2020-03-19,Indian Health Service Response,4,10
2020-03-19,Indian School District,4,11
2020-03-19,Morning Star Care Center,4,12
2020-03-19,National Congress,4,13
2020-03-19,National Indian Health Board,4,14
2020-03-19,Northern Arapaho Business Council,4,15
2020-03-19,Trump Administration,4,16
2020-03-19,Showboat Retirement Center,5,5
