date,organization,count,rn
2020-03-31,Country Club Of Alabama,1,1
2020-03-31,National Weather Service,1,2
2020-07-08,Baptist Center,1,1
2020-07-08,Brite Divinity School,1,2
2020-07-08,Centers For Disease,1,3
2020-07-08,Mercer University,1,4
2020-07-08,Morehouse College Martin Luther King Jr,1,5
2020-07-08,Twitter,1,6
2020-07-08,United States,1,7
2020-07-09,Baptist Center,1,1
2020-07-09,Brite Divinity School,1,2
2020-07-09,Centers For Disease,1,3
2020-07-09,Mercer University,1,4
2020-07-09,Morehouse College Martin Luther King Jr,1,5
2020-07-09,Twitter,1,6
