date,organization,count,rn
2020-04-07,Texas Medical Center,1,1
2020-04-07,Whataburger,1,2
2020-04-09,Metro Health,1,1
2020-04-09,Michaels,1,2
2020-04-09,Texas Vape Stores,1,3
2020-04-12,Metro Health,1,1
2020-04-12,Michaels,1,2
2020-04-12,Texas Vape Stores,1,3
2020-04-15,Metro Health,1,1
2020-04-15,Michaels,1,2
2020-04-15,Texas Vape Stores,1,3
2020-04-16,Sheriff Department,1,1
2020-04-21,Facebook,1,1
2020-05-14,Nan,1,1
2020-06-10,Ut Southwestern Medical Center,1,9
2020-06-10,Texas National Guard,2,8
2020-06-10,Department Of State Health Services,3,1
2020-06-10,Division Of Emergency Management,3,2
2020-06-10,Johns Hopkins University,3,3
2020-06-10,National Guard,3,4
2020-06-10,Quest Diagnostics,3,5
2020-06-10,Texas Division Of Emergency Management,3,6
2020-06-10,Ut Medical Branch,3,7
2020-06-11,Department Of State Health Services,1,1
2020-06-11,Division Of Emergency Management,1,2
2020-06-11,Johns Hopkins University,1,3
2020-06-11,National Guard,1,4
2020-06-11,Quest Diagnostics,1,5
2020-06-11,Texas Division Of Emergency Management,1,6
2020-06-11,Texas National Guard,1,7
2020-06-11,Ut Medical Branch,1,8
2020-06-14,Department Of State Health Services,1,1
2020-06-14,Division Of Emergency Management,1,2
2020-06-14,Johns Hopkins University,1,3
2020-06-14,National Guard,1,4
2020-06-14,Quest Diagnostics,1,5
2020-06-14,Texas Division Of Emergency Management,1,6
2020-06-14,Texas National Guard,1,7
2020-06-14,Ut Medical Branch,1,8
2020-06-15,Department Of State Health Services,1,1
2020-06-15,Division Of Emergency Management,1,2
2020-06-15,Johns Hopkins University,1,3
2020-06-15,National Guard,1,4
2020-06-15,Quest Diagnostics,1,5
2020-06-15,Texas Division Of Emergency Management,1,6
2020-06-15,Texas National Guard,1,7
2020-06-15,Ut Medical Branch,1,8
2020-06-23,Walmart,1,1
2020-07-09,Columbia Southern University In Orange Beach,1,1
2020-07-09,Governor Office Of Homeland Security,1,2
2020-07-09,Husson University,1,3
2020-07-09,Louisiana State Police,1,4
2020-07-09,Louisiana State Police Emergency Operation Center,1,5
2020-07-09,Louisiana State University At Alexandria,1,6
2020-07-09,Northwestern State University,1,7
2020-07-09,Office Of State Examiner,1,8
2020-07-09,Office Of State Examiner For Fire,1,9
2020-07-09,Police Civil Service,1,10
2020-07-09,Police Civil Service Board,1,11
2020-07-09,University Of Louisiana At Lafayette,1,12
2020-07-09,University Of Southwestern Louisiana,1,13
