date,organization,count,rn
2020-04-23,Booth Lodge,1,5
2020-04-23,Chinese Communist Party,1,6
2020-04-23,Cox Health In Springfield,1,7
2020-04-23,Department Of Elementary,1,8
2020-04-23,Google,1,9
2020-04-23,Hastings College Of The Law,1,10
2020-04-23,Health Department,1,11
2020-04-23,Johns Hopkins University Center,1,12
2020-04-23,Kansas Department Of Corrections,1,13
2020-04-23,Kansas Health Department,1,14
2020-04-23,Missouri Democratic Party,1,15
2020-04-23,Missouri Hospital Association,1,16
2020-04-23,Missouri National Guard,1,17
2020-04-23,Salvation Army,1,18
2020-04-23,School Bus Tech Redux,1,19
2020-04-23,Truman Medical Center,1,20
2020-04-23,University Of California,1,21
2020-04-23,Kansas Department Of Health,2,1
2020-04-23,Missouri Department Of Health,2,2
2020-04-23,Overland Park Fire Department,2,3
2020-04-23,Senior Services,2,4
2020-04-25,Board Of Trustees,1,1
2020-04-25,Chinese Communist Party,1,2
2020-04-25,Department Of Corrections,1,3
2020-04-25,Department Of Elementary,1,4
2020-04-25,Government Public Health Department In Wyandotte,1,5
2020-04-25,Hastings College Of The Law,1,6
2020-04-25,Johns Hopkins University Center,1,7
2020-04-25,Kansas Department Of Corrections,1,8
2020-04-25,Kansas Department Of Health,1,9
2020-04-25,Kansas Department Of Labor,1,10
2020-04-25,Kansas Health Department,1,11
2020-04-25,Missouri Democratic Party,1,12
2020-04-25,Missouri Department Of Corrections,1,13
2020-04-25,Missouri Department Of Health,1,14
2020-04-25,Missouri National Guard,1,15
2020-04-25,Overland Park Fire Department,1,16
2020-04-25,Senior Services,1,17
2020-04-25,Southeast Correctional Center,1,18
2020-04-25,University Of California,1,19
2020-04-25,Walmart,1,20
2020-04-25,William Jewell College,1,21
2020-04-26,Board Of Trustees,1,1
2020-04-26,Chinese Communist Party,1,2
2020-04-26,Department Of Corrections,1,3
2020-04-26,Department Of Elementary,1,4
2020-04-26,Government Public Health Department In Wyandotte,1,5
2020-04-26,Hastings College Of The Law,1,6
2020-04-26,Johns Hopkins University Center,1,7
2020-04-26,Kansas Department Of Corrections,1,8
2020-04-26,Kansas Department Of Health,1,9
2020-04-26,Kansas Department Of Labor,1,10
2020-04-26,Kansas Health Department,1,11
2020-04-26,Missouri Democratic Party,1,12
2020-04-26,Missouri Department Of Corrections,1,13
2020-04-26,Missouri Department Of Health,1,14
2020-04-26,Missouri National Guard,1,15
2020-04-26,Overland Park Fire Department,1,16
2020-04-26,Senior Services,1,17
2020-04-26,Southeast Correctional Center,1,18
2020-04-26,University Of California,1,19
2020-04-26,Walmart,1,20
2020-04-26,William Jewell College,1,21
2020-04-29,Board Of Trustees,1,1
2020-04-29,Chinese Communist Party,1,2
2020-04-29,Department Of Corrections,1,3
2020-04-29,Department Of Elementary,1,4
2020-04-29,Government Public Health Department In Wyandotte,1,5
2020-04-29,Hastings College Of The Law,1,6
2020-04-29,Johns Hopkins University Center,1,7
2020-04-29,Kansas Department Of Corrections,1,8
2020-04-29,Kansas Department Of Health,1,9
2020-04-29,Kansas Department Of Labor,1,10
2020-04-29,Kansas Health Department,1,11
2020-04-29,Missouri Democratic Party,1,12
2020-04-29,Missouri Department Of Corrections,1,13
2020-04-29,Missouri Department Of Health,1,14
2020-04-29,Missouri National Guard,1,15
2020-04-29,Overland Park Fire Department,1,16
2020-04-29,Senior Services,1,17
2020-04-29,Southeast Correctional Center,1,18
2020-04-29,University Of California,1,19
2020-04-29,Walmart,1,20
2020-04-29,William Jewell College,1,21
2020-07-09,Department Of Health,1,1
2020-07-09,Facebook,1,2
2020-07-09,Human Services,1,3
2020-07-09,Kansas Association Of Local Health Departments,1,4
2020-07-09,Kansas State University,1,5
2020-07-09,Tribune Content Agency,1,6
2020-07-09,Walmart,1,7
2020-07-09,Winfield City Commission,1,8
