date,organization,count,rn
2020-03-12,Arizona State Public Health Library,1,20
2020-03-12,Coconino Community College,1,21
2020-03-12,Facebook,1,22
2020-03-12,Northern Arizona University,1,23
2020-03-12,Pima School District,1,24
2020-03-12,Albertsons,3,2
2020-03-12,Arizona Department Of Health Services,3,3
2020-03-12,Arizona Health Care Association,3,4
2020-03-12,Arizona State University,3,5
2020-03-12,Centers For Disease,3,6
2020-03-12,First Southern Baptist Church,3,7
2020-03-12,Haven Health,3,8
2020-03-12,Mount Graham Regional Medical Center,3,9
2020-03-12,Northern Cochise Community Hospital,3,10
2020-03-12,Northern Cochise Community Hospital In Willcox,3,11
2020-03-12,Officials At Eastern Arizona College,3,12
2020-03-12,Pima Unified School District,3,13
2020-03-12,Safeway,3,14
2020-03-12,Thatcher School Superintendent Matthew Petersen,3,15
2020-03-12,University Of Arizona,3,16
2020-03-12,Walmart,3,17
2020-03-12,Willcox School District,3,18
2020-03-12,World Health Organization,3,19
2020-03-12,United States,4,1
2020-03-13,Albertsons,1,1
2020-03-13,Arizona Department Of Health Services,1,2
2020-03-13,Arizona Health Care Association,1,3
2020-03-13,Arizona State University,1,4
2020-03-13,Centers For Disease,1,5
2020-03-13,Facebook,1,6
2020-03-13,First Southern Baptist Church,1,7
2020-03-13,Haven Health,1,8
2020-03-13,Mount Graham Regional Medical Center,1,9
2020-03-13,Northern Cochise Community Hospital,1,10
2020-03-13,Northern Cochise Community Hospital In Willcox,1,11
2020-03-13,Officials At Eastern Arizona College,1,12
2020-03-13,Pima School District,1,13
2020-03-13,Pima Unified School District,1,14
2020-03-13,Safeway,1,15
2020-03-13,Thatcher School Superintendent Matthew Petersen,1,16
2020-03-13,United States,1,17
2020-03-13,University Of Arizona,1,18
2020-03-13,Walmart,1,19
2020-03-13,Willcox School District,1,20
2020-03-13,World Health Organization,1,21
2020-03-15,Pima Elementary School In Graham,1,1
2020-03-15,Pima Junior High School,1,2
2020-03-15,Pima Unified School District,1,3
2020-03-15,Superintendent Of Pima Unified School District,1,4
2020-03-16,Associated Press,1,18
2020-03-16,Carolina Public,1,19
2020-03-16,Cnn,1,20
2020-03-16,Facebook,1,21
2020-03-16,Forest Service,1,22
2020-03-16,Frank Taylor Carolina Public,1,23
2020-03-16,National Environmental Policy,1,24
2020-03-16,National Environmental Protection,1,25
2020-03-16,National Forests,1,26
2020-03-16,National Forests Issue,1,27
2020-03-16,Nc Sierra Club,1,28
2020-03-16,Pima School,1,29
2020-03-16,Plan Revision Team,1,30
2020-03-16,Safeway,1,31
2020-03-16,Sierra Club,1,32
2020-03-16,Southern Environmental Law Center,1,33
2020-03-16,Stakeholders Forum,1,34
2020-03-16,Walmart,1,35
2020-03-16,Wildlife Conservation Council,1,36
2020-03-16,Arizona Department Of Health Services,2,13
2020-03-16,Human Services,2,14
2020-03-16,Twitter,2,15
2020-03-16,United States,2,16
2020-03-16,World Health Organization,2,17
2020-03-16,Bowie School Superintendent Wendy Conger,3,10
2020-03-16,Health Department,3,11
2020-03-16,Willcox Food Bank,3,12
2020-03-16,Arizona State Lab,4,3
2020-03-16,Department Of Education,4,4
2020-03-16,Governor Office,4,5
2020-03-16,National Institute Of Allergy,4,6
2020-03-16,New York Times,4,7
2020-03-16,Pima Unified School District Superintendent Sean Rickert,4,8
2020-03-16,White House,4,9
2020-03-16,Centers For Disease,6,2
2020-03-16,Arizona Education Association,7,1
2020-03-17,Arizona Education Association,1,1
2020-03-17,Arizona State Lab,1,2
2020-03-17,Centers For Disease,1,3
2020-03-17,Cnn,1,4
2020-03-17,Department Of Education,1,5
2020-03-17,Facebook,1,6
2020-03-17,Governor Office,1,7
2020-03-17,National Cattlemen Beef Association,1,8
2020-03-17,National Institute Of Allergy,1,9
2020-03-17,New York Times,1,10
2020-03-17,Pima School,1,11
