date,organization,count,rn
2020-04-02,Bureau Of Investigation,1,1
2020-04-02,Federal Bureau Of Investigation,1,2
2020-04-02,United States,1,3
2020-04-02,York City Police Department,1,4
2020-04-05,Facebook,1,1
2020-04-05,Health Care,1,2
2020-04-08,Atrium Health,1,1
2020-04-08,Buncombe County Commission,1,2
2020-04-08,Bureau Of Prisons,1,3
2020-04-08,Carolina Community Health Services,1,4
2020-04-08,Cone Health,1,5
2020-04-08,Department Of Employment Security,1,6
2020-04-08,Department Of Health,1,7
2020-04-08,Human Services,1,8
2020-04-08,Investigations Division,1,9
2020-04-08,Mission Hospital,1,10
2020-04-08,Nc Downtown Greensboro Inc,1,11
2020-04-08,Nc Health Care Centers To Receive,1,12
2020-04-08,Nc Police,1,13
2020-04-08,Tabor Correctional Institution,1,14
2020-04-09,Granville Vance Public Health Department,1,2
2020-04-09,Prison Industries,1,3
2020-04-09,Tabor Correctional Institution,1,4
2020-04-09,Bureau Of Prisons,2,1
2020-04-12,Bureau Of Prisons,1,1
2020-04-12,Capitol Police,1,2
2020-04-12,Human Services,1,3
2020-04-13,Bureau Of Prisons,1,1
2020-04-13,Capitol Police,1,2
2020-04-13,Human Services,1,3
2020-04-21,Nan,1,1
2020-04-28,Carolina Department Of Health,1,7
2020-04-28,Department Of Health,1,8
2020-04-28,Health Care,1,9
2020-04-28,Health Care Foundation,1,10
2020-04-28,Human Services,1,11
2020-04-28,Neuse Correctional Institution,1,12
2020-04-28,Vidant Health,1,13
2020-04-28,Blackwell,2,1
2020-04-28,City Council On,2,2
2020-04-28,Community Development Block Grant,2,3
2020-04-28,Development Department,2,4
2020-04-28,United Community Ministries,2,5
2020-04-28,Utilities Commission,2,6
2020-05-09,Bernadette Catholic Church,1,1
2020-05-09,Bureau Of Prison,1,2
2020-05-09,Bureau Of Prisons,1,3
2020-05-09,Flowers United Church,1,4
2020-05-09,Pine Grove Missionary Baptist Church,1,5
2020-05-09,Vandenberg Air Force,1,6
2020-05-10,Bernadette Catholic Church,1,1
2020-05-10,Bureau Of Prison,1,2
2020-05-10,Bureau Of Prisons,1,3
2020-05-10,Flowers United Church,1,4
2020-05-10,Pine Grove Missionary Baptist Church,1,5
2020-05-10,Vandenberg Air Force,1,6
