date,organization,count,rn
2020-02-04,Alliance Defending Freedom,1,1
2020-02-04,American Express,1,2
2020-02-04,Clark Atlanta University,1,3
2020-02-04,College Of Engineering,1,4
2020-02-04,Delta Air Lines Foundation,1,5
2020-02-04,Emory University,1,6
2020-02-04,Georgia Gwinnett College,1,7
2020-02-04,Georgia Piedmont Technical College,1,8
2020-02-04,International Chapel Restoration,1,9
2020-02-04,Kathryn Chenault To Morehouse College,1,10
2020-02-04,Office Of Experiential,1,11
2020-02-04,Senate Higher Education,1,12
2020-02-04,Southern Company,1,13
2020-02-04,Spelman College,1,14
2020-02-04,Student Center,1,15
2020-02-04,Technical College System Of Georgia,1,16
2020-02-04,University Of Georgia,1,17
2020-02-04,University System,1,18
2020-02-04,University System Of Georgia,1,19
2020-02-18,Alliance Defending Freedom,1,1
2020-02-18,Bloomberg,1,2
2020-02-18,Cnn,1,3
2020-02-18,Colorado Convention Center,1,4
2020-02-18,Democratic Party,1,5
2020-02-18,Department Of Justice,1,6
2020-02-18,Georgia Gwinnett College,1,7
2020-02-18,Google,1,8
2020-02-18,Harvard Law School,1,9
2020-02-18,Justice Department,1,10
2020-02-18,National Security Adviser Michael Flynn,1,11
2020-02-18,Nevada State Democratic Party,1,12
2020-02-18,Oxford Said Business School,1,13
2020-02-18,United States,1,14
2020-02-18,Utah Republican Party,1,15
2020-02-18,White House,1,16
2020-02-18,World Health Organization,1,17
2020-02-27,Centers For Disease,1,1
2020-02-27,Dekalb Emergency Management Agency,1,2
2020-02-27,Georgia Department Of Education,1,3
2020-02-27,Georgia Department Of Health,1,4
2020-02-27,Georgia Department Of Public Health,1,5
2020-02-27,United States,1,6
2020-02-29,Cnn,1,1
2020-02-29,Gwinnett Medical Center,1,2
2020-02-29,Msnbc,1,3
2020-02-29,National Institute Of Allergy,1,4
2020-02-29,United States,1,5
2020-03-03,American Chemistry Council,1,1
2020-03-03,Assembly On,1,2
2020-03-03,Environment Committee,1,3
2020-03-03,Environmental Protection Division,1,4
2020-03-03,Georgia Health News,1,5
2020-03-03,Southern Environmental Law Center,1,6
2020-03-03,United States,1,7
2020-03-07,Centers For Disease,1,21
2020-03-07,Cherokee Medical Center,1,22
2020-03-07,Costco,1,23
2020-03-07,Floyd Medical Center,1,24
2020-03-07,Polk Medical Center,1,25
2020-03-07,Preparedness Task,1,26
2020-03-07,Redmond Regional Medical Center,1,27
2020-03-07,Governor Kemp Office,2,20
2020-03-07,Nan,3,18
2020-03-07,Warnermedia Company,3,19
2020-03-07,Arizona Department Of Public Health,6,3
2020-03-07,Cnn,6,4
2020-03-07,Department Of Health,6,5
2020-03-07,Evergreen Health,6,6
2020-03-07,Harborview Medical Center,6,7
2020-03-07,Illinois Department Of Public Health,6,8
2020-03-07,Madera Community Hospital,6,9
2020-03-07,Oregon Health Authority,6,10
2020-03-07,Rush University Medical Center,6,11
2020-03-07,Southern Nevada Health District,6,12
2020-03-07,Texas Department Of State Health Services,6,13
2020-03-07,United States,6,14
2020-03-07,University Of Nebraska Medical Center,6,15
2020-03-07,Utah Department Of Health,6,16
2020-03-07,Wisconsin Department Of Health Services,6,17
2020-03-07,Department Of Public Health,7,2
2020-03-07,Georgia Department Of Public Health,10,1
2020-03-08,Cherokee Medical Center,1,20
2020-03-08,Costco,1,21
2020-03-08,District Health,1,22
2020-03-08,Floyd Medical Center,1,23
2020-03-08,Governor Kemp Office,1,24
2020-03-08,Polk Medical Center,1,25
2020-03-08,Preparedness Task,1,26
2020-03-08,Redmond Regional Medical Center,1,27
2020-03-08,Arizona Department Of Public Health,2,4
2020-03-08,Cnn,2,5
2020-03-08,Defense Department,2,6
2020-03-08,Evergreen Health,2,7
2020-03-08,Florida Department Of Health,2,8
2020-03-08,Harborview Medical Center,2,9
2020-03-08,Illinois Department Of Public Health,2,10
2020-03-08,Madera Community Hospital,2,11
2020-03-08,Oregon Health Authority,2,12
2020-03-08,Rush University Medical Center,2,13
2020-03-08,Southern Nevada Health District,2,14
2020-03-08,Texas Department Of State Health Services,2,15
2020-03-08,United States,2,16
2020-03-08,University Of Nebraska Medical Center,2,17
2020-03-08,Utah Department Of Health,2,18
2020-03-08,Wisconsin Department Of Health Services,2,19
2020-03-08,Department Of Health,3,2
2020-03-08,Department Of Public Health,3,3
2020-03-08,Georgia Department Of Public Health,4,1
2020-03-09,Bear Creek Middle School,1,2
2020-03-09,Centers For Disease,1,3
2020-03-09,Creekside High School,1,4
2020-03-09,Department Of Public Safety,1,5
2020-03-09,District Health,1,6
2020-03-09,Dobbins Air Reserve,1,7
2020-03-09,Dobbins Air Reserve Base In Marietta,1,8
2020-03-09,Douglas Public Health,1,9
2020-03-09,Floyd Medical Center,1,10
2020-03-09,Georgia Army National Guard,1,11
2020-03-09,Lackland Air Force,1,12
2020-03-09,Navy Operational Support Center,1,13
2020-03-09,Redmond Regional Medical Center,1,14
2020-03-09,United States,1,15
2020-03-09,Woodland Middle School,1,16
2020-03-09,White House,2,1
2020-03-10,Dobbins Air Force,1,1
2020-03-11,Dobbins Air,1,1
2020-03-11,Dobbins Air Force,1,2
2020-03-11,Nan,1,3
2020-03-12,Board Of Health,1,2
2020-03-12,Brenau University,1,3
2020-03-12,Christ Place Church,1,4
2020-03-12,Compass Prep Academy,1,5
2020-03-12,Creekside High School,1,6
2020-03-12,Dekalb Board Of Health,1,7
2020-03-12,Dekalb Emergency Management Agency,1,8
2020-03-12,Department Of Health,1,9
2020-03-12,Episcopal Diocese Of Atlanta,1,10
2020-03-12,Flowery Branch,1,11
2020-03-12,Gainesville First Baptist Church,1,12
2020-03-12,Gainesville First United Methodist Church,1,13
2020-03-12,Georgia Convention Center,1,14
2020-03-12,Georgia Department Of Health,1,15
