date,organization,count,rn
2020-02-15,Nan,1,1
2020-02-23,Oil Gas,1,1
2020-02-23,Texas India Forum On,1,2
2020-02-23,United States,1,3
2020-03-02,District Court Judges,1,1
2020-03-02,Government Center,1,2
2020-03-02,Health Departments,1,3
2020-03-02,Texas Department Of State Health Services,1,4
2020-03-02,United States,1,5
2020-03-03,Government Center,1,1
2020-03-03,Texas Department Of State Health Services,1,2
2020-03-06,Texas State University,1,1
2020-03-06,World Health Organization,1,2
2020-03-09,Austin Public Health,1,1
2020-03-09,Lamontagne Center,1,2
2020-03-09,University Of Texas At Austin,1,3
2020-03-10,University Of Texas,1,2
2020-03-10,Texas State University,2,1
2020-03-12,Associated Press,1,1
2020-03-12,Baylor University,1,2
2020-03-12,National Archives Image,1,3
2020-03-12,United States,1,4
2020-03-12,University Of Texas,1,5
2020-03-14,Austin Public Health,1,5
2020-03-14,Care Center,1,6
2020-03-14,Central Market,1,7
2020-03-14,Cities Health District,1,8
2020-03-14,Department Of State Health Services,1,9
2020-03-14,Health Services,1,10
2020-03-14,Holy Spirit Episcopal Church,1,11
2020-03-14,Human Services,1,12
2020-03-14,Human Services Commission,1,13
2020-03-14,International Committee On Taxonomy Of Viruses,1,14
2020-03-14,Life Care Center,1,15
2020-03-14,Nan,1,16
2020-03-14,Rehabilitation Center,1,17
2020-03-14,Texas Department Of State Health,1,18
2020-03-14,Texas Health,1,19
2020-03-14,United States Today Network,1,20
2020-03-14,United States,2,3
2020-03-14,World Health Organization,2,4
2020-03-14,Texas Department Of State Health Services,3,2
2020-03-14,Centers For Disease,4,1
2020-03-15,Centers For Disease,1,3
2020-03-15,Department Of State Health Services,1,4
2020-03-15,International Committee On Taxonomy Of Viruses,1,5
2020-03-15,Buda Public Library,2,2
2020-03-15,Nan,3,1
2020-03-16,Austin City Council,1,8
2020-03-16,Austin Public Health,1,9
2020-03-16,Human Services,1,10
2020-03-16,Nan,1,11
2020-03-16,Texas Department Of Health,1,12
2020-03-16,University Of Texas,1,13
2020-03-16,Buda Public Library,2,2
2020-03-16,Buda Public Library Electronic Resources,2,3
2020-03-16,Other Board Commission Meetings,2,4
2020-03-16,Stream City Council Meetings,2,5
2020-03-16,Texas Department Of State Health Services,2,6
2020-03-16,World Health Organization,2,7
2020-03-16,Centers For Disease,3,1
2020-03-17,Nan,2,1
2020-03-18,Centers For Disease,1,1
2020-03-18,Centers For Disease Control,1,2
2020-03-18,Facebook,1,3
2020-03-18,Nan,1,4
2020-03-18,White House,1,5
2020-03-18,World Health Organization,1,6
2020-03-19,Austin Public Health,1,1
2020-03-19,Department Of Health,1,2
2020-03-19,Human Services,1,3
2020-03-19,Nan,1,4
2020-03-19,Texas Department Of State Health Services,1,5
2020-03-19,Tobias Elementary School,1,6
2020-03-19,Tobias Elementary School In Kyle On,1,7
2020-03-19,United States,1,8
2020-03-19,World Health Organization,1,9
2020-03-20,Austin Public Health,1,1
2020-03-20,Department Of Health,1,2
2020-03-20,Human Services,1,3
2020-03-20,Nan,1,4
2020-03-22,San Marcos High School,2,2
2020-03-22,World Health Organization,2,3
2020-03-22,Nan,3,1
2020-03-23,Austin Police Department,1,3
2020-03-23,Corpus Christi Police Department,1,4
2020-03-23,Houston Police Department,1,5
2020-03-23,Twitter,1,6
2020-03-23,University Of Texas At Austin Police Department,1,7
2020-03-23,Facebook,2,1
2020-03-23,World Health Organization,2,2
2020-03-24,Austin Police,1,1
2020-03-24,Austin Public Health,1,2
2020-03-24,Austin Transportation Department,1,3
2020-03-24,Catholic Charities,1,4
2020-03-24,Central Texas Food Bank,1,5
2020-03-24,Central Texas Medical Center,1,6
2020-03-24,Communitycare Health Centers In Austin,1,7
2020-03-24,Del Valle Health Center,1,8
2020-03-24,Department Of State Health Services,1,9
2020-03-24,Dupont,1,10
2020-03-24,Manor Health Center,1,11
2020-03-24,Nan,1,12
2020-03-24,Texas Department Of Public Safety,1,13
2020-03-24,Texas Department Of Transportation,1,14
2020-03-24,Texas State Senate District,1,15
2020-03-24,Texas Transportation Commission,1,16
2020-03-24,United States,1,17
2020-03-26,Nan,2,1
2020-03-26,Texas Regional Advisory Council,2,2
2020-03-26,Twitter,2,3
2020-03-27,Community Impact Newspaper,1,1
2020-03-27,District Court,1,2
2020-03-27,Michigan Press Association,1,3
2020-03-27,Nan,1,4
2020-03-28,Austin Ed Fund,1,2
2020-03-28,Austin Ed Fund Board,1,3
2020-03-28,Austin Public Health,1,4
2020-03-28,Chain Strike,1,5
2020-03-28,Community Supervision,1,6
2020-03-28,Corrections Department Of The Caldwell,1,7
2020-03-28,Crisis Support Fund,1,8
2020-03-28,Dell Seton Medical Center,1,9
2020-03-28,District Court,1,10
2020-03-28,Health Authority Dr,1,11
2020-03-28,Kids Foundation,1,12
2020-03-28,Meadows Mental Health Policy Institute,1,13
2020-03-28,National Guard Task Force Brigades,1,14
2020-03-28,Parsley Energy,1,15
2020-03-28,Recreation Department,1,16
2020-03-28,Republican Party,1,17
2020-03-28,Round Rock Independent School District,1,18
2020-03-28,Salvation Army,1,19
2020-03-28,Salvation Army Downtown Austin,1,20
2020-03-28,Texas Commission On Jail Standards,1,21
2020-03-28,Texas State University,1,22
2020-03-28,Texas Workforce Commission,1,23
2020-03-28,University Of Texas,2,1
2020-03-29,Nan,1,1
2020-03-30,Austin Independent School District,1,1
2020-03-30,Austin Public Health,1,2
2020-03-30,Centers For Disease,1,3
2020-03-30,Commissioners Court,1,4
2020-03-30,Covid Task,1,5
2020-03-30,Human Services Commission,1,6
2020-03-30,Kay Bailey Hutchison Convention Center,1,7
2020-03-30,Nan,1,8
2020-03-30,Task Force Initiative,1,9
2020-03-30,Texas Health,1,10
2020-03-31,Austin Independent School District,1,2
2020-03-31,Austin Police Department,1,3
2020-03-31,Austin Public Health,1,4
