date,organization,count,rn
2020-02-04,Commerce Department,1,1
2020-02-04,Institute For Supply Management,1,2
2020-02-04,Reuters,1,3
2020-02-04,Thomson Reuters Trust Principles,1,4
2020-02-04,United States,1,5
2020-02-05,Chinese Communist Party,1,1
2020-02-05,Human Services,1,2
2020-02-05,White House,1,3
2020-02-13,Nc Division Of Public Health,1,1
2020-02-13,Tyson Foods,1,2
2020-02-21,Reuters,1,1
2020-02-21,Thomson Reuters Trust Principles,1,2
2020-02-27,Nan,1,1
2020-02-29,Henderson Fiscal Court,3,1
2020-02-29,Henderson Rotary Club,3,2
2020-02-29,Holy Name Of Jesus Catholic Church,3,3
2020-03-02,Federal Reserve,1,1
2020-03-02,Institute For Supply Management,1,2
2020-03-02,Reuters,1,3
2020-03-02,Thomson Reuters Trust Principles,1,4
2020-03-02,United States,1,5
2020-03-03,Centers For Disease,1,1
2020-03-03,Department Of Public Health,1,2
2020-03-03,Health Care,1,3
2020-03-03,Human Services,1,4
2020-03-03,International Information,1,5
2020-03-03,Laboratory Of Public Health,1,6
2020-03-05,Centers For Disease,1,2
2020-03-05,Community Conversation,1,3
2020-03-05,Epi Team,1,4
2020-03-05,Epidemiology Team,1,5
2020-03-05,Green River Area Health Department,1,6
2020-03-05,Green River District Health Department,1,7
2020-03-05,Green River Health Department,1,8
2020-03-05,Health Information,1,9
2020-03-05,Henderson Community College,1,10
2020-03-05,Information Center,1,11
2020-03-05,Kentucky Center,1,12
2020-03-05,Methodist Health,1,13
2020-03-05,Preston Arts Center,1,14
2020-03-05,Public Health Preparedness,1,15
2020-03-05,United States,1,16
2020-03-05,Emergency Services,2,1
2020-03-06,Airborne Division,1,1
2020-03-06,Army Brig,1,2
2020-03-06,Camp Lejeune Marine Corps Base In Jacksonville,1,3
2020-03-06,Centers For Disease,1,4
2020-03-06,Department Of Defense,1,5
2020-03-06,Department Of Public Health,1,6
2020-03-06,Human Services,1,7
2020-03-06,National Institutes Of Health,1,8
2020-03-06,Officials At Seymour Johnson Air Force,1,9
2020-03-06,Pope Army Airfield,1,10
2020-03-06,Walter Reed Army Institute Of Research,1,11
2020-03-06,Walter Reed Medical Center,1,12
2020-03-06,Womack Army Medical Center,1,13
2020-03-07,Warnermedia Company,1,18
2020-03-07,Arizona Department Of Public Health,2,1
2020-03-07,Cnn,2,2
2020-03-07,Department Of Health,2,3
2020-03-07,Department Of Public Health,2,4
2020-03-07,Evergreen Health,2,5
2020-03-07,Georgia Department Of Public Health,2,6
2020-03-07,Harborview Medical Center,2,7
2020-03-07,Illinois Department Of Public Health,2,8
2020-03-07,Madera Community Hospital,2,9
2020-03-07,Oregon Health Authority,2,10
2020-03-07,Rush University Medical Center,2,11
2020-03-07,Southern Nevada Health District,2,12
2020-03-07,Texas Department Of State Health Services,2,13
2020-03-07,United States,2,14
2020-03-07,University Of Nebraska Medical Center,2,15
2020-03-07,Utah Department Of Health,2,16
