date,organization,count,rn
2020-03-03,Centers For Disease,1,1
2020-03-03,Jersey Department Of Health,1,2
2020-03-03,Rider University,1,3
2020-03-06,Centers For Disease,1,1
2020-03-06,Jersey Department Of Health,1,2
2020-03-06,United States,1,3
2020-03-06,University Office Of Emergency Management,1,4
2020-03-13,Centers For Disease,1,1
2020-03-13,Hamilton High School,1,2
2020-03-13,Hunterdon County Administration Building In Flemington,1,3
2020-03-13,Hunterdon County Division Of Parks,1,4
2020-03-13,Hunterdon Healthcare Raritan Urgent Care Center,1,5
2020-03-13,Hunterdon Healthcare Raritan Urgent Care Center On,1,6
2020-03-13,Jersey Department Of Education,1,7
2020-03-13,Jersey Division Of Consumer Affairs,1,8
2020-03-13,Lake Office,1,9
2020-03-13,Somerset Department Of Health,1,10
2020-03-14,Behavioral Health,2,1
2020-03-14,Centers For Disease,2,2
2020-03-14,Doctor Office Building,2,3
2020-03-14,Emergency Department,2,4
2020-03-14,Health Department,2,5
2020-03-14,Hunterdon Health,2,6
2020-03-14,Hunterdon Medical Center,2,7
2020-03-14,Justice Center,2,8
2020-03-14,Office Of Emergency Management,2,9
2020-03-14,Senior Center,2,10
2020-03-14,Wellness Centers,2,11
2020-03-15,Centers For Disease,1,1
2020-03-15,Department Of Health,1,2
2020-03-15,United States,1,3
2020-03-16,Centers For Disease,1,1
2020-03-16,Department Of Health,1,2
2020-03-16,Health Department,1,3
2020-03-16,Hunterdon Medical Center,1,4
2020-03-16,Jersey Department Of Health,1,5
2020-03-17,Board Of Social Services,1,2
2020-03-17,Career Training Service Centers In Flemington,1,3
2020-03-17,Department Of Health,1,4
2020-03-17,Department Of Human Services,1,5
2020-03-17,Division Of Parks Recreation,1,6
2020-03-17,Hamilton Health Department,1,7
2020-03-17,Health Department,1,8
2020-03-17,Hunterdon Medical Center,1,9
2020-03-17,Lawrence Senior Center,1,10
2020-03-17,Lawrence Senior Center On,1,11
2020-03-17,Lawrence Township Police Court,1,12
2020-03-17,Lawrence Township Police Department,1,13
2020-03-17,Lawrence Township Police Departtment,1,14
2020-03-17,Mcdade Administration,1,15
2020-03-17,Mercer Elementary School,1,16
2020-03-17,Office Of Emergency Management,1,17
2020-03-17,Police Department,1,18
2020-03-17,Princeton University,1,19
2020-03-17,Senior Center,1,20
2020-03-17,Strategic National,1,21
2020-03-17,United States,1,22
2020-03-17,Facebook,2,1
2020-03-18,Arts Center,1,2
2020-03-18,College Of New Jersey,1,3
2020-03-18,Facebook,1,4
2020-03-18,Flemington Elks Lodge,1,5
2020-03-18,Hackensack University Medical Center,1,6
2020-03-18,Jersey Blood Services,1,7
2020-03-18,Luke University,1,8
2020-03-18,Raritan Valley Community College In Branchburg,1,9
2020-03-18,United States,1,10
2020-03-18,University Of Roma Tre,1,11
2020-03-18,Francis Medical Center,2,1
2020-03-19,Arts Center,1,1
2020-03-19,Centers For Disease,1,2
2020-03-19,College Of New Jersey,1,3
2020-03-19,College Of New Jersey Campus Town Circle,1,4
2020-03-19,Hopewell Valley Regional School District,1,5
2020-03-19,Jersey Department Of Health On,1,6
2020-03-19,Jersey Health,1,7
2020-03-19,Mercer Elementary School,1,8
2020-03-19,Montgomery Township Health Department,1,9
2020-03-19,Nan,1,10
2020-03-19,Timberlane Middle School,1,11
2020-03-19,Timerberlane Middle School,1,12
2020-03-19,United States,1,13
2020-03-19,White House,1,14
2020-03-20,College Of New Jersey,1,1
2020-03-20,Constitutional Officers Association Of New Jersey,1,2
2020-03-20,Council On Local,1,3
2020-03-20,Democratic Committee Of Bergen,1,4
2020-03-20,Department Of Health,1,5
2020-03-20,Division Of Elections,1,6
2020-03-20,Health Department,1,7
2020-03-20,Jersey Association Of Counties,1,8
2020-03-20,Jersey Democratic State Committee,1,9
2020-03-20,Jersey Department Of Health,1,10
2020-03-20,Jersey Institute For Social Justice,1,11
2020-03-20,Jersey Republican State Committee,1,12
2020-03-20,While The Assembly,1,13
2020-03-21,Board Of Education Office,2,1
2020-03-21,Cranford Public School District,2,2
2020-03-21,Eastern Christian High School,2,3
2020-03-21,Edison School District,2,4
2020-03-21,Eleanor Van Gelder School,2,5
2020-03-21,George Washington School In Edgewater,2,6
2020-03-21,Harrison High School,2,7
2020-03-21,Heritage Middle School In Livingston,2,8
2020-03-21,Hopewell Valley Regional School District In Pennington,2,9
2020-03-21,Lindeneau Elementary School,2,10
2020-03-21,Morris,2,11
2020-03-21,Morris School District,2,12
2020-03-21,Morristown High School,2,13
2020-03-21,Morristown Jewish Center,2,14
2020-03-21,Red Bank Regional High School,2,15
2020-03-21,Riverside Elementary School,2,16
2020-03-21,Students At Freehold Township High School,2,17
2020-03-21,Timerberlane Middle School,2,18
2020-03-22,Tribune Content Agency,1,4
2020-03-22,Board Of Health,2,1
2020-03-22,Case Western Reserve University,2,2
2020-03-22,Ohio Department Of Health,2,3
2020-03-24,Community Organizer Laura Mora,1,1
2020-03-24,Coronavirus Relief Fund,1,2
2020-03-24,Department Of Homeland Security Acting Deputy,1,3
2020-03-24,Education Fund,1,4
2020-03-24,Latin American Task,1,5
2020-03-24,Migration Policy Institute,1,6
2020-03-24,Morris,1,7
2020-03-24,Robert Wood Johnson Foundation,1,8
2020-03-24,Supreme Court,1,9
2020-03-24,United States,1,10
2020-03-24,White House,1,11
2020-03-24,York City Department Of Social Services Health,1,12
2020-03-25,Association Of New Jersey,1,2
2020-03-25,Census Bureau,1,3
2020-03-25,Department Of Health On,1,4
2020-03-25,Hunterdon Art Museum,1,5
2020-03-25,Hunterdon High School,1,6
2020-03-25,Hunterdon Medical Center,1,7
2020-03-25,Namdar Realty Group,1,8
2020-03-25,United States,2,1
2020-03-26,United States,1,26
2020-03-26,Amesterdam Elementary School In Hillsborough,2,1
2020-03-26,Board Of Education Office,2,2
2020-03-26,Cranford Public School District,2,3
2020-03-26,Eastern Christian High School,2,4
2020-03-26,Edison School District,2,5
2020-03-26,Eisenhower Middle School,2,6
2020-03-26,Eleanor Van Gelder School,2,7
2020-03-26,George Washington School In Edgewater,2,8
2020-03-26,Harrison High School,2,9
2020-03-26,Heritage Middle School In Livingston,2,10
2020-03-26,Hopewell Valley Regional School District In Pennington,2,11
2020-03-26,Lincoln Roosevelt Elementary School,2,12
2020-03-26,Lindeneau Elementary School,2,13
2020-03-26,Mahwah Township School District,2,14
2020-03-26,Morris,2,15
2020-03-26,Morris School District,2,16
2020-03-26,Morristown High School,2,17
2020-03-26,Morristown Jewish Center,2,18
2020-03-26,Red Bank Regional High School,2,19
2020-03-26,Riverside Elementary School,2,20
2020-03-26,Roxbury High School,2,21
2020-03-26,Roxbury School District,2,22
2020-03-26,Shrewsbury Borough School District,2,23
2020-03-26,Students At Freehold Township High School,2,24
2020-03-26,Timerberlane Middle School,2,25
2020-03-28,Bank Arts Center,1,1
2020-03-28,Board Of Health,1,2
2020-03-28,Center On Budget,1,3
2020-03-28,Citizens Bank Park,1,4
2020-03-28,Corona Party,1,5
2020-03-28,Department Of Corrections,1,6
2020-03-28,Department Of Health,1,7
