date,organization,count,rn
2020-03-03,A Catholic High School,1,1
2020-03-03,Civil Protection Authority,1,2
2020-03-03,Cnn,1,3
2020-03-03,Joseph Academy,1,4
2020-03-03,United States,1,5
2020-03-08,Club Of Baton Rouge On,1,1
2020-03-08,Louisiana Committee,1,2
2020-03-12,Centers For Disease,1,1
2020-03-12,Governor Office,1,2
2020-03-12,Governor Press Office,1,3
2020-03-12,Health Department,1,4
2020-03-12,Louisiana Department Of Health,1,5
2020-03-12,Louisiana Office Of Public Health,1,6
2020-03-12,Loyola University,1,7
2020-03-12,Ochsner Health,1,8
2020-03-12,Ochsner West Bank,1,9
2020-03-12,Office Of Public Health,1,10
2020-03-12,Tulane University,1,11
2020-03-12,United States,1,12
2020-03-13,Centers For Disease,1,1
2020-03-13,Governor Press Office,1,2
2020-03-13,Health Department,1,3
2020-03-13,Louisiana Department Of Health,1,4
2020-03-13,Loyola University,1,5
2020-03-13,Nan,1,6
2020-03-13,Tulane University,1,7
2020-03-14,Emergency Department,1,1
2020-03-14,Iberia Medical Center,1,2
2020-03-14,Louisiana Department Of Health,1,3
2020-03-14,Office Building,1,4
2020-03-18,Asbury Methodist Church,1,1
2020-03-18,Catholic Diocese Of Lafayette On,1,2
2020-03-18,Centers For Disease,1,3
2020-03-18,Drug Administration,1,4
2020-03-18,Facebook,1,5
2020-03-18,Human Services,1,6
2020-03-18,Mother Of The Church,1,7
2020-03-18,Sacred Heart Of Jesus Church,1,8
2020-03-18,University Of Louisiana At Lafayette,1,9
2020-03-18,Youtube,1,10
2020-03-19,Centers For Disease,1,1
2020-03-19,Drug Administration,1,2
2020-03-19,Human Services,1,3
2020-03-20,Governor Office Of Homeland Security,1,4
2020-03-20,Office Of Public,1,5
2020-03-20,Department Of Health,3,1
2020-03-20,Iberia Medical Center,3,2
2020-03-20,Louisiana Department Of Health,3,3
2020-03-28,District Attorney Office,1,1
2020-03-28,Iberia Medical Center,1,2
2020-03-28,Judicial District Court,1,3
2020-03-28,Louisiana Department Of Health,1,4
2020-03-28,Louisiana Supreme Court,1,5
2020-03-28,Luling Living Center,1,6
2020-03-28,Public Defender Office,1,7
2020-03-29,Iberia Medical Center,1,1
2020-03-29,Lasalle,1,2
2020-03-29,Louisiana Department Of Health,1,3
2020-03-29,Luling Living Center,1,4
2020-03-31,Iberia Medical Center,1,1
2020-03-31,Lasalle,1,2
2020-03-31,Louisiana Department Of Health,1,3
2020-03-31,Luling Living Center,1,4
2020-04-01,Calvary Pentecostal Church,1,1
2020-04-01,Louisiana Department Of Health,1,2
2020-04-01,Louisiana State University,1,3
2020-04-01,United States,1,4
2020-04-02,Infrastructure Security Agency,1,1
2020-04-02,Louisiana Department Of Health,1,2
2020-04-03,Facebook,1,10
2020-04-03,Bureau Of Prisons,2,7
2020-04-03,Logan International Airport,2,8
2020-04-03,Treasury Department,2,9
2020-04-03,York City Emergency Medical Services Department,5,6
2020-04-03,Disney,8,4
2020-04-03,Walt Disney Company,8,5
2020-04-03,Associated Press,12,3
2020-04-03,Life Tabernacle Church,14,1
2020-04-03,White House,14,2
2020-04-05,City Council Clerk Lorrie Porrier,1,1
2020-04-05,Martin Parish Council,1,2
2020-04-14,Louisiana Department Of Health,1,1
2020-04-15,Health Standards Section,1,1
2020-04-15,Louisiana Department Of Health,1,2
2020-04-15,Nan,1,3
2020-04-16,Health Standards Section,1,1
2020-04-16,Louisiana Department Of Health,1,2
2020-04-16,Louisiana Workforce Commission,1,3
2020-04-21,Centers For Disease,1,1
2020-04-21,Louisiana Department Of Health,1,2
2020-04-21,Nan,1,3
2020-04-24,Catholic High School,1,1
2020-04-24,Facebook,1,2
2020-04-24,Morgan,1,3
2020-04-24,University Of Louisiana At Lafayette,1,4
2020-05-03,Nan,1,1
2020-05-04,Iberia Medical Center,1,1
2020-05-04,Louisiana Department Of Health,1,2
2020-05-14,Nan,1,1
2020-05-21,Associated Press,1,1
2020-05-21,Gannett Network,1,2
2020-05-21,House Labor Committee,1,3
2020-05-21,Workforce Commission,1,4
