date,organization,count,rn
2020-02-08,Disney,1,1
2020-02-08,Hotel On,1,2
2020-02-08,Jp Morgan,1,3
2020-02-08,Jp Morgan Chase Bank Gulfstream,1,4
2020-02-08,New York Post,1,5
2020-02-08,Reform Alliance,1,6
2020-02-08,Sotheby,1,7
2020-02-08,Youtube,1,8
2020-03-03,Centers For Disease,2,1
2020-03-03,Department Of Health,2,2
2020-03-03,Florida Department Of Health,2,3
2020-03-03,Health Department,2,4
2020-03-09,Centers For Disease,1,1
2020-03-09,Florida Department Of Health,1,2
2020-03-09,Health Department,1,3
2020-03-09,Holy Name Medical Center,1,4
2020-03-09,Lucie County Sheriff Office,1,5
2020-03-09,Nan,1,6
2020-03-09,Police Department,1,7
2020-03-09,United States,1,8
2020-03-12,Nan,1,1
2020-03-13,School District Of Indian River,1,7
2020-03-13,Florida Department Of Education,2,1
2020-03-13,Florida Department Of Health,2,2
2020-03-13,Health Department,2,3
2020-03-13,School Choice Expo,2,4
2020-03-13,School Choice Expo On,2,5
2020-03-13,School District Of Palm Beach,2,6
2020-03-15,Associated Press,1,1
2020-03-15,Centers For Disease,1,2
2020-03-15,Health Care,1,3
2020-03-15,National Guard,1,4
2020-03-15,United States,1,5
2020-03-15,University Of Memphis,1,6
2020-03-16,Florida Division Of Emergency Management,1,1
2020-03-16,Publix,1,2
2020-03-17,Department Of Agriculture,1,1
2020-03-17,Florida Department Of Agriculture,1,2
2020-03-17,Instagram,1,3
2020-03-17,Myrtle Beach Area Chamber,1,4
2020-03-17,Physician Executive At Tidelands Health Dr,1,5
2020-03-17,Treasure Coast High School,1,6
2020-03-17,University Of Florida,1,7
2020-03-18,Centers For Disease,1,6
2020-03-18,Citrus Elementary School,1,7
2020-03-18,Department Of Health,1,8
2020-03-18,Dodgertown Elementary School,1,9
2020-03-18,Lucie County Communications,1,10
2020-03-18,Osceola Magnet Elementary School,1,11
2020-03-18,Recreation Department,1,12
2020-03-18,Sebastian Elementary School,1,13
2020-03-18,Brewers Association,2,1
2020-03-18,Publix,2,2
2020-03-18,Sailfish Brewing Co,2,3
2020-03-18,Sebastian Middle School,2,4
2020-03-18,Vero Bech Elementary School,2,5
2020-03-20,Centers For Disease Control,1,4
2020-03-20,Cleveland Clinic Martin Health,1,5
2020-03-20,Drug Administration,1,6
2020-03-20,Edward School High School,1,7
2020-03-20,National Guard,1,8
2020-03-20,Oneblood Center,1,9
2020-03-20,Nan,2,2
2020-03-20,National Institute Of Allergy,2,3
2020-03-20,Health Healthyfla,3,1
2020-03-21,Department Of Health,1,1
2020-03-21,Facebook,1,2
2020-03-21,Florida Department Of Health,1,3
2020-03-21,Health Department,1,4
2020-03-21,Quest Diagnostics,1,5
2020-03-23,Call Center,1,3
2020-03-23,Centers For Disease,1,4
2020-03-23,Florida Supreme Court,1,5
2020-03-23,Newport Oregon Police Department,1,6
2020-03-23,Police Department,1,7
2020-03-23,United States,1,8
2020-03-23,Florida Department Of Health,2,2
2020-03-23,Facebook,3,1
2020-03-24,Al Jazeera,1,1
2020-03-24,Bloomberg,1,2
2020-03-24,Florida Department Of Corrections Delicious Legs More,1,3
2020-03-24,Instagram,1,4
2020-03-24,Nan,1,5
2020-03-24,New York Times,1,6
2020-03-24,Sheriff Office,1,7
2020-03-24,United States,1,8
2020-03-25,Florida Department Of Health,1,1
2020-03-25,Florida Greyhound Association,1,2
2020-03-25,Florida Logistics Response Center,1,3
2020-03-25,Nan,1,4
2020-03-25,Public Affairs Consultants,1,5
2020-03-25,United States,1,6
2020-03-25,White House,1,7
2020-03-26,Army Corps Of Engineers,1,4
2020-03-26,Benison Center,1,5
2020-03-26,Clorox,1,6
2020-03-26,Cracker Barrel,1,7
2020-03-26,Department Of Health,1,8
2020-03-26,Emergency Department,1,9
2020-03-26,Everglades National Park,1,10
2020-03-26,Fall Of The Railroad,1,11
2020-03-26,Florida Department Of Transportation,1,12
2020-03-26,Florida Historical Society Tebeau Prize,1,13
2020-03-26,Indian River Medical Center,1,14
2020-03-26,Key West Railroad,1,15
2020-03-26,National Guard,1,16
2020-03-26,National Guardsmen,1,17
2020-03-26,Naval Academy,1,18
2020-03-26,Navy Seals,1,19
2020-03-26,Royal Navy,1,20
2020-03-26,Starbucks,1,21
2020-03-26,United States,1,22
2020-03-26,Lee Health,2,2
2020-03-26,Regional Cancer Center,2,3
2020-03-26,Florida Department Of Health,3,1
2020-03-27,Centers For Disease,1,6
2020-03-27,Facebook,1,7
2020-03-27,Florida Agency For Health Care Administration,1,8
2020-03-27,Florida Department Of Health,1,9
2020-03-27,Health Department,1,10
2020-03-27,Lawnwood Regional Medical Center,1,11
2020-03-27,Lawnwood Regional Medical Center Heart Institute,1,12
2020-03-27,Lee Health,1,13
