date,organization,count,rn
2020-02-15,Centers For Disease,1,1
2020-02-15,Centers For Disease Control,1,2
2020-02-15,Cnn,1,3
2020-02-15,Kalitta Air,1,4
2020-02-15,United States,1,5
2020-03-18,Centers Of Disease,1,1
2020-03-18,Delivery Department,1,2
2020-03-18,Emergency Care Center,1,3
2020-03-18,Hospital Association,1,4
2020-03-18,Hurley Medical Center,1,5
2020-03-18,Michigan Health,1,6
2020-03-19,Facebook,1,1
2020-03-19,Kroger,1,2
2020-03-19,Kroger Co,1,3
2020-03-19,Meijer,1,4
2020-03-19,Sam Club,1,5
2020-04-03,Meijer,1,1
2020-04-03,Michigan Democratic Party,1,2
2020-04-03,Republican National Committee,1,3
2020-04-14,Justice Department,1,1
2020-04-14,Meijer,1,2
2020-04-14,Twitter,1,3
2020-04-14,United States,1,4
2020-04-14,White House,1,5
2020-04-16,Civil Engineer Center,1,1
2020-04-16,Department Of Defense,1,2
2020-04-16,Gibson,1,3
2020-04-16,Michigan Department Of Environment,1,4
2020-04-16,Wurtsmith Air Force,1,5
2020-04-17,Cemetery Services,1,1
2020-04-17,Kemp Funeral Home Cremation Services In Southfield,1,2
2020-04-17,Miller School,1,3
2020-04-17,Plymouth United Church,1,4
2020-04-17,United States,1,5
2020-04-17,University Prep Science Math High School,1,6
2020-04-21,District Health Department No,1,1
2020-04-21,Health Department,1,2
2020-04-21,Twitter,1,3
2020-04-21,While The Health Department,1,4
2020-04-28,Tawas Police Authority,1,1
2020-05-12,District Health Department No,1,1
2020-05-12,Health Department,1,2
2020-05-13,Catholic Human Services,1,1
2020-05-13,Catholic Human Services In Alpena,1,2
2020-05-13,District Health Department No,1,3
2020-05-13,Health Department,1,4
2020-05-25,Arlington National Cemetery,1,1
2020-05-25,Army Third Infantry Regiment,1,2
2020-05-25,Cnn,1,3
2020-05-25,Facebook,1,4
2020-05-25,Infantry Division,1,5
2020-05-25,Los Angeles National Cemetery,1,6
2020-05-25,Recreation Department,1,7
2020-05-25,Spacex,1,8
2020-05-25,United States,1,9
2020-05-25,White House,1,10
2020-05-25,Young,1,11
2020-05-28,Tribune News Service,1,13
2020-05-28,Critics Of The Air,2,1
2020-05-28,Department Of Defense,2,2
2020-05-28,Department Of Environment,2,3
2020-05-28,Environmental Working Group,2,4
2020-05-28,Human Services,2,5
2020-05-28,Michigan Department Of Environment,2,6
2020-05-28,Michigan Department Of Health,2,7
2020-05-28,Michigan Senate Fiscal Agency,2,8
2020-05-28,National Wildlife Federation,2,9
2020-05-28,Purdue University,2,10
2020-05-28,Water Resources Division,2,11
2020-05-28,Wurtsmith Air Force Base In Oscoda,2,12
2020-06-16,Meijer,1,1
2020-06-16,Walmart,1,2
2020-07-01,Nan,1,1
