date,organization,count,rn
2020-02-27,Centers For Disease,1,1
2020-02-27,Health Department,1,2
2020-02-27,Louisiana Department Of Health,1,3
2020-02-29,Branch Pilots,1,1
2020-02-29,Orleans Baton Rouge Steamship Pilots Association Capt,1,2
2020-03-04,Benilde School In Metairie,1,1
2020-03-04,Centers For Disease,1,2
2020-03-04,Digital Team,1,3
2020-03-04,George Episcopal School,1,4
2020-03-04,John Ehret High School,1,5
2020-03-04,John Ehret High School In Marrero,1,6
2020-03-04,John Ehret High School In Marrero None,1,7
2020-03-04,Louisiana Department Of Education,1,8
2020-03-04,Louisiana Office Of Public Health,1,9
2020-03-04,Rita School,1,10
2020-03-05,Benilde School In Metairie,1,1
2020-03-05,Louisiana Department Of Education,1,2
2020-03-05,Mcdonald,1,3
2020-03-05,Rita Catholic School,1,4
2020-03-09,Aetna,1,3
2020-03-09,Health Department,1,4
2020-03-09,Mississippi Department Of Health,1,5
2020-03-09,Mississippi Insurance Department,1,6
2020-03-09,Mississippi State Department Of Health,1,7
2020-03-09,Office Of Public Health,1,8
2020-03-09,Terrytown Geraldine Boudreaux Elementary School,1,9
2020-03-09,Veterans Affairs Medical Center,1,10
2020-03-09,World Health Organization,1,11
2020-03-09,Centers For Disease,2,1
2020-03-09,Louisiana Department Of Health,2,2
2020-03-10,American Society Of Plastic Surgeons,1,11
2020-03-10,Associated Press,1,12
2020-03-10,Center Square,1,13
2020-03-10,Claire,1,14
2020-03-10,Continent Oil,1,15
2020-03-10,Department Of Health,1,16
2020-03-10,Enbridge,1,17
2020-03-10,Energy Institute,1,18
2020-03-10,Exxonmobil,1,19
2020-03-10,Federal Reserve Bank,1,20
2020-03-10,Johns Hopkins Center,1,21
2020-03-10,Louisiana Health,1,22
2020-03-10,Louisiana Oil,1,23
2020-03-10,Louisiana Oil Gas Association,1,24
2020-03-10,Louisiana Public Health Hotline,1,25
2020-03-10,Tulane University,1,26
2020-03-10,United States Center,1,27
2020-03-10,Gas Association,2,6
2020-03-10,Geraldine Boudreaux Elementary School,2,7
2020-03-10,Public Health Lab,2,8
2020-03-10,Terrytown Geraldine Boudreaux Elementary School,2,9
2020-03-10,United States,2,10
2020-03-10,Centers For Disease,3,2
2020-03-10,Office Of Public Health,3,3
2020-03-10,Va Medical Center,3,4
2020-03-10,Veterans Affairs Medical Center,3,5
2020-03-10,Louisiana Department Of Health,5,1
2020-03-11,Beams Brews At Hotel Chloe,1,7
2020-03-11,City Council,1,8
2020-03-11,Enbridge,1,9
2020-03-11,Federal Reserve Bank,1,10
2020-03-11,Gas Association,1,11
2020-03-11,Health Department,1,12
2020-03-11,House Committee On Commerce,1,13
2020-03-11,Johns Hopkins Center,1,14
2020-03-11,Joseph Society,1,15
2020-03-11,Louisiana Department Of Education,1,16
2020-03-11,Louisiana Economic Development,1,17
2020-03-11,Louisiana Office Of Public Health,1,18
2020-03-11,Louisiana Oil,1,19
2020-03-11,Louisiana Veterans Affairs,1,20
2020-03-11,Loyola University New Orleans,1,21
2020-03-11,Mississippi Department Of Education,1,22
2020-03-11,Mississippi Department Of Health,1,23
2020-03-11,Mississippi State Department Of Health,1,24
2020-03-11,Morris Jeff Community School,1,25
2020-03-11,Nan,1,26
2020-03-11,Office Of Public Health,1,27
2020-03-11,Pontchartrain Center,1,28
2020-03-11,Tennessee Department Of Health,1,29
2020-03-11,Terrytown Geraldine Boudreaux Elementary School,1,30
2020-03-11,Tulane University,1,31
2020-03-11,Tulane University Energy Institute,1,32
2020-03-11,Tupelo Public School District,1,33
2020-03-11,University Of Louisiana At Lafayette,1,34
2020-03-11,Va Medical Center,1,35
2020-03-11,Veterans Affairs Medical Center,1,36
2020-03-11,World Health Organization,1,37
