date,organization,count,rn
2020-02-07,Alliance Wholesale Corp,1,1
2020-02-07,Barbara Fields Buying Office,1,2
2020-02-07,Caesars Forum,1,3
2020-02-07,Embassy Suites Las Vegas,1,4
2020-02-07,Fierce Inc,1,5
2020-02-07,International Fashion Jewelry Accessories Group,1,6
2020-02-07,Minnesota Knitting Mills Inc,1,7
2020-02-07,Rio Convention Center,1,8
2020-02-07,Sands Convention Center,1,9
2020-02-07,Silver Jeans Co,1,10
2020-02-07,Tiger Midwest Associates,1,11
2020-02-07,United States,1,12
2020-02-07,Vanwood Variety,1,13
2020-03-15,Urban Outfitters,1,1
2020-03-15,Walmart,1,2
2020-03-15,Walmart Inc,1,3
2020-03-29,Facebook,1,1
2020-03-29,Hillcrest Baptist Church,1,2
2020-03-29,Peace Of Christ Church,1,3
2020-03-29,Presbyterian Church,1,4
2020-03-29,Soundcloud,1,5
2020-03-29,Trinity Church,1,6
2020-03-29,Trinity Episcopal Church,1,7
2020-03-29,Westlake United Methodist Church,1,8
2020-03-29,Youtube,1,9
2020-03-30,Facebook,1,1
2020-03-30,Hillcrest Baptist Church,1,2
2020-03-30,Peace Of Christ Church,1,3
2020-03-30,Presbyterian Church,1,4
2020-03-30,Soundcloud,1,5
2020-03-30,Trinity Church,1,6
2020-03-30,Trinity Episcopal Church,1,7
2020-03-30,Westlake United Methodist Church,1,8
2020-03-30,Youtube,1,9
2020-04-01,Texas Health,1,3
2020-04-01,Human Services,2,1
2020-04-01,Texas Department Of Health,2,2
2020-04-02,Arkansas Department Of Health,1,1
2020-04-02,Labor Department,1,2
2020-04-04,Facebook,1,1
2020-04-04,Texas Department Of State Health Services,1,2
2020-05-16,Aldi Inc,1,1
2020-05-16,American Quality Food Inc,1,2
2020-05-16,Aurora Grocery Group,1,3
2020-05-16,B Corp,1,4
2020-05-16,B R Stores Inc,1,5
2020-05-16,Big Y Foods Inc,1,6
2020-05-16,Brookshire Brothers Ltd,1,7
2020-05-16,Brookshire Grocery Co,1,8
2020-05-16,Cardenas Markets,1,9
2020-05-16,Club Inc,1,10
2020-05-16,Costco,1,11
2020-05-16,Costco Wholesale Corp,1,12
2020-05-16,Demoulas Supermarkets Inc,1,13
2020-05-16,Fareway Stores Inc,1,14
2020-05-16,Food Giant Supermarkets Inc,1,15
2020-05-16,Food Markets Inc,1,16
2020-05-16,Food Stores,1,17
2020-05-16,Food Stores Inc,1,18
2020-05-16,Foods Market Inc,1,19
2020-05-16,Fresh Encounter Inc,1,20
2020-05-16,Fresh Market Inc,1,21
2020-05-16,Golub Corporation,1,22
2020-05-16,Gordon Food Service,1,23
2020-05-16,Grocery Outlet Inc,1,24
2020-05-16,Group Also Releases New,1,25
2020-05-16,Harmon City Inc,1,26
2020-05-16,Ingles Markets Inc,1,27
2020-05-16,International Union,1,28
2020-05-16,Largest Food Retail Union Urges Walmart,1,29
2020-05-16,Marc Glassman Inc,1,30
2020-05-16,Niemann Foods Inc,1,31
2020-05-16,Publix Super Markets Inc,1,32
2020-05-16,Rouses Enterprises,1,33
2020-05-16,Save Inc,1,34
2020-05-16,Smart Final Stores,1,35
2020-05-16,Stores Hawaii,1,36
2020-05-16,Supermarkets Inc,1,37
2020-05-16,Vee Inc,1,38
2020-05-16,Walmart,1,39
2020-05-16,Wegmans Food Markets Inc,1,40
2020-05-16,Whole Foods,1,41
2020-05-16,Winco Foods,1,42
2020-05-16,Winn-Dixie Stores Inc,1,43
2020-05-24,Nan,1,1
2020-06-04,Governor Greg Abbott Office,1,1
2020-06-04,Texas Department Of State Health Services,1,2
2020-06-13,Nan,1,1
2020-06-19,United States,1,1
2020-06-23,Nan,1,1
2020-06-25,Nan,1,1
2020-07-01,Associated Press,1,1
2020-07-01,British National Overseas Passport,1,2
2020-07-01,Centre For Infectious Medicine,1,3
2020-07-01,Chinese Communist Party,1,4
2020-07-01,Government Technology,1,5
2020-07-01,Karolinska University Hospital,1,6
2020-07-01,Msnbc,1,7
2020-07-01,National Public Radio,1,8
2020-07-01,Pfizer,1,9
2020-07-01,Provo Police Department,1,10
2020-07-01,Seattle Police Department,1,11
2020-07-01,Twitter,1,12
2020-07-01,United Press International,1,13
2020-07-01,United States,1,14
2020-07-01,Young,1,15
2020-07-01,Youtube,1,16
