date,organization,count,rn
2020-02-17,Aerospace Scholars,1,1
2020-02-17,Ingram Tom Moore High School,1,2
2020-02-17,Schreiner University,1,3
2020-02-18,Aerospace Scholars,2,1
2020-02-18,Centers For Disease,2,2
2020-02-18,Ingram Tom Moore High School,2,3
2020-02-18,Schreiner University,2,4
2020-02-18,Texas Department Of State Health Services,2,5
2020-02-18,United States,2,6
2020-03-05,Facebook,1,1
2020-03-05,Lackland Air Force,1,2
2020-03-05,Peterson Regional Medical Center,1,3
2020-03-13,Hill Country Youth Events Center,1,1
2020-03-13,Texas Woodcarvers Guild Spring Round,1,2
2020-03-13,United States,1,3
2020-03-15,Associated Press,1,2
2020-03-15,Central Library,1,3
2020-03-15,Cleveland Middle School,1,4
2020-03-15,Hill Country Community Journal,1,5
2020-03-15,Liberty Middle School,1,6
2020-03-15,National Institute Of Allergies,1,7
2020-03-15,Notre Dame Catholic Church,1,8
2020-03-15,Peterson Health,1,9
2020-03-15,Richter Elementary School,1,10
2020-03-15,Supplemental Nutrition Assistance Program,1,11
2020-03-15,Texas Department Of Health Human Services,1,12
2020-03-15,Texas Education Agency,1,13
2020-03-15,Tissue Center,1,14
2020-03-15,Walther,1,15
2020-03-15,Young,1,16
2020-03-15,Facebook,2,1
2020-03-16,Nan,1,1
2020-03-17,American Hospital Association,2,4
2020-03-17,Butt Holdsworth Memorial Library,2,5
2020-03-17,Facebook,2,6
2020-03-17,Hill Country Youth Event Center,2,7
2020-03-17,John Hopkins University Coronavirus Resource Center,2,8
2020-03-17,Operation Center,2,9
2020-03-17,Peterson Health,2,10
2020-03-17,Schreiner University,2,11
2020-03-17,United States,2,12
2020-03-17,Visitation At Peterson Regional Medical Center,2,13
2020-03-17,Peterson Regional Medical Center,4,1
2020-03-17,Texas Department Of State Health Services,4,2
2020-03-17,Walmart,4,3
2020-03-19,Catholic Diocese,1,1
2020-03-19,Centers For Disease,1,2
2020-03-19,Columbia University,1,3
2020-03-20,Schreiner University,2,1
2020-03-21,Hobby Lobby,1,5
2020-03-21,Sunset Church,1,6
2020-03-21,Texas Tech University,1,7
2020-03-21,Walmart,1,8
2020-03-21,Peterson Health,2,1
2020-03-21,Peterson Regional Medical Center,2,2
2020-03-21,Texas Department Of State Health Services,2,3
2020-03-21,Zoning Commission,2,4
2020-03-22,Beginnings Church,1,1
2020-03-22,Calvary Temple Church,1,2
2020-03-22,Domino Pizza,1,3
2020-03-22,Facebook,1,4
2020-03-22,Legacy Church,1,5
2020-03-22,Power Hour Christian Center,1,6
2020-03-22,Youtube,1,7
2020-03-25,Centers For Disease,1,2
2020-03-25,Economic Improvement Corporation,1,3
2020-03-25,Facebook,1,4
2020-03-25,Peterson Regional Medical Center,1,5
2020-03-25,United States,1,6
2020-03-25,Peterson Health,2,1
2020-03-26,Johns Hopkins University,1,1
2020-03-26,Texas Department Of State Health Services,1,2
2020-03-28,Centers For Disease,1,2
2020-03-28,Community Relations,1,3
2020-03-28,Hill Country Youth Event Center,1,4
2020-03-28,Nan,1,5
2020-03-28,Peterson Regional Medical Center,1,6
2020-03-28,Peterson Regional Medical Center Dr,1,7
2020-03-28,Southern Newspapers Inc,1,8
2020-03-28,Texas Department Of Health Services,1,9
2020-03-28,Peterson Health,2,1
2020-03-30,Schreiner University,1,1
2020-04-02,World Health Organization,1,2
2020-04-02,Peterson Health,2,1
2020-04-03,Hill Country Youth Event Center,1,7
2020-04-03,Centers For Disease,2,3
2020-04-03,Emergency Operations Center,2,4
2020-04-03,Facebook,2,5
2020-04-03,Operations Center,2,6
2020-04-03,Peterson Health,4,1
2020-04-03,Texas Department Of State Health Services,4,2
2020-04-04,Hill Country Charity Ball,1,10
2020-04-04,Hill Country Charity Ball On,1,11
2020-04-04,Hill Country Youth Event Center,1,12
2020-04-04,Hills Realty,1,13
2020-04-04,Texas Department Of Family Protective,1,14
2020-04-04,Center Point,3,2
2020-04-04,Christian Assistance Ministry,3,3
2020-04-04,Community Foundation Of The Texas Hill Country,3,4
2020-04-04,First United Methodist Church,3,5
2020-04-04,Officials At Peterson Health,3,6
2020-04-04,Peterson Health,3,7
2020-04-04,Peterson Health Infection Prevention Nurse Pam Burton,3,8
2020-04-04,Peterson Health On,3,9
2020-04-04,Texas Department Of State Health Services,4,1
2020-04-05,Public Health,2,1
2020-04-07,Peterson Health Urgent Care In Kerrville,1,1
2020-04-07,Texas Department Of State Health Services,1,2
2020-04-09,Texas State Historical Association,1,1
2020-04-09,Tivy High School,1,2
2020-04-10,Texas State Historical Association,1,1
2020-04-10,Tivy High School,1,2
2020-04-11,Peterson Health,1,1
2020-04-13,Hill Country Youth Event Center,2,1
2020-04-13,Peterson Health,2,2
2020-04-13,Peterson Regional Medical Center,2,3
2020-04-13,Schreiner University,2,4
2020-04-14,American Enterprise Institute,1,1
2020-04-14,American Society For Reproductive Medicine,1,2
2020-04-14,Drug Administration,1,3
2020-04-14,Morgan Stanley,1,4
2020-04-14,National Institute Of Allergies,1,5
2020-04-14,Texas Department Of Corrections,1,6
2020-04-14,Twitter,1,7
2020-04-15,Centers For Disease,1,1
2020-04-15,Nan,1,2
2020-04-15,Peterson Health,1,3
2020-04-15,Peterson Regional Medical Center,1,4
2020-04-15,Texas State Department Of Health Services,1,5
2020-04-15,Visitors Bureau,1,6
2020-04-15,Youtube,1,7
2020-04-17,Goldman Sachs,4,1
2020-04-17,Hill Country Youth Event Center,4,2
2020-04-17,Kerr Economic Development Corp,4,3
2020-04-17,Kerr Economic Development Corporation,4,4
2020-04-17,Peterson Health,4,5
2020-04-17,Peterson Regional Medical Center,4,6
2020-04-17,Schreiner University,4,7
2020-04-17,Super Computers,4,8
2020-04-17,Texas Workforce Commission,4,9
2020-04-18,Associated Press,3,1
2020-04-18,Kerrville Independent School District Superintendent Mark Foust,3,2
2020-04-18,Peterson Health,3,3
2020-04-18,Peterson Regional Medical Center,3,4
2020-04-18,Schreiner University,3,5
2020-04-18,Tivy High School,3,6
2020-04-18,While Peterson Health,3,7
2020-04-18,White House,3,8
2020-04-20,Peterson Health,1,3
2020-04-20,Texas Department Of State Health Services,2,1
2020-04-20,Walmart,2,2
2020-04-24,Dekalb Regional Medical Center,1,1
2020-04-24,Fort Payne Fire Department,1,2
2020-04-24,Meals Program,1,3
2020-04-25,Centers For Disease,1,8
2020-04-25,Cultural Center,2,4
2020-04-25,Lewis At Center,2,5
2020-04-25,University Of Texas At Austin,2,6
2020-04-25,Yougov,2,7
2020-04-25,Ingram Independent School District,3,1
2020-04-25,Schreiner University,3,2
2020-04-25,Tivy High School,3,3
2020-04-28,Food Bank,2,1
2020-04-30,Kroc Center,1,4
2020-04-30,Texas Department Of State Health Services,1,5
2020-04-30,World Health Organization,1,6
2020-04-30,Centers For Disease,2,1
2020-04-30,Peterson Health,2,2
2020-04-30,Peterson Regional Medical Center,2,3
2020-05-01,Flowbee International,1,1
2020-05-02,Flowbee International,1,1
2020-05-04,Kroc Center,1,1
2020-05-04,Wildlife Service,1,2
2020-05-05,Economic Transition Team,1,6
2020-05-05,Health Transition Team,1,7
2020-05-05,Nan,1,8
2020-05-05,Toyota,1,9
2020-05-05,Metro Health,2,1
2020-05-05,National Guard,2,2
2020-05-05,Texas Department Of State Health Services,2,3
2020-05-05,Texas National Guard,2,4
2020-05-05,University Hospital On,2,5
2020-05-06,Center Point,1,2
2020-05-06,Emergency Operation Center,1,3
2020-05-06,Health Department,1,4
2020-05-06,National Guard,1,5
2020-05-06,School Facilities,1,6
2020-05-06,Texas Army National Guard,1,7
2020-05-06,Texas Department Of Emergency Management,1,8
2020-05-06,Texas Education Agency,1,9
2020-05-06,Tivy High School,1,10
2020-05-06,Wildlife Office,1,11
2020-05-06,Kroc Center,2,1
2020-05-07,Calvary Temple Church,1,1
2020-05-07,Calvary Temple Church On,1,2
2020-05-08,Emergency Department,1,3
2020-05-08,Joan Kroc Corps Community Center,1,4
2020-05-08,Kroc Center,1,5
2020-05-08,National Guard,1,6
2020-05-08,Peterson Regional Medical Center,1,7
2020-05-08,Salvation Army Ray,1,8
2020-05-08,Texas Air National Guard,1,9
2020-05-08,Texas Army National Guard,1,10
2020-05-08,Texas Department Of State Health Services,1,11
2020-05-08,Texas Military,1,12
2020-05-08,Peterson Health,2,1
2020-05-08,Texas Military Department,2,2
2020-05-09,Regulation Department,1,4
2020-05-09,Small Business Administration Paycheck Protection Plan,1,5
2020-05-09,Texas Workforce Commission,1,6
2020-05-09,American Camp Association,2,1
2020-05-09,Laity Lodge Programs,2,2
2020-05-09,Texas Department Of State Health Services,2,3
2020-05-12,Hill Country Youth Event Center,1,1
2020-05-12,Joan Kroc Corps Community Center,1,2
2020-05-12,Nan,1,3
2020-05-12,Salvation Army Ray,1,4
2020-05-12,Texas Military Department,1,5
2020-05-13,Kroc Center,2,1
2020-05-13,Texas Department Of State Health Services,2,2
2020-05-13,Texas Military Department,2,3
2020-05-14,Cessna,1,1
2020-05-14,Coordination Center,1,2
2020-05-14,Operations For Group,1,3
2020-05-14,United States Air,1,4
2020-05-15,Commerce Department,1,1
2020-05-15,Dillard,1,2
2020-05-15,Texas Workforce Commission,1,3
2020-05-15,Whataburger,1,4
2020-05-16,Austin City Council On,1,1
2020-05-16,Law Enforcement Agency,1,2
2020-05-16,Nan,1,3
2020-05-16,National Night,1,4
2020-05-16,National Peace Officers Memorial Day,1,5
2020-05-16,National Police Week,1,6
2020-05-16,Texas Police Chiefs Association,1,7
2020-05-19,Hill Country Youth Event Center,1,3
2020-05-19,Kerr Economic Development,2,1
2020-05-19,Mooney,2,2
2020-05-20,Peterson Regional Medical Center,1,3
2020-05-20,Sheriff Office,1,4
2020-05-20,Texas Department Of Corrections,1,5
2020-05-20,Conference Center,2,1
2020-05-20,Visitors Bureau,2,2
2020-05-22,City West Church,2,1
2020-05-22,College St,2,2
2020-05-22,Hill Country Youth Event Center,2,3
