date,organization,count,rn
2020-03-15,A Waller Middle School,1,1
2020-03-15,Altus Air Force,1,2
2020-03-15,Oklahoma State Department Of Health,1,3
2020-03-15,Vance Air Force,1,4
2020-03-16,A Waller Middle School,1,3
2020-03-16,Altus Air Force,1,4
2020-03-16,Enid Police Department,1,5
2020-03-16,Expo Center,1,6
2020-03-16,Miracle League,1,7
2020-03-16,National Quail Club,1,8
2020-03-16,Olympics,1,9
2020-03-16,Prairie View Elementary School,1,10
2020-03-16,Special Olympics,1,11
2020-03-16,Vance Air Force,1,12
2020-03-16,Department Of Health,2,1
2020-03-16,Oklahoma State Department Of Health,2,2
2020-03-17,Enid Fire Department,1,1
2020-03-17,Enid Police Department,1,2
2020-03-17,Mary Regional Medical Center,1,3
2020-03-23,Centers For Disease Control,1,1
2020-03-23,Coyle Law Firm,1,2
2020-03-23,Kingfisher,1,3
2020-03-23,Oklahoma Court,1,4
2020-03-23,Oklahoma State Department Of Health,1,5
2020-03-23,Oklahoma Supreme Court,1,6
2020-03-23,Ou Medical Center,1,7
2020-03-27,Convention Hall,1,1
2020-03-27,Crisis Center,1,2
2020-03-27,Enid Crisis Center,1,3
2020-03-27,Kingfisher,1,4
2020-03-27,Reynolds Foundation,1,5
2020-03-27,Stride Bank Center,1,6
2020-03-27,United States,1,7
2020-03-27,Young Women Christian Association,1,8
2020-03-27,Ywca,1,9
2020-03-31,Kingfisher,1,1
2020-03-31,Sterling,1,2
2020-04-01,Oklahoma State University,1,21
2020-04-01,University Of Oklahoma,1,22
2020-04-01,Expo Center,2,20
2020-04-01,Oklahoma State College,3,19
2020-04-01,Call Center,4,1
2020-04-01,Emergency Department,4,2
2020-04-01,Enid Police Department,4,3
2020-04-01,Facebook,4,4
2020-04-01,Governor Solution Task,4,5
2020-04-01,Health Department,4,6
2020-04-01,Integris Bass Baptist Health Center,4,7
2020-04-01,Mary Regional Medical Center,4,8
2020-04-01,National Guard,4,9
2020-04-01,Oklahoma Army,4,10
2020-04-01,Oklahoma Military Department,4,11
2020-04-01,Oklahoma National Guard,4,12
2020-04-01,Oklahoma National Guard Regional Training Institute,4,13
2020-04-01,Oklahoma State Department Of Health,4,14
2020-04-01,Public Health Laboratory,4,15
2020-04-01,Sheriff Office,4,16
2020-04-01,Strategic National,4,17
2020-04-01,United States,4,18
2020-04-02,Court Clerk,1,23
2020-04-02,Enid High School,1,24
2020-04-02,Enid Police,1,25
2020-04-02,Regional Food Bank,1,26
2020-04-02,Youth Family Services,1,27
2020-04-02,Youth Family Services Of North Central Oklahoma,1,28
2020-04-02,Health Gary Cox,3,22
2020-04-02,Call Center,6,7
2020-04-02,Emergency Department,6,8
2020-04-02,Governor Solution Task,6,9
2020-04-02,Health Department,6,10
2020-04-02,Integris Bass Baptist Health Center,6,11
2020-04-02,Kingfisher,6,12
2020-04-02,Mary Regional Medical Center,6,13
2020-04-02,National Guard,6,14
2020-04-02,Oklahoma Army,6,15
2020-04-02,Oklahoma Military Department,6,16
2020-04-02,Oklahoma National Guard,6,17
2020-04-02,Oklahoma National Guard Regional Training Institute,6,18
2020-04-02,Sheriff Office,6,19
2020-04-02,Strategic National,6,20
2020-04-02,United States,6,21
2020-04-02,Enid Police Department,7,1
2020-04-02,Expo Center,7,2
2020-04-02,Facebook,7,3
2020-04-02,Oklahoma State College,7,4
2020-04-02,Oklahoma State Department Of Health,7,5
2020-04-02,Public Health Laboratory,7,6
2020-04-03,Catastrophic Health Emergency Powers,1,24
2020-04-03,Court Clerk,1,25
2020-04-03,Enid High School,1,26
2020-04-03,Enid Police,1,27
2020-04-03,Hammer Williams Company,1,28
2020-04-03,Williams Media Group,1,29
2020-04-03,Youth Family Services,1,30
2020-04-03,Youth Family Services Of North Central Oklahoma,1,31
2020-04-03,Youtube,1,32
2020-04-03,Call Center,2,8
2020-04-03,Emergency Department,2,9
2020-04-03,Governor Solution Task,2,10
2020-04-03,Health Department,2,11
2020-04-03,Health Gary Cox,2,12
2020-04-03,Integris Bass Baptist Health Center,2,13
2020-04-03,Kingfisher,2,14
2020-04-03,Mary Regional Medical Center,2,15
2020-04-03,Office Of Emergency Management,2,16
2020-04-03,Oklahoma Army,2,17
2020-04-03,Oklahoma Military Department,2,18
2020-04-03,Oklahoma National Guard,2,19
2020-04-03,Oklahoma National Guard Regional Training Institute,2,20
2020-04-03,Sheriff Office,2,21
2020-04-03,Strategic National,2,22
2020-04-03,United States,2,23
2020-04-03,Enid Police Department,3,1
2020-04-03,Expo Center,3,2
2020-04-03,Facebook,3,3
2020-04-03,National Guard,3,4
2020-04-03,Oklahoma State College,3,5
2020-04-03,Oklahoma State Department Of Health,3,6
2020-04-03,Public Health Laboratory,3,7
2020-04-04,Call Center,1,1
2020-04-04,Emergency Department,1,2
2020-04-04,Enid Police Department,1,3
2020-04-04,Facebook,1,4
2020-04-04,Health Department,1,5
2020-04-04,Integris Bass Baptist Health Center,1,6
2020-04-04,Johnston Seed Co,1,7
2020-04-04,Kingfisher,1,8
2020-04-04,Mary Regional Medical Center,1,9
2020-04-04,Office Of Emergency Management,1,10
2020-04-04,Oklahoma State Department Of Health,1,11
2020-04-04,Public Health Laboratory,1,12
2020-04-04,Sheriff Office,1,13
2020-04-04,Strategic National,1,14
2020-04-05,Call Center,1,1
2020-04-05,Emergency Department,1,2
2020-04-05,Enid Police Department,1,3
2020-04-05,Facebook,1,4
2020-04-05,Health Department,1,5
2020-04-05,Integris Bass Baptist Health Center,1,6
2020-04-05,Kingfisher,1,7
2020-04-05,Laboratory Of Oklahoma,1,8
2020-04-05,Mary Regional Medical Center,1,9
2020-04-05,Office Of Emergency Management,1,10
2020-04-05,Oklahoma Department Of Forestry,1,11
2020-04-05,Oklahoma State Department Of Health,1,12
2020-04-05,Public Health Laboratory,1,13
2020-04-05,Sheriff Office,1,14
2020-04-05,Strategic National,1,15
2020-04-05,Strategic National Stockpile,1,16
2020-04-06,Call Center,1,1
2020-04-06,Emergency Department,1,2
2020-04-06,Enid Police Department,1,3
2020-04-06,Facebook,1,4
2020-04-06,Health Department,1,5
2020-04-06,Integris Bass Baptist Health Center,1,6
2020-04-06,Kingfisher,1,7
2020-04-06,Laboratory Of Oklahoma,1,8
2020-04-06,Mary Regional Medical Center,1,9
2020-04-06,Office Of Emergency Management,1,10
2020-04-06,Oklahoma Department Of Forestry,1,11
2020-04-06,Oklahoma State Department Of Health,1,12
2020-04-06,Public Health Laboratory,1,13
2020-04-06,Sheriff Office,1,14
2020-04-06,Strategic National,1,15
2020-04-06,Strategic National Stockpile,1,16
2020-04-07,Call Center,1,2
2020-04-07,Emergency Department,1,3
2020-04-07,Facebook,1,4
2020-04-07,Health Department,1,5
2020-04-07,Integris Bass Baptist Health Center,1,6
2020-04-07,Kingfisher,1,7
2020-04-07,Laboratory Of Oklahoma,1,8
2020-04-07,Mary Regional Medical Center,1,9
2020-04-07,Office Of Emergency Management,1,10
2020-04-07,Oklahoma Department Of Forestry,1,11
2020-04-07,Oklahoma State Department Of Health,1,12
2020-04-07,Public Health Laboratory,1,13
2020-04-07,Regional Food Bank,1,14
2020-04-07,Sheriff Office,1,15
2020-04-07,Strategic National,1,16
2020-04-07,Strategic National Stockpile,1,17
2020-04-07,Enid Police Department,2,1
2020-04-08,Academy On,1,6
2020-04-08,Bass Baptist Health Center,1,7
2020-04-08,Call Center,1,8
2020-04-08,Court Clerk,1,9
2020-04-08,Emergency Department,1,10
2020-04-08,Enid High School,1,11
2020-04-08,Greater Enid Chamber,1,12
2020-04-08,Health Department,1,13
2020-04-08,Integris Bass Baptist Health Center,1,14
2020-04-08,Kingfisher,1,15
2020-04-08,Laboratory Of Oklahoma,1,16
2020-04-08,Office Of Emergency Management,1,17
2020-04-08,Oklahoma Bible Academy,1,18
2020-04-08,Oklahoma Blood Institute,1,19
2020-04-08,Oklahoma Department Of Forestry,1,20
2020-04-08,Sheriff Office,1,21
2020-04-08,Strategic National,1,22
2020-04-08,Strategic National Stockpile,1,23
2020-04-08,Enid Police Department,2,1
2020-04-08,Facebook,2,2
2020-04-08,Mary Regional Medical Center,2,3
2020-04-08,Oklahoma State Department Of Health,2,4
2020-04-08,Public Health Laboratory,2,5
2020-04-09,Call Center,1,1
2020-04-09,Emergency Department,1,2
2020-04-09,Enid Police Department,1,3
2020-04-09,Facebook,1,4
2020-04-09,Health Department,1,5
