date,organization,count,rn
2020-03-12,Westjet,1,1
2020-03-13,Employee Health Services,1,1
2020-03-13,Juravinski Cancer Centre,1,2
2020-03-13,Westjet,1,3
2020-03-16,Juravinski Cancer Centre,1,1
2020-03-16,United States,1,2
2020-03-16,Westjet,1,3
2020-03-17,Air Canada,1,1
2020-03-17,Hamilton Health Sciences,1,2
2020-03-17,Hamilton Regional Laboratory Medicine Program,1,3
2020-03-17,Juravinski Cancer Centre,1,4
2020-03-17,Ministry Of Health,1,5
2020-03-17,Tim Hortons,1,6
2020-03-17,United States,1,7
2020-03-17,Westjet,1,8
2020-03-19,Air Canada,1,1
2020-03-19,Go Transit,1,2
2020-03-19,Hamilton Public Health,1,3
2020-03-19,Juravinski Cancer Centre,1,4
2020-03-19,Twitter,1,5
2020-03-19,United States,1,6
2020-03-19,Westjet,1,7
2020-03-20,Anthony,1,1
2020-03-20,Senate Democratic Leader Chuck Schumer,1,2
2020-03-20,Senate Majority Leader,1,3
2020-03-20,White House,1,4
