date,organization,count,rn
2020-03-01,Centers For Disease,1,1
2020-03-01,Oregon Health Authority,1,2
2020-03-01,Public Health,1,3
2020-03-04,Department Of Public Health,1,5
2020-03-04,Coronavirus School,2,2
2020-03-04,Emergency Response Team,2,3
2020-03-04,School Districts,2,4
2020-03-04,Oregon Health Authority,3,1
2020-03-07,Certified Community Behavioral Health Clinics,1,1
2020-03-07,Department Of Human Services,1,2
2020-03-07,Fiscal Office Emergency Board On,1,3
2020-03-07,Nan,1,4
2020-03-07,Oregon Health Authority,1,5
2020-03-07,Oregon Senate,1,6
2020-03-08,Affairs Dr,1,1
2020-03-08,Centers For Disease,1,2
2020-03-08,Nan,1,3
2020-03-08,Oregon Health Authority,1,4
2020-03-08,Oregon Institute Of Technology,1,5
2020-03-08,Public Health,1,6
2020-03-10,Ames Research Center,1,1
2020-03-10,Associated Press,1,2
2020-03-10,California Office Of Emergency Services,1,3
2020-03-10,Columbia University,1,4
2020-03-10,Human Services,1,5
2020-03-10,Stanford University,1,6
2020-03-10,Travis Air Force,1,7
2020-03-10,United States,1,8
2020-03-10,University Of Washington,1,9
2020-03-10,World Health Organization,1,10
2020-03-11,Morris,1,8
2020-03-11,Public Health,1,9
2020-03-11,Emergency Response Team,2,1
2020-03-11,Higher Education Coordinating Council,2,2
2020-03-11,Housing Office,2,3
2020-03-11,Klamath Community College,2,4
2020-03-11,Oregon Department Of Education,2,5
2020-03-11,Oregon Health Authority,2,6
2020-03-11,Student Health Center,2,7
2020-03-15,District Office,1,1
2020-03-15,Eagle Ridge High School,1,2
2020-03-15,Facebook,1,3
2020-03-15,Gearhart School,1,4
2020-03-15,Governor Office,1,5
2020-03-15,Mission St,1,6
2020-03-15,Oregon Department Of Education,1,7
2020-03-17,Cascade Civil War Society,1,1
2020-03-17,Lava Beds National Monument,1,2
2020-03-17,Modoc War Army,1,3
2020-03-17,National Park Service,1,4
2020-03-17,Park Service,1,5
2020-03-18,Morris,1,1
2020-03-19,Centers For Disease,1,1
2020-03-19,Energy Regulatory Commission,1,2
2020-03-19,Lab Corp,1,3
2020-03-19,Oregon State Public Health Lab,1,4
2020-03-19,Public Health,1,5
2020-03-19,Sierra Club Senior Attorney Nathan Matthews,1,6
2020-03-19,University Of Washington,1,7
2020-03-22,Nan,1,1
2020-03-23,Northern Kentucky Convention Center,1,1
2020-03-24,Community Health Education Center,1,1
2020-03-24,Family Birth Center,1,2
2020-03-24,Oregon Health Authority,1,3
2020-03-24,Public Health,1,4
2020-03-25,Centers For Disease,1,1
2020-03-25,Community Health Centers,1,2
2020-03-25,Community Health Centers Chcs,1,3
2020-03-25,Crater Lake National Park,1,4
2020-03-25,Death Valley National Park,1,5
2020-03-25,Forest Service,1,6
2020-03-25,Human Services,1,7
2020-03-25,Lava Beds National Monument,1,8
2020-03-25,Qwest,1,9
2020-03-25,Redwoods National Park,1,10
2020-03-27,American Sportfishing Association,1,2
2020-03-27,Boy Scouts,1,3
2020-03-27,Facebook,1,4
2020-03-27,Fund At United Way,1,5
2020-03-27,Girl Scouts,1,6
2020-03-27,Institute For Disease Modeling,1,7
2020-03-27,Klamath Basin Senior Citizen Center,1,8
2020-03-27,Klamath Lake County Food Bank,1,9
2020-03-27,Los Angeles International Airport,1,10
2020-03-27,Lutheran Community Services,1,11
2020-03-27,Oregon Department Of Fish,1,12
2020-03-27,Oregon Health Authority,1,13
2020-03-27,Salvation Army,1,14
2020-03-27,Ymca,1,15
2020-03-27,Youth Services,1,16
2020-03-27,Youtube,1,17
