date,organization,count,rn
2020-02-15,Associated Press,1,1
2020-02-15,Centers For Disease,1,2
2020-02-15,Department Of Health,1,3
2020-02-15,Mayo Clinic Vaccine Research Group,1,4
2020-02-15,United States,1,5
2020-03-04,Conference Center,1,1
2020-03-04,Crosse Co,1,2
2020-03-04,Republican Party,1,3
2020-03-09,Centers For Disease,1,1
2020-03-09,Department Of Health Services,1,2
2020-03-09,Technical College,1,3
2020-03-09,University Of Wisconsin,1,4
2020-03-09,Wisconsin State Lab Of Hygiene,1,5
2020-03-10,Gundersen Health System,1,1
2020-03-10,Mayo Clinic Health System,1,2
2020-03-10,Wisconsin Department Of Health Services,1,3
2020-03-11,Democratic Party Of Wisconsin,1,3
2020-03-11,United States,1,4
2020-03-11,Stoney Creek Hotel In Rothschild,2,1
2020-03-11,Wisconsin Center,2,2
2020-03-12,Stoney Creek Hotel In Rothschild,1,1
2020-03-12,Wisconsin Center,1,2
2020-03-13,City Clerk Office,1,1
2020-03-13,Department Of Health Services,1,2
2020-03-13,Elections Commission,1,3
2020-03-13,Health Sciences Learning Center,1,4
2020-03-13,Madison Metropolitan School District,1,5
2020-03-13,Mary Care Center,1,6
2020-03-13,Memorial Union,1,7
2020-03-13,Student Activity Center,1,8
2020-03-13,Supreme Court,1,9
2020-03-13,United States,1,10
2020-03-14,Bangor School District,1,12
2020-03-14,Crosse School District,1,13
2020-03-14,Democratic Party Of Wisconsin,1,14
2020-03-14,Holmen School District,1,15
2020-03-14,Sparta School District,1,16
2020-03-14,Tomah School District,1,17
2020-03-14,Wisconsin Elections Commission,1,18
2020-03-14,Centers For Disease,2,1
2020-03-14,Children Museum,2,2
2020-03-14,Children Museum Of La Crosse,2,3
2020-03-14,Coulee Region Humane Society,2,4
2020-03-14,Crosse Public Library,2,5
2020-03-14,Royal Corporation,2,6
2020-03-14,Starbucks,2,7
2020-03-14,United States,2,8
2020-03-14,Walgreens,2,9
2020-03-14,Walmart,2,10
2020-03-14,Ymca,2,11
2020-03-17,School District Of Onalaska,1,1
2020-03-21,Centers For Disease,1,1
2020-03-21,Crosse Common Council,1,2
2020-03-21,Health Ed Health Promotion,1,3
2020-03-21,Small Business Administration,1,4
2020-03-21,United States,1,5
2020-03-21,Wisconsin Economic Development Corporation,1,6
2020-03-24,Supreme Court,1,1
2020-03-24,Wisconsin Elections Commission,1,2
2020-03-26,Centers For Disease,1,1
2020-03-26,Crosse Co,1,2
2020-03-26,Emergency Management Agency,1,3
2020-03-26,Facebook,1,4
2020-03-26,Gundersen Health,1,5
2020-03-26,Gundersen Health System,1,6
2020-03-26,Harvard Medical School,1,7
2020-03-26,Health Department,1,8
2020-03-26,Mayo Clinic Health System,1,9
2020-03-26,National Guard,1,10
2020-03-26,Vernon Co,1,11
2020-03-26,Winona Co,1,12
2020-03-26,Wisconsin Department Of Health Services,1,13
2020-03-26,World Health Organization,1,14
2020-03-27,Health Department,1,1
2020-03-27,Xcel Energy,1,2
2020-03-29,Personnel Committee,1,1
2020-03-29,Sustainable La Crosse Commission,1,2
2020-03-30,Alliance To Heal,1,1
2020-03-30,Booster Club,1,2
2020-03-30,Community Health Improvement,1,3
2020-03-30,Crosse Community Foundation,1,4
2020-03-30,Department Of Justice,1,5
2020-03-30,Facebook,1,6
2020-03-30,Gundersen Health System,1,7
2020-03-30,Health Department,1,8
2020-03-30,Hi Booster Club,1,9
2020-03-30,Leadership Team,1,10
2020-03-30,Marquette University,1,11
2020-03-30,Mayo Clinic Health System,1,12
2020-03-30,Mayo Clinic Health Systems,1,13
2020-03-30,Office Of Crime Victim Services,1,14
2020-03-30,Public Health Accreditation Board,1,15
2020-03-30,Supreme Court,1,16
2020-03-30,Wisconsin Institute For Law,1,17
2020-03-30,Wisconsin Supreme Court,1,18
2020-03-31,Assembly Speaker Robin Vos,1,2
2020-03-31,Department Of Safety,1,3
2020-03-31,Disability Resource Center,1,4
2020-03-31,Senate Majority Leader Scott Fitzgerald,1,5
2020-03-31,Senior Volunteer Program,1,6
2020-03-31,Wisconsin Department Of Workforce Development,1,7
2020-03-31,Wisconsin Nurses Association,1,8
2020-03-31,Department Of Health Services,2,1
2020-04-01,Crosse County District Attorney Office,1,1
2020-04-01,Crosse County Health Department,1,2
2020-04-01,Crosse Police Department,1,3
2020-04-01,While La Crosse Police Department,1,4
2020-04-01,Wisconsin Economic Development Corp,1,5
2020-04-02,Coulee Recovery Center,1,1
2020-04-02,Hogan Administrative Center,1,2
2020-04-02,Living Word Christian Church,1,3
2020-04-02,River Beach Neighborhood Center,1,4
2020-04-02,Southside Neighborhood Center,1,5
2020-04-02,Uw-L Recreational Eagle Center,1,6
2020-04-03,Nan,1,1
2020-04-06,Pieper Power Education Center,1,4
2020-04-06,Democratic Party Of Wisconsin,3,1
2020-04-06,Republican National Committee,3,2
2020-04-06,Supreme Court,3,3
2020-04-07,National Guard,1,1
2020-04-07,Supreme Court,1,2
2020-04-07,Wisconsin Elections Commission,1,3
2020-04-07,Wisconsin Supreme Court,1,4
2020-04-13,Nan,1,1
2020-04-14,Common Council,1,1
2020-04-14,National Guard,1,2
2020-04-14,Oshkosh Common Council,1,3
2020-04-14,Supreme Court,1,4
2020-04-14,Wisconsin Supreme Court,1,5
2020-04-15,Nan,1,1
2020-04-16,Coulee Bicycle Company In Onalaska,1,1
2020-04-16,Isaac Showaki Octopi Brewing Co,1,2
2020-04-16,Octopi Brewing Co,1,3
2020-04-16,Paycheck Protection Program,1,4
2020-04-16,Small Business Administration,1,5
2020-04-16,Wisconsin Bankers Association,1,6
2020-04-18,Crosse Center,1,4
2020-04-18,Human Services,1,5
2020-04-18,Wisconsin Counties Association,1,6
2020-04-18,Gundersen Health System,2,1
2020-04-18,Gundersen Medical Foundation,2,2
2020-04-18,Youtube,2,3
2020-04-23,Coulee Bicycle Co,1,1
2020-04-23,Paycheck Protection Program,1,2
2020-04-23,Small Business Administration,1,3
2020-04-23,Wisconsin Bankers Association,1,4
2020-04-23,Young,1,5
2020-04-24,Wisconsin Department Of Health Services,1,1
2020-04-27,Grant County Health Department,1,9
2020-04-27,Wisconsin Department Of Health Services,1,10
2020-04-27,Arcadia Middle School,2,1
2020-04-27,Delong Middle School,2,2
2020-04-27,Herb Kohl Educational Foundation Fellowship Award,2,3
2020-04-27,Hintgen Elementary School,2,4
2020-04-27,Medford High School,2,5
2020-04-27,Owen-Withee Elementary School,2,6
2020-04-27,Saint Pauls Evangelical Lutheran School,2,7
2020-04-27,Spence Elementary School,2,8
2020-04-29,Centers For Disease,1,1
2020-04-29,Fire Department Of New York,1,2
2020-04-29,Johns Hopkins University,1,3
2020-04-29,Oval Office,1,4
2020-04-29,Senate Majority Leader Mitch Mcconnell,1,5
2020-04-29,United States,1,6
2020-04-29,Wisconsin Department Of Health Services,1,7
2020-05-04,Gundersen Health System,1,1
2020-05-05,Wisconsin Department Of Health Services,1,1
2020-05-06,Department Of Health Services,1,1
2020-05-06,Division Of Motor Vehicles,1,2
2020-05-06,Facebook,1,3
2020-05-06,Gundersen Health System,1,4
2020-05-06,Mayo Clinic Health System On,1,5
2020-05-06,National Nurses Week,1,6
2020-05-06,Supreme Court,1,7
2020-05-06,Twitter,1,8
2020-05-06,Viterbo University,1,9
2020-05-06,Wisconsin Department Of Health Services,1,10
2020-05-06,Wisconsin Department Of Transportation,1,11
2020-05-06,Wisconsin Supreme Court,1,12
2020-05-11,Associated Press,2,1
2020-05-11,Costco,2,2
2020-05-11,Crosse Distilling Co,2,3
2020-05-11,Culver,2,4
2020-05-11,Department Of Justice,2,5
2020-05-11,Department Of Workforce Development,2,6
2020-05-11,Gundersen Health System,2,7
2020-05-11,Kroger,2,8
2020-05-11,Morgan,2,9
2020-05-11,Public Health Department,2,10
2020-05-11,University Of Wisconsin,2,11
2020-05-11,Virtual Care Support Team,2,12
2020-05-11,Wisconsin Cattlemen Association Eric Johnson,2,13
2020-05-11,Wisconsin Department Of Health Services,2,14
2020-05-12,Crosse County Circuit Court On,1,1
2020-05-12,Department Of Health Services,1,2
2020-05-12,Mayo Clinic Health System On,1,3
2020-05-12,Menards,1,4
2020-05-12,Wisconsin Department Of Health Services,1,5
2020-05-12,Wisconsin Department Of Public Instruction,1,6
2020-05-13,Health Improvement Partnership,1,1
2020-05-13,Minnesota Department Of Agriculture,1,2
2020-05-13,Minnesota Grocers Association,1,3
2020-05-13,Minnesota Institute For Sustainable Agriculture,1,4
