date,organization,count,rn
2020-02-05,Centers For Disease,1,1
2020-02-05,Health Department,1,2
2020-02-06,Centers For Disease,1,1
2020-02-06,Health Department,1,2
2020-02-06,Human Services,1,3
2020-02-06,Nebraska Army National Guard,1,4
2020-02-06,University Of Nebraska Medical Center,1,5
2020-02-07,Centers For Disease,1,1
2020-02-07,Facebook,1,2
2020-02-07,Health Dr,1,3
2020-02-07,Pa Department Of Health Pahealthdept,1,4
2020-02-07,Representatives For Elizabethtown College,1,5
2020-02-07,Twitter,1,6
2020-02-07,United States,1,7
2020-02-26,Cattolica Catholic University,1,1
2020-02-26,Democratic Party,1,2
2020-02-26,Democrats In Congress,1,3
2020-02-26,Florida State University,1,4
2020-02-26,National Centre For Immunization,1,5
2020-02-26,Senate Republicans,1,6
2020-02-26,Twitter,1,7
2020-02-26,University Of Southern California,1,8
2020-02-27,Atrium Health,1,3
2020-02-27,Bloomberg,1,4
2020-02-27,Chester Co,1,5
2020-02-27,Cnn,1,6
2020-02-27,Department Of Instruction,1,7
2020-02-27,Facebook,1,8
2020-02-27,Gun Violence Safety Program,1,9
2020-02-27,Health Departments,1,10
2020-02-27,His Department,1,11
2020-02-27,Human Services,1,12
2020-02-27,Novant Health,1,13
2020-02-27,Pennsbury High School,1,14
2020-02-27,Pennsylvania Supreme Court,1,15
2020-02-27,Public Forum Held In Wilkinsburg,1,16
2020-02-27,School Board,1,17
2020-02-27,Senate Prez Joe Scarnati,1,18
2020-02-27,Shell,1,19
2020-02-27,Trump Community Center,1,20
2020-02-27,United States,1,21
2020-02-27,Us Health,1,22
2020-02-27,Liberty University,2,1
2020-02-27,Reuters,2,2
2020-02-28,Boy Scouts,1,1
2020-02-28,Centers For Disease,1,2
2020-02-28,City Council,1,3
2020-02-28,Cnn,1,4
2020-02-28,Easton City Council,1,5
2020-02-28,Einstein Health,1,6
2020-02-28,Elizabethtown College,1,7
2020-02-28,Facebook,1,8
2020-02-28,Franklin Marshall College,1,9
2020-02-28,Health Department,1,10
2020-02-28,How Health Care Proposals Divide Voters,1,11
2020-02-28,Jefferson University,1,12
2020-02-28,Messiah College,1,13
2020-02-28,National Journal,1,14
2020-02-28,Pa Department Of Health,1,15
2020-02-28,Pittsburgh International,1,16
2020-02-28,Poor People Campaign,1,17
2020-02-28,Spokesperson For Messiah College,1,18
2020-02-28,Sunoco,1,19
2020-02-28,Supreme Court,1,20
2020-02-28,Trump Administration,1,21
2020-02-28,Trump Supreme Court,1,22
2020-02-28,University Health Center,1,23
2020-02-28,University Of Nebraska,1,24
2020-02-28,University Of Nebraska Lincoln,1,25
2020-02-28,University Of Nebraska Medical Center,1,26
2020-02-28,White House,1,27
2020-02-28,York City Council,1,28
2020-02-28,Youtube,1,29
2020-03-02,Bryan Health,1,1
2020-03-02,Community Briefings,1,2
2020-03-02,Health Department,1,3
2020-03-02,International Engagement Josh Davis,1,4
2020-03-02,University Of Nebraska,1,5
2020-03-03,Allegheny Health Network,1,3
2020-03-03,Centers For Disease,1,4
2020-03-03,Clorox,1,5
2020-03-03,Health St,1,6
2020-03-03,New York Times,1,7
2020-03-03,Pennsylvania Department Of Health,1,8
2020-03-03,Twitter,1,9
2020-03-03,Walmart,1,10
2020-03-03,Youth Agency,1,11
2020-03-03,Bryan Health,2,1
2020-03-03,Health Department,2,2
2020-03-04,Allegheny College,1,1
2020-03-04,Bloomberg,1,2
2020-03-04,Centers For Disease Control,1,3
2020-03-04,Centre Daily Times,1,4
2020-03-04,City Council,1,5
2020-03-04,Conneaut School District,1,6
2020-03-04,Conneaut School District Superintendent Jarrin Sperry,1,7
2020-03-04,Council Poverty Action Plan,1,8
2020-03-04,Democratic Party,1,9
2020-03-04,Department Of Health,1,10
2020-03-04,Dickinson College,1,11
2020-03-04,Drug Administration,1,12
2020-03-04,Edinboro University Of Pennsylvania,1,13
2020-03-04,Health Dr,1,14
2020-03-04,Human Services,1,15
2020-03-04,Kids Getting Free Breakfast At School,1,16
2020-03-04,Montco Health,1,17
2020-03-04,Pennsylvania Department Of Health,1,18
2020-03-04,Police Gearing,1,19
2020-03-04,Roman Catholic Diocese Of Erie,1,20
2020-03-04,School Board Member,1,21
2020-03-04,School District,1,22
2020-03-04,Scranton City Council,1,23
2020-03-04,Senate District,1,24
2020-03-04,Supreme Court,1,25
2020-03-04,Sustainability Commission,1,26
2020-03-04,Tea Party,1,27
2020-03-04,Trump Administration,1,28
2020-03-04,White House,1,29
2020-03-05,Allegheny Co,1,1
2020-03-05,Doane University,1,2
2020-03-05,Forum On Education,1,3
2020-03-05,Gateway Center,1,4
2020-03-05,Health Dept,1,5
2020-03-05,National Institutes Of Health,1,6
2020-03-05,Nebraska Wesleyan University,1,7
2020-03-05,Pennsylvania State Police,1,8
2020-03-05,Pittsburgh Diocese,1,9
2020-03-05,Union College In Lincoln,1,10
2020-03-05,United Methodist Church,1,11
2020-03-05,United States,1,12
2020-03-05,University Of Nebraska,1,13
2020-03-05,University Of Nebraska At Kearney,1,14
2020-03-05,World Health Organization,1,15
2020-03-06,Doane University,1,1
2020-03-06,Forum On Education,1,2
2020-03-06,Nebraska Wesleyan University,1,3
2020-03-06,Union College In Lincoln,1,4
2020-03-06,United States,1,5
2020-03-06,University Of Nebraska,1,6
2020-03-06,University Of Nebraska At Kearney,1,7
2020-03-06,University Of Nebraska Medical Center,1,8
2020-03-06,World Health Organization,1,9
2020-03-07,Catholic Church,1,28
2020-03-07,Guinness,1,29
2020-03-07,Health Department,1,30
2020-03-07,Human Services,1,31
2020-03-07,Nan,1,32
2020-03-07,Nebraska Department Of Health,1,33
2020-03-07,Pa Department Of Health,1,34
2020-03-07,Public Health Lab,1,35
2020-03-07,Twitter,1,36
2020-03-07,Warnermedia Company,1,37
2020-03-07,White House,1,38
2020-03-07,Arizona Department Of Public Health,2,19
