date,organization,count,rn
2020-02-05,Centers For Disease,1,1
2020-02-05,Eugene School District,1,2
2020-02-05,Human Services,1,3
2020-02-05,Oregon Health Authority,1,4
2020-02-05,United States,1,5
2020-02-05,World Health Organization,1,6
2020-02-07,Centers For Disease,1,1
2020-02-07,Lane County Public Health,1,2
2020-02-07,Public Health,1,3
2020-02-10,Centers For Disease,1,1
2020-02-19,Centers For Disease,1,1
2020-02-19,Holland America Line,1,2
2020-02-19,Oregon Health Authority,1,3
2020-02-28,Centers For Disease,1,1
2020-02-28,Ebay,1,2
2020-02-28,Lane County Public Health,1,3
2020-02-28,True Value,1,4
2020-03-03,Centers For Disease,1,2
2020-03-03,Department Of Health,1,3
2020-03-03,Harry Scholtz At Mckenzie Willamette Medical Center,1,4
2020-03-03,Oregon State University,1,5
2020-03-03,University Of Washington,1,6
2020-03-03,Willamette Medical Center,1,7
2020-03-03,University Of Oregon,2,1
2020-03-07,Certified Community Behavioral Health Clinics,1,1
2020-03-07,Department Of Human Services,1,2
2020-03-07,Fiscal Office Emergency Board On,1,3
2020-03-07,Oregon Health Authority,1,4
2020-03-07,Oregon Senate,1,5
2020-03-10,Copeland,1,13
2020-03-10,Lane County Public Health,1,14
2020-03-10,Life Care Center,1,15
2020-03-10,Health Systems,2,2
2020-03-10,Meadows Middle School,2,3
2020-03-10,Office Of Emergency Management,2,4
2020-03-10,Oregon Association Of Hospitals,2,5
2020-03-10,Oregon Department Of Education,2,6
2020-03-10,Oregon Health,2,7
2020-03-10,Oregon Higher Education Coordinating Commission,2,8
2020-03-10,Oregon State Public Health Laboratory,2,9
2020-03-10,Public Health,2,10
2020-03-10,Science University,2,11
2020-03-10,University Of Oregon,2,12
2020-03-10,Oregon Health Authority,3,1
2020-03-11,Associated Press,1,14
2020-03-11,Centers For Disease,1,15
2020-03-11,Facebook,1,16
2020-03-11,Instagram,1,17
2020-03-11,Oregon Health Authority,1,18
2020-03-11,Twitter,1,19
2020-03-11,Bushnell University,2,2
2020-03-11,Christian University,2,3
2020-03-11,Community Relations,2,4
2020-03-11,Disaster Resilient Universities Network,2,5
2020-03-11,Environmental Health,2,6
2020-03-11,Health Center,2,7
2020-03-11,Incident Management Team,2,8
2020-03-11,Lane Community College,2,9
2020-03-11,Missions Auction,2,10
2020-03-11,Public Health,2,11
2020-03-11,Umpqua Community College,2,12
2020-03-11,Uo Academic Council,2,13
2020-03-11,University Of Oregon,3,1
2020-03-12,Centers For Disease,1,5
2020-03-12,Georgetown University,1,6
2020-03-12,Portland State University,1,7
2020-03-12,Twitter,1,8
2020-03-12,Associated Press,3,4
2020-03-12,Oregon Health Authority,4,2
2020-03-12,Oregon State University,4,3
2020-03-12,University Of Oregon,5,1
2020-03-13,Bend High School,1,15
2020-03-13,Culver,1,16
2020-03-13,Culver School District,1,17
2020-03-13,Elk Meadow Elementary School,1,18
2020-03-13,Ensworth Elementary School,1,19
2020-03-13,Eugene School District,1,20
2020-03-13,Eugene School District Superintendent Gustavo Balderas,1,21
2020-03-13,High School,1,22
2020-03-13,Instagram,1,23
2020-03-13,Madras High School,1,24
2020-03-13,Oregon Department Of Education,1,25
2020-03-13,Pine Elementary School,1,26
2020-03-13,Pine High School,1,27
2020-03-13,Redmond High School,1,28
