date,organization,count,rn
2020-03-02,Department Of Health,2,5
2020-03-02,United States,2,6
2020-03-02,Jackson High School,4,3
2020-03-02,Jackson High School In Snohomish,4,4
2020-03-02,Borah High School,6,1
2020-03-02,University Of Idaho,6,2
2020-03-03,Chris Spitters Of The Snohomish Health District,1,1
2020-03-03,Colville School District,1,2
2020-03-03,Idaho State Lab,1,3
2020-03-03,Jackson High School In Everett,1,4
2020-03-03,Kootenai Health,1,5
2020-03-03,Panhandle Health District,1,6
2020-03-03,Sandpoint High School,1,7
2020-03-03,Sandpoint Middle School,1,8
2020-03-03,School District,1,9
2020-03-03,Troy School District,1,10
2020-03-03,University Of Idaho,1,11
2020-03-05,Centers For Disease,1,3
2020-03-05,Department Of Health,1,4
2020-03-05,Epidemic Intelligence Service,1,5
2020-03-05,Idaho Department Of Health,1,6
2020-03-05,Idaho Hospital Association Brian Whitlock,1,7
2020-03-05,Idaho Office Of Emergency Management,1,8
2020-03-05,Infectious Disease Response Team,1,9
2020-03-05,New York Times,1,10
2020-03-05,Twitter,1,11
2020-03-05,Vandal Health Clinic,1,12
2020-03-05,Vandal Health Education,1,13
2020-03-05,World Health Organization,1,14
2020-03-05,University Of Idaho,2,2
2020-03-05,United States,3,1
2020-03-06,Nan,1,1
2020-03-10,A Monmouth University,1,1
2020-03-10,University Of Idaho,1,2
2020-03-10,University Of Missouri,1,3
2020-03-10,University Of Virginia Center,1,4
2020-03-12,Bonneville School District,1,1
2020-03-12,Department Of Education,1,2
2020-03-12,University Of Idaho,1,3
2020-03-13,Centers For Disease,1,1
2020-03-13,Gritman Medical Center,1,2
2020-03-13,Kootenai Health In Coeur,1,3
2020-03-13,Public Health,1,4
2020-03-13,University Of Idaho,1,5
2020-03-13,Washington State University,1,6
2020-03-13,Whitman County Public Health,1,7
2020-03-14,Nan,1,9
2020-03-14,Central Public Health District,2,7
2020-03-14,Gritman Medical Center,2,8
2020-03-14,College Of Eastern Idaho,4,1
2020-03-14,College Of Southern Idaho,4,2
2020-03-14,College Of Western Idaho,4,3
2020-03-14,Idaho College,4,4
2020-03-14,Idaho State University,4,5
2020-03-14,University Of Idaho,4,6
2020-03-15,Central District Health Department,2,8
2020-03-15,Gritman Medical Center,2,9
2020-03-15,Central Public Health District,4,1
2020-03-15,College Of Eastern Idaho,4,2
2020-03-15,College Of Southern Idaho,4,3
2020-03-15,College Of Western Idaho,4,4
2020-03-15,Idaho College,4,5
2020-03-15,Idaho State University,4,6
2020-03-15,University Of Idaho,4,7
2020-03-17,Community Congregational United Church,1,1
2020-03-17,Council On,1,2
2020-03-17,Department Of Transportation,1,3
2020-03-17,Facebook,1,4
