date,organization,count,rn
2020-03-30,Associated Press,1,1
2020-03-30,Baptist Church,1,2
2020-03-30,Lawyer Committee For Civil Rights Under Law,1,3
2020-03-30,Mamie Till Mobley Memorial Foundation,1,4
2020-04-25,National Museum Of African American,1,1
2020-04-25,University Of North Carolina Chapel Hill Wilson,1,2
2020-04-26,Greenwood City Council,1,1
2020-04-26,Greenwood High School,1,2
2020-04-26,Greenwood Leflore Consolidated School District,1,3
2020-04-26,Mississippi Senate,1,4
2020-04-27,Greenwood City Council,1,1
2020-04-27,Greenwood High School,1,2
2020-04-27,Greenwood Leflore Consolidated School District,1,3
2020-04-27,Mississippi Senate,1,4
