date,organization,count,rn
2020-02-05,Iacocca International Internships,1,1
2020-02-05,Lehigh University,1,2
2020-02-05,Moravian College,1,3
2020-02-05,Muhlenberg College,1,4
2020-02-05,Temple University,1,5
2020-02-06,A Lafayette College,1,1
2020-02-06,Centers For Disease,1,2
2020-02-06,Health Department,1,3
2020-02-06,Lehigh University,1,4
2020-02-06,Lehigh Valley Health Network,1,5
2020-02-06,Muhlenberg College,1,6
2020-02-06,Temple University,1,7
2020-02-11,A Lafayette College,1,1
2020-02-11,Centers For Disease,1,2
2020-02-11,Department Of Health,1,3
2020-02-11,Health Center,1,4
2020-02-11,Lehigh University,1,5
2020-02-11,Muhlenberg College,1,6
2020-02-11,Temple University,1,7
2020-02-13,American University,1,1
2020-02-13,Association Of International Education Administrators,1,2
2020-02-13,Association Of International Educators,1,3
2020-02-13,Deakin University,1,4
2020-02-13,Institute Of International Education,1,5
2020-02-13,International Education Association Of Australia,1,6
2020-02-13,Lehigh University,1,7
2020-02-13,National Association For College Admission Counseling,1,8
2020-02-13,University Of Delaware,1,9
2020-02-13,Virginia University,1,10
2020-02-27,Tribune Content Agency,1,3
2020-02-27,Bloomberg,2,1
2020-02-27,Morning Call Muhlenberg College,2,2
2020-02-28,Bloomberg,2,1
2020-02-28,Morning Call Muhlenberg College,2,2
2020-02-28,White House,2,3
2020-03-04,Bloomberg,1,15
2020-03-04,City Council,1,16
2020-03-04,Council Poverty Action Plan,1,17
2020-03-04,Democratic Party,1,18
2020-03-04,Dickinson College,1,19
2020-03-04,Human Services,1,20
2020-03-04,Kids Getting Free Breakfast At School,1,21
2020-03-04,Montco Health,1,22
2020-03-04,Pennsylvania Department Of Education,1,23
2020-03-04,Pennsylvania Emergency Management Agency,1,24
2020-03-04,Police Gearing,1,25
2020-03-04,School Board Member,1,26
2020-03-04,Scranton City Council,1,27
2020-03-04,Senate District,1,28
2020-03-04,Supreme Court,1,29
2020-03-04,Sustainability Commission,1,30
2020-03-04,Tea Party,1,31
2020-03-04,Trump Administration,1,32
2020-03-04,White House,1,33
2020-03-04,Health Department,2,12
2020-03-04,Health Dr,2,13
2020-03-04,Zion United Church,2,14
2020-03-04,Desales University,3,8
2020-03-04,Lehigh University,3,9
2020-03-04,Moravian College,3,10
2020-03-04,Tribune Content Agency,3,11
2020-03-04,Centre Daily Times,4,7
2020-03-04,Hamilton Crossings Shopping Center,5,4
2020-03-04,Sam Club,5,5
2020-03-04,Walmart Inc,5,6
2020-03-04,Centers For Disease,6,3
