date,organization,count,rn
2020-02-04,Lenoir Medical Center,2,1
2020-02-04,United States,2,2
2020-02-04,University Of North Carolina Jaycee Burn Center,2,3
2020-03-04,Carolinaeast Medical Center,1,1
2020-03-04,John Hopkins University,1,2
2020-03-04,United Nations Health Organization,1,3
2020-03-06,Airborne Division,1,1
2020-03-06,Army Brig,1,2
2020-03-06,Camp Lejeune Marine Corps Base In Jacksonville,1,3
2020-03-06,Centers For Disease,1,4
2020-03-06,Department Of Defense,1,5
2020-03-06,Department Of Public Health,1,6
2020-03-06,Human Services,1,7
2020-03-06,National Institutes Of Health,1,8
2020-03-06,Officials At Seymour Johnson Air Force,1,9
2020-03-06,Pope Army Airfield,1,10
2020-03-06,Walter Reed Army Institute Of Research,1,11
2020-03-06,Walter Reed Medical Center,1,12
2020-03-06,Womack Army Medical Center,1,13
2020-03-07,Communications Department,1,1
2020-03-07,Development In Europe,1,2
2020-03-07,United States,1,3
2020-03-11,Carolina Department Of Health,1,1
2020-03-11,Club Of Kinston,1,2
2020-03-11,Human Services,1,3
2020-03-17,Frink Middle School,1,1
2020-03-17,Lenoir High School,1,2
2020-03-18,Carolina Department Of Health,2,1
2020-03-18,Health Department,2,2
2020-03-18,Human Services,2,3
2020-03-18,Lenoir Health Care,2,4
2020-03-20,Art Center,1,1
2020-03-20,Carolina Museum Of Art,1,2
2020-03-20,Facebook,1,3
2020-03-20,Greenville Museum Of Art,1,4
2020-03-20,Guggenheim Museum,1,5
2020-03-20,Instagram,1,6
2020-03-20,Louvre Museum,1,7
2020-03-20,National Gallery Of Art,1,8
2020-03-24,Nan,1,1
2020-03-25,Carolina Office Of Emergency Medical Services,1,1
2020-03-25,Human Services,1,2
2020-03-27,Supreme Court,1,2
2020-03-27,Nan,2,1
2020-03-30,A Campbell University,1,1
2020-03-30,Cambell University,1,2
2020-03-30,Campbell University,1,3
2020-03-30,Carolina University,1,4
2020-03-30,Centers For Disease,1,5
2020-03-30,Department Of Health,1,6
2020-03-30,Department Of Health Human Services,1,7
2020-03-30,Duke University,1,8
2020-03-30,Emergency Services,1,9
2020-03-30,Florida Department Of Health,1,10
2020-03-30,Health Department,1,11
2020-03-30,Health Human Services,1,12
2020-03-30,Human Services,1,13
2020-03-30,Mcdonald,1,14
2020-03-30,National Guard,1,15
2020-03-30,Nc Department Of Health,1,16
2020-03-30,Pitt High School,1,17
2020-03-30,United States,1,18
2020-03-30,University Health Center,1,19
2020-03-30,Vidant Medical Center,1,20
2020-03-30,While The Department Of Health,1,21
2020-04-01,A Campbell University,1,1
2020-04-01,Cambell University,1,2
2020-04-01,Campbell University,1,3
2020-04-01,Carolina University,1,4
2020-04-01,Carolinaeast Medical Center,1,5
2020-04-01,Centers For Disease,1,6
2020-04-01,Department Of Health,1,7
2020-04-01,Department Of Health Human Services,1,8
