date,organization,count,rn
2020-03-07,Kentucky Press Association,1,1
2020-04-08,Appalachian Citizens Law Center,1,1
2020-04-08,Centers For Disease,1,2
2020-04-08,Congress Is Rep,1,3
2020-04-08,Department Of Labor,1,4
2020-04-08,Government Accountability Office,1,5
2020-04-08,Lung Disability Trust Fund,1,6
2020-04-08,Massey Energy,1,7
2020-04-08,National Coalition Of Black Lung,1,8
2020-04-08,National Mining Association,1,9
2020-04-08,Senate Majority Leader Mitch Mcconnell,1,10
2020-04-08,University Of Illinois At Chicago,1,11
2020-04-08,University Of Louisville,1,12
2020-04-09,Appalachian Citizen Law Center,1,1
2020-04-13,Appalachian Citizens Law Center,1,1
2020-04-13,Centers For Disease,1,2
2020-04-13,Congress Is Rep,1,3
2020-04-13,Department Of Labor,1,4
2020-04-13,Government Accountability Office,1,5
2020-04-13,Lung Disability Trust Fund,1,6
2020-04-13,Massey Energy,1,7
2020-04-13,National Coalition Of Black Lung,1,8
2020-04-13,National Mining Association,1,9
2020-04-13,Senate Majority Leader Mitch Mcconnell,1,10
2020-04-13,University Of Illinois At Chicago,1,11
2020-04-13,University Of Louisville,1,12
2020-04-15,Senate Majority Floor Leader Damon Thayer,1,1
2020-04-16,Administration Cabinet,1,1
2020-04-16,Revenue Committee,1,2
2020-04-22,Mcafee,1,1
2020-04-22,United States,1,2
2020-04-27,Dunbar High School,1,1
2020-04-29,Senate Majority Floor Leader Damon Thayer,1,1
2020-05-16,Aquatic Centers,1,1
