date,organization,count,rn
2020-03-13,Centers For Disease,1,1
2020-03-13,Communications Tonya Oaks Smith,1,2
2020-03-13,Grambling State University,1,3
2020-03-13,Louisiana State University,1,4
2020-03-13,Louisiana Tech University,1,5
2020-03-13,Northern Louisiana Medical Center,1,6
2020-03-13,Spring High School Day,1,7
2020-03-13,University Of Louisiana System,1,8
2020-03-20,American College Of Allergy,1,1
2020-03-20,World Health Organization,1,2
2020-03-24,Community Care,1,1
2020-03-24,Joseph Health,1,2
2020-03-29,Girls Club Of North Louisiana,1,1
2020-03-29,Greenwood Recreation Center,1,2
2020-04-01,Central Louisiana Arts Council,1,5
2020-04-01,Cnn,1,6
2020-04-01,Governor Office Of Homeland Security,1,7
2020-04-01,Louisiana Department Of Health,1,8
2020-04-01,Quiktrip,1,9
2020-04-01,Quiktrip Corporation,1,10
2020-04-01,Community Development At Kansas State University,2,2
2020-04-01,Walgreens,2,3
2020-04-01,Walmart,2,4
2020-04-01,Facebook,3,1
2020-04-02,Department Of Education,1,1
2020-04-02,Louisiana Department Of Health,1,2
2020-04-02,National Guard,1,3
2020-04-07,Centers For Disease,1,1
2020-04-07,Louisiana Department Of Health,1,2
2020-04-07,Walgreens,1,3
2020-04-10,Louisiana Association Of School Superintendents,1,1
2020-04-14,Nan,1,1
2020-04-16,Institute For Health Metrics,1,1
2020-04-16,Msnbc,1,2
2020-04-16,National Institute Of Allergy,1,3
2020-04-16,White House,1,4
2020-04-23,Louisiana Department Of Public Health,1,1
2020-04-23,Shreveport Police,1,2
2020-04-25,Bureau Of Minority Health Access,1,1
2020-04-25,College Of Nursing,1,2
2020-04-25,College Of Pharmacy,1,3
2020-04-25,Community Engagement,1,4
2020-04-25,Community Outreach,1,5
2020-04-25,Community Partnerships Deputy,1,6
2020-04-25,Dean Of Public Health,1,7
2020-04-25,Department Of Public Health,1,8
2020-04-25,Dillard University,1,9
2020-04-25,Extension Center,1,10
2020-04-25,Health Care Services,1,11
2020-04-25,Health Disparities,1,12
2020-04-25,Health Disparities Research,1,13
2020-04-25,Health Equity,1,14
2020-04-25,Health Equity Dashboard,1,15
2020-04-25,Health Equity Researcher,1,16
2020-04-25,Health Equity Task,1,17
2020-04-25,Health Equity Task Force,1,18
2020-04-25,Health Equity Taskforce,1,19
2020-04-25,Health Informatics,1,20
2020-04-25,Health Innovation,1,21
2020-04-25,Health Science Centers,1,22
2020-04-25,Hospitals Bureau Of Minority Health Access,1,23
2020-04-25,Lake Physician Group Family Practice Physician,1,24
2020-04-25,Louisiana Center,1,25
2020-04-25,Louisiana Community College,1,26
2020-04-25,Louisiana Council Of Administration Of Nursing Education,1,27
2020-04-25,Louisiana Department Of Health,1,28
2020-04-25,Louisiana Department Of Revenue,1,29
2020-04-25,Louisiana Public Health Institute,1,30
2020-04-25,Louisiana State Senate District,1,31
2020-04-25,Louisiana State University Vice Provost For Diversity,1,32
2020-04-25,Loyola University,1,33
2020-04-25,Loyola University Assistant Professor Of Sociology,1,34
2020-04-25,M Slouisiana Center,1,35
2020-04-25,Mayo Clinic Care Network Family Medicine,1,36
2020-04-25,Minority Health,1,37
2020-04-25,Morning Star Baptist Church Pastor,1,38
2020-04-25,Nelson Mandela School Of Government,1,39
2020-04-25,Northwestern State University,1,40
2020-04-25,Office Of Public Health,1,41
2020-04-25,Office Of The Governor Deputy,1,42
2020-04-25,Pennington Biomedical Research Center,1,43
2020-04-25,Public Health Sciences,1,44
2020-04-25,Response Fund,1,45
2020-04-25,School Of Nursing,1,46
2020-04-25,Southern University,1,47
2020-04-25,Southern University Agricultural Research,1,48
2020-04-25,Southern University Nelson Mandela School Of Public,1,49
2020-04-25,Southern University System,1,50
2020-04-28,American Council On Education,1,2
2020-04-28,Club Of Baton Rouge,1,3
2020-04-28,Digital Library,1,4
2020-04-28,Health Center,1,5
2020-04-28,Historic Preservation Fund,1,6
2020-04-28,Moody Investors Services,1,7
2020-04-28,National Park Service,1,8
2020-04-28,Tulane University,1,9
2020-04-28,United States,1,10
2020-04-28,University Historic,1,11
2020-04-28,University Of Louisiana,1,12
2020-04-28,University Of Louisiana At Lafayette,1,13
2020-04-28,University Of Louisiana System,1,14
2020-04-28,University Of New Orleans,1,15
2020-04-28,Grambling State University,2,1
2020-04-29,American Council On Education,1,1
2020-04-29,Club Of Baton Rouge,1,2
2020-04-29,Grambling State University,1,3
2020-04-29,Moody Investors Services,1,4
2020-04-29,Tulane University,1,5
2020-04-29,University Of Louisiana,1,6
2020-04-29,University Of Louisiana At Lafayette,1,7
2020-04-29,University Of Louisiana System,1,8
2020-04-29,University Of New Orleans,1,9
2020-05-09,Cossack Motorcycle Club,1,10
2020-05-09,Cossacks Motorcycle Club,1,11
2020-05-09,Cossacks Motorcycle Club Rose City Chapter,1,12
2020-05-09,Emergency Operation Center,1,13
2020-05-09,Emergency Operations Center,1,14
2020-05-09,Facebook,1,15
2020-05-09,Fletcher Technical Community College,1,16
2020-05-09,Gang Center,1,17
2020-05-09,Nicholls State University,1,18
2020-05-09,Texas College,1,19
2020-05-09,Texas Public Health District,1,20
2020-05-09,Department Of Education,3,2
2020-05-09,Early College High School,3,3
2020-05-09,Louisiana Community,3,4
2020-05-09,Loyola University,3,5
2020-05-09,Southeastern Louisiana University,3,6
2020-05-09,Southern University Baton Rouge,3,7
2020-05-09,Tulane University,3,8
2020-05-09,Tyler Junior College,3,9
2020-05-09,Grambling State University,6,1
2020-05-13,Community Church,1,1
2020-05-13,Emmanuel Baptist Church,1,2
2020-05-13,John Knox Presbyterian Church,1,3
2020-05-13,Louisiana Department Of Health,1,4
2020-05-13,Ruston Temple Baptist Church,1,5
2020-06-11,Louisiana Department Of Health,1,1
2020-06-11,Representatives Of Ochsner Health System,1,2
2020-06-12,Bethel Christian School,1,1
2020-06-12,Department Of Education,1,2
2020-06-12,Howard School,1,3
2020-06-12,Living Word School,1,4
2020-06-12,Louisiana Department Of Health,1,5
2020-06-12,Montessori Head Of School Amanda Walker,1,6
2020-06-12,Montessori School Of Ruston,1,7
2020-06-12,Ruston Police Department,1,8
2020-06-23,Grambling State University,1,1
2020-06-23,Ivy League,1,2
2020-06-23,Rutgers University,1,3
2020-06-23,Stax Music Academy,1,4
2020-06-23,United States,1,5
2020-06-23,University Of Michigan,1,6
2020-06-23,Washington University,1,7
2020-06-24,Grambling State University,1,1
2020-06-24,Ivy League,1,2
2020-06-24,Normandale Community College,1,3
2020-06-24,Rutgers University,1,4
2020-06-24,Stax Music Academy,1,5
2020-06-24,United States,1,6
2020-06-24,University Of Michigan,1,7
2020-06-24,University Of Oregon,1,8
2020-06-24,Washington University,1,9
2020-06-25,Grambling State University,1,1
2020-06-25,Ivy League,1,2
2020-06-25,Rutgers University,1,3
2020-06-25,Stax Music Academy,1,4
2020-06-25,United States,1,5
2020-06-25,University Of Michigan,1,6
2020-06-25,Washington University,1,7
