date,organization,count,rn
2020-03-10,While The Centers For Disease,1,1
2020-03-15,Nan,1,1
2020-03-16,Louisiana Department Of Education,1,1
2020-03-17,Department Of Health,1,1
2020-03-18,Centers For Disease,1,1
2020-03-18,Department Of Health,1,2
2020-03-18,Library Administration,1,3
2020-03-18,Livingston Parish Library,1,4
2020-03-19,Facebook,1,2
2020-03-19,Louisiana Department Of Health,1,3
2020-03-19,National Guard,1,4
2020-03-19,National Guardsmen,1,5
2020-03-19,Department Of Health,3,1
2020-03-20,Small Business Administration,1,13
2020-03-20,Bethlehem Baptist Church,2,6
2020-03-20,Christ Community,2,7
2020-03-20,Colyell Baptist Church,2,8
2020-03-20,First Baptist Church,2,9
2020-03-20,James Drug,2,10
2020-03-20,Judson Baptist Church,2,11
2020-03-20,Satsuma Baptist Church,2,12
2020-03-20,Department Of Education,3,2
2020-03-20,Department Of Health,3,3
2020-03-20,Live Oak High School,3,4
2020-03-20,University Medical Center,3,5
2020-03-20,Louisiana Department Of Health,4,1
2020-03-21,Department Of Education,1,1
2020-03-21,Department Of Health,1,2
2020-03-21,Louisiana Department Of Health,1,3
2020-03-21,University Medical Center,1,4
2020-03-22,Department Of Health,1,1
2020-03-22,Louisiana Department Of Health,1,2
2020-03-22,Nan,1,3
2020-03-23,Facebook,1,1
2020-03-23,Health Insurance Portability,1,2
2020-03-23,Impact Charter School In Baker,1,3
2020-03-23,National Guard,1,4
2020-03-24,Community Care,1,1
2020-03-24,Joseph Health,1,2
2020-03-25,Abundant Life Church,1,1
2020-03-25,Bethlehem Baptist Church,1,2
2020-03-25,Christ Community,1,3
2020-03-25,Colyell Baptist Church,1,4
2020-03-25,Council On Aging Center,1,5
2020-03-25,Department Of Health,1,6
2020-03-25,First Baptist Church,1,7
2020-03-25,Google,1,8
2020-03-25,Holden Church,1,9
2020-03-25,James Drug,1,10
2020-03-25,Judson Baptist Church,1,11
2020-03-25,Kenner,1,12
2020-03-25,Louisiana Department Of Health,1,13
2020-03-25,Satsuma Baptist Church,1,14
2020-03-25,Tulane University,1,15
2020-03-25,Tupperware,1,16
2020-03-28,Amite Baptist Church,1,1
2020-03-28,Nan,1,2
2020-03-28,Southside Baptist Church,1,3
2020-03-31,Better Business Bureau Of Morri,1,1
2020-03-31,Facebook,1,2
2020-03-31,Morris,1,3
2020-03-31,Solutions Company,1,4
2020-03-31,Solutions Company Facebook,1,5
2020-04-01,Twitter,1,1
2020-04-02,Arts Council,1,1
2020-04-02,Arts Council Of Livingston Parish,1,2
2020-04-02,College Of Business,1,3
2020-04-02,Department Of Health,1,4
2020-04-02,Louisiana Department Of Health Region,1,5
2020-04-02,Louisiana State University,1,6
2020-04-02,Offutt Air Force,1,7
2020-04-02,Rural Life Museum In Baton Rouge,1,8
2020-04-03,Nan,1,1
2020-04-04,Associated Press,1,1
2020-04-04,Centers For Disease,1,2
2020-04-04,Johns Hopkins University,1,3
2020-04-04,Lake Regional Medical Center,1,4
2020-04-04,United States,1,5
2020-04-14,Department Of Health,1,1
2020-04-14,Exxon,1,2
2020-04-14,Facebook,1,3
2020-04-14,Louisiana Association Of School Superintendents,1,4
2020-04-14,Louisiana Department Of Education,1,5
2020-04-14,School Board Association,1,6
2020-04-15,Senate Committee On Education,1,1
2020-04-16,Carmel Baptist Church,1,2
2020-04-16,Department Of Education,1,3
2020-04-16,Drexel University,1,4
2020-04-16,Enon Tabernacle Church,1,5
