date,organization,count,rn
2020-03-26,Assateague National Park,1,1
2020-03-26,Barrier Island Visitor Center,1,2
2020-03-26,Harriet Tubman Underground Railroad State Park,1,3
2020-03-27,Assateague National Park,1,1
2020-03-27,Barrier Island Visitor Center,1,2
2020-03-27,Harriet Tubman Underground Railroad State Park,1,3
2020-04-15,Nan,1,1
2020-04-16,Baltimore Sun,1,1
2020-04-16,Division Of Public Health,1,2
2020-04-16,Health Center,1,3
2020-04-16,Hospitality Tourism Management At Virginia Tech University,1,4
2020-04-16,Lehigh Center,1,5
2020-04-16,Loch Raven Center,1,6
2020-04-16,Marriott International,1,7
2020-04-16,Milford Center,1,8
2020-04-16,Riverside Health System,1,9
2020-04-16,United States,1,10
2020-04-16,Young,1,11
2020-05-01,Centers For Disease,1,1
2020-05-01,Virginia Department Of Corrections,1,2
2020-05-28,Virginia Supreme Court,1,1
2020-06-19,American University,1,1
2020-06-19,Longwood University,1,2
2020-06-19,University Of Richmond,1,3
2020-06-21,Associated Press,1,1
2020-06-21,Department Of Health,1,2
2020-06-21,Facebook,1,3
2020-06-21,Johns Hopkins University,1,4
2020-06-21,Oregon Health Authority,1,5
2020-06-21,Public Health,1,6
2020-06-21,United States,1,7
2020-06-21,University Of Oregon,1,8
2020-06-21,White House,1,9
2020-06-21,Yakima Health District,1,10
2020-06-21,Youtube,1,11
