date,organization,count,rn
2020-02-27,Harper University Hospital,1,1
2020-03-10,White House,1,1
2020-03-13,Department Of Health,1,2
2020-03-13,Human Services,1,3
2020-03-13,Health System,2,1
2020-03-14,Angell Elementary School,1,2
2020-03-14,Angell Elementary School In Berkley,1,3
2020-03-14,Berkley School District,1,4
2020-03-14,Brownfield Redevelopment Authority,1,5
2020-03-14,Community Action Alger,1,6
2020-03-14,Facebook,1,7
2020-03-14,Hancock School Public Library,1,8
2020-03-14,House Appropriations School Aid Subcommittee,1,9
2020-03-14,Human Services,1,10
2020-03-14,Marquette Downtown Development Authority,1,11
2020-03-14,Marquette Senior Center,1,12
2020-03-14,Mary Catholic Church,1,13
2020-03-14,Michigan Association Of School Boards,1,14
2020-03-14,Michigan Association Of Superintendents Administrators,1,15
2020-03-14,Michigan Bureau Of Laboratories,1,16
2020-03-14,Michigan Department Of Environment,1,17
2020-03-14,Michigan Department Of Health,1,18
2020-03-14,Michigan State Police,1,19
2020-03-14,Monroe Missionary Baptist Church,1,20
2020-03-14,Municipal Employees Council,1,21
2020-03-14,National Centers For Disease,1,22
2020-03-14,Ore Dock Brewing Co,1,23
2020-03-14,Peter White Public Library,1,24
2020-03-14,Portage Lake District Library,1,25
2020-03-14,Senate Appropriations Committee,1,26
2020-03-14,Senate Appropriations School Aid Subcomittee,1,27
2020-03-14,Upper Peninsula Children Museum,1,28
2020-03-14,Whitefish Township Community,1,29
2020-03-14,Health System,2,1
2020-03-16,Catherine Bonifas Civic Center,1,10
2020-03-16,Early Childhood Program,1,11
2020-03-16,Escanaba City Council,1,12
2020-03-16,Escanaba Early Childhood Center,1,13
2020-03-16,Escanaba Public Library,1,14
2020-03-16,Human Service,1,15
2020-03-16,Human Services,1,16
2020-03-16,Michigan Department Of Health,1,17
2020-03-16,Michigan Iron Industry Museum,1,18
2020-03-16,Bay Cliff Health Camp,2,1
2020-03-16,Chocolay Senior Center,2,2
2020-03-16,Eden Lutheran Church,2,3
2020-03-16,Facebook,2,4
2020-03-16,Forsyth Township Community Center,2,5
2020-03-16,Moosewood Nature Center,2,6
2020-03-16,Northern Michigan University,2,7
2020-03-16,Peter White Public Library,2,8
2020-03-16,Velodrome Coffee Company In Marquette,2,9
2020-03-17,Cherry Creek Elementary School,1,1
2020-03-17,Facebook,1,2
2020-03-17,Graveraet Elementary School,1,3
2020-03-17,Gwinn Area Community Schools,1,4
2020-03-17,Gwinn Middle High School,1,5
2020-03-17,Hills Elementary School,1,6
2020-03-17,Lodge In Forsyth Township,1,7
2020-03-17,Marquette Senior High School,1,8
2020-03-17,Star Academy,1,9
2020-03-18,Centers For Disease,1,1
2020-03-18,Facebook,1,2
2020-03-18,Fairlane Town Center,1,3
2020-03-18,Nan,1,4
2020-03-19,Centers For Disease,1,1
2020-03-19,Department Of Natural Resources,1,2
2020-03-19,Facebook,1,3
2020-03-19,Human Services,1,4
2020-03-19,Mcdonald,1,5
2020-03-19,Michigan Department Of Environment,1,6
2020-03-19,Michigan Department Of Health,1,7
2020-03-19,Michigan History Museum,1,8
2020-03-19,Michigan Iron Industry Museum Negaunee,1,9
2020-03-19,Michigan State University,1,10
2020-03-19,Outdoor Adventure Center,1,11
2020-03-21,Lume Cannabis Company,1,1
2020-03-21,Michigan Marijuana Regulatory Agency,1,2
2020-03-23,Community Foods,1,1
2020-03-23,Marquette Downtown Development Authority,1,2
2020-03-23,Michigan Department Of Environment,1,3
2020-03-23,Northern Center,1,4
2020-03-23,Northern Michigan University,1,5
2020-03-24,Centers For Disease,1,1
2020-03-24,District Health Department,1,2
2020-03-24,Public Health,1,3
2020-03-24,Public Health Department,1,4
2020-03-24,Schoolcraft District Health Department,1,5
2020-03-25,Call Center,1,1
2020-03-25,Centers For Disease,1,2
2020-03-25,Emergency Department,1,3
2020-03-27,Centers For Disease,1,1
2020-03-27,District Health Department,1,2
2020-03-27,Health Department,1,3
2020-03-27,Public Health,1,4
2020-03-27,Public Health Department,1,5
2020-03-27,Schoolcraft District Health Department,1,6
2020-03-28,Call Center,1,1
2020-03-28,Centers For Disease,1,2
2020-03-28,Emergency Department,1,3
2020-03-28,Houghton City Police,1,4
2020-03-28,Twitter,1,5
2020-03-30,Centers For Disease,1,1
2020-03-30,District Health Department,1,2
2020-03-30,Early Head Start Childcare Partnership Programs,1,3
2020-03-30,Gleaners Food Bank,1,4
2020-03-30,Health Department,1,5
2020-03-30,Human Services,1,6
2020-03-30,Iron District Health Department,1,7
2020-03-30,Kroger,1,8
2020-03-30,Michigan Department Of Health,1,9
2020-03-30,Public Health,1,10
2020-03-30,Public Health Department,1,11
2020-03-30,Salvation Army,1,12
2020-03-30,Salvation Army Of Metro Detroit,1,13
2020-03-30,Schoolcraft District Health Department,1,14
2020-03-31,Health Foundation,1,1
2020-03-31,Salvation Army,1,2
2020-03-31,Salvation Army Capt,1,3
2020-03-31,Salvation Army In Marquette,1,4
2020-03-31,Warming Center,1,5
2020-04-01,Albertsons Companies,1,4
2020-04-01,Besser Senior Living Community,1,5
2020-04-01,Catholic Diocese Of Lansing,1,6
2020-04-01,Diocese Of Lansing,1,7
2020-04-01,Dollar Tree,1,8
2020-04-01,Family Dollar,1,9
2020-04-01,Ge Healthcare,1,10
2020-04-01,Health Sciences,1,11
2020-04-01,Human Services,1,12
2020-04-01,Kroger,1,13
2020-04-01,Michigan Court,1,14
2020-04-01,Michigan Department Of Health,1,15
2020-04-01,Michigan Department Of Technology,1,16
2020-04-01,Michigan State Police,1,17
2020-04-01,Microsoft,1,18
2020-04-01,Natural Resources Center,1,19
2020-04-01,Norlite Nursing Center,1,20
2020-04-01,Pepsico,1,21
2020-04-01,Pizza Hut,1,22
