date,organization,count,rn
2020-02-15,Economic Development Association Of Minnesota,1,1
2020-02-22,Associated Press,1,1
2020-02-22,International Agriculture Fair,1,2
2020-02-22,Sheriff Office,1,3
2020-02-28,Centers For Disease,1,1
2020-02-28,Health Department,1,2
2020-03-03,Department Of Health,1,4
2020-03-03,Nan,1,5
2020-03-03,Centers For Disease,2,1
2020-03-03,Florida Department Of Health,2,2
2020-03-03,Health Department,2,3
2020-03-05,Centers For Disease,1,1
2020-03-05,Credit Union Event Center,1,2
2020-03-05,Drug Administration,1,3
2020-03-05,Emergency Response Fund,1,4
2020-03-05,Florida Department Of Health,1,5
2020-03-05,Lucie Civic Center,1,6
2020-03-05,Lucie Community Center,1,7
2020-03-05,Nan,1,8
2020-03-05,Publix,1,9
2020-03-05,Straz Center,1,10
2020-03-05,Supervisor Of Elections Office,1,11
2020-03-05,United States,1,12
2020-03-05,University Of South Florida,1,13
2020-03-05,Zora Neale Hurston Library,1,14
2020-03-07,Centers For Disease,1,1
2020-03-07,Centers Of Disease,1,2
2020-03-07,Drug Administration,1,3
2020-03-07,Emergency Response Fund,1,4
2020-03-07,Florida Department Of Health,1,5
2020-03-07,Florida Division Of Emergency Management,1,6
2020-03-07,Florida Health Department,1,7
2020-03-07,Publix,1,8
2020-03-07,Straz Center,1,9
2020-03-07,University Of South Florida,1,10
2020-03-09,Centers For Disease,1,1
2020-03-09,Florida Department Of Health,1,2
2020-03-09,Health Department,1,3
2020-03-09,Holy Name Medical Center,1,4
2020-03-09,Lucie County Sheriff Office,1,5
2020-03-09,Police Department,1,6
2020-03-09,United States,1,7
2020-03-11,Minnesota School Board Association,1,1
2020-03-12,Nan,1,1
2020-03-12,Palm Beach International Airport,1,2
2020-03-12,Trilogy Health Services,1,3
2020-03-12,United States,1,4
2020-03-13,Department Of Education,1,1
2020-03-13,Office Of Teaching,1,2
2020-03-13,Trilogy Health Services,1,3
2020-03-13,United States,1,4
2020-03-16,Minnesota Department Of Health,1,3
2020-03-16,Infectious Disease Division,2,1
2020-03-16,Mayo Clinic Health System,2,2
2020-03-17,Blake Library,1,5
2020-03-17,City Commission,1,6
2020-03-17,Cleveland Clinic Martin Health,1,7
2020-03-17,College Board,1,8
2020-03-17,Department Of Agriculture,1,9
2020-03-17,Department Of Education,1,10
2020-03-17,Florida Department Of Agriculture,1,11
2020-03-17,Florida Department Of Health,1,12
2020-03-17,High School,1,13
2020-03-17,Treasure Coast High School,1,14
2020-03-17,Centers For Disease,2,1
2020-03-17,Health Department,2,2
2020-03-17,Law Enforcement Center,2,3
2020-03-17,Minnesota Department Of Health,2,4
2020-03-18,Bloomberg,1,1
2020-03-18,Centers For Disease,1,2
2020-03-18,Department Of Health,1,3
2020-03-18,Florida Department Of Health,1,4
2020-03-18,Gibson,1,5
2020-03-18,Instagram,1,6
2020-03-18,United States,1,7
2020-03-19,Department Of Health,1,3
2020-03-19,Nan,1,4
2020-03-19,Florida Department Of Health,2,1
2020-03-19,Health Dept,2,2
2020-03-20,Call Center,1,4
2020-03-20,Cleveland Clinic Martin Health,1,5
2020-03-20,Departments Services,1,6
2020-03-20,Division Of Elections,1,7
2020-03-20,Facebook,1,8
2020-03-20,Florida Department Of Corrections,1,9
2020-03-20,Florida Department Of Health Martin,1,10
2020-03-20,Google,1,11
2020-03-20,Lucie County Division Of Emergency Management,1,12
2020-03-20,Lucie County Sheriff Office,1,13
2020-03-20,Department Of Health,2,3
2020-03-20,Florida Department Of Health,3,1
2020-03-20,United States,3,2
2020-03-21,Department Of Health,1,1
2020-03-21,Florida Department Of Health,1,2
2020-03-21,Health Department,1,3
2020-03-21,Quest Diagnostics,1,4
2020-03-23,Florida Department Of Health,1,1
2020-03-23,Hunters Run Country Club,1,2
2020-03-23,Minnesota Health Officials,1,3
2020-03-23,Odon Christian Church,1,4
2020-03-23,University Of Florida,1,5
2020-03-23,Va Medical Center,1,6
2020-03-23,Westminster Presbyterian Church,1,7
2020-03-23,Young,1,8
2020-03-23,Youtube,1,9
2020-03-24,Centers For Disease,1,3
2020-03-24,Centers For Disease Control Prevention,1,4
2020-03-24,Florida National Guard,1,5
2020-03-24,Humane Society Of St,1,6
2020-03-24,Humane Society Of The Treasure Coast,1,7
2020-03-24,Humane Society Of Treasure Coast,1,8
2020-03-24,Many Humane Society,1,9
2020-03-24,Space Coast League,1,10
2020-03-24,United States,2,2
2020-03-24,Florida Department Of Health,3,1
2020-03-25,Florida Logistics Response Center,1,3
2020-03-25,Nan,1,4
2020-03-25,White House,1,5
2020-03-25,United States,2,2
2020-03-25,Florida Department Of Health,3,1
